RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);GL;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Centrumdemocraten;SP (Socialistische Partij);De Groenen;Vrouwenpartij;Bejaarden Centraal;VCN: partij van communisten in Nederland;Realisten Nederland;Socialistische Arbeiderspartij;Anti Werkloosheid Partij;Politieke Partij voor Ouderen;Vooruitstrevende Minderheden Partij;Partij Democratisch Socialisten;Socialistische Minderheden Partij;Humanistische Partij;Milieu Defensie Partij 2000+;Grote Alliance Partij;Staatkundige Federatie
Mariekerke;G0686;11221;Zeeland;P29;2449;2278;3;;2275;881;163;179;73;46;821;41;65;2;;2;;;;1;;;;1;;;;;;
Markelo;G0169;11382;Overijssel;P23;5441;4882;12;;4870;1680;1511;1242;267;76;20;11;26;16;4;4;4;2;1;2;2;1;;1;;;;;;
Marken;G0419;10901;Noord-Holland;P27;1604;1450;5;;1445;878;240;142;106;30;2;13;15;9;;5;;;2;1;1;;1;;;;;;;
Marum;G0025;11431;Groningen;P20;6396;5499;12;;5487;1693;2176;844;302;147;23;170;81;9;8;8;10;;;11;4;1;;;;;;;;
Maurik;G0264;10300;Gelderland;P25;4414;3799;10;;3789;1203;1601;637;155;67;47;20;13;24;1;5;6;;1;3;4;1;;1;;;;;;
Medemblik;G0420;11215;Noord-Holland;P27;4981;3920;17;;3903;1514;1203;634;294;118;11;18;38;26;4;14;6;3;11;3;;1;2;3;;;;;;
Meeden;G0026;10304;Groningen;P20;1365;1240;8;;1232;238;698;95;71;64;2;26;14;6;3;2;;;1;9;;1;;2;;;;;;
Meerlo-Wanssum;G0993;11416;Limburg;P31;5216;4290;12;;4278;2787;818;315;227;97;;6;;6;1;11;6;1;;3;;;;;;;;;;
Meerssen;G0938;10494;Limburg;P31;16096;13045;32;;13013;6322;3825;1474;803;388;10;26;3;60;22;33;26;11;2;5;1;;;2;;;;;;
Megen, Haren en Macharen;G0813;10988;Noord-Brabant;P30;2209;1927;5;;1922;1126;419;131;82;47;3;;;5;93;6;1;;2;1;1;5;;;;;;;;
Meijel;G0941;10925;Limburg;P31;4019;3204;8;;3196;2128;649;226;118;58;;;3;5;;3;1;3;;1;;1;;;;;;;;
Melick en Herkenbosch;G0939;10196;Limburg;P31;5739;4690;14;;4676;2340;1279;602;297;110;3;4;4;12;;5;12;;3;2;1;2;;;;;;;;
Menaldumadeel;G0083;11144;Fryslân;P21;9712;8596;33;;8563;3003;3295;1196;591;266;12;93;57;6;8;17;2;;3;7;3;4;;;;;;;;
Meppel;G0119;11204;Drenthe;P22;17739;14927;58;;14869;3960;6376;2115;1123;478;37;440;184;41;19;55;13;;4;12;7;4;;1;;;;;;
