RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);GL;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Centrumdemocraten;SP (Socialistische Partij);De Groenen;Vrouwenpartij;Bejaarden Centraal;VCN: partij van communisten in Nederland;Realisten Nederland;Socialistische Arbeiderspartij;Anti Werkloosheid Partij;Politieke Partij voor Ouderen;Vooruitstrevende Minderheden Partij;Partij Democratisch Socialisten;Socialistische Minderheden Partij;Humanistische Partij;Milieu Defensie Partij 2000+;Grote Alliance Partij;Staatkundige Federatie
Putten;G0273;11109;Gelderland;P25;15228;13473;21;;13452;6448;1969;1930;488;196;1297;291;749;34;4;18;12;5;1;4;4;2;;;;;;;;
Raalte;G0177;10279;Overijssel;P23;19735;17495;26;;17469;11569;3134;1355;874;336;13;43;46;19;16;24;17;5;;4;6;;6;2;;;;;;
Raamsdonk;G0834;11391;Noord-Brabant;P30;10138;8086;29;;8057;3188;2829;1135;496;194;52;11;43;51;15;17;7;;3;10;3;2;;1;;;;;;
Ravenstein;G0835;10805;Noord-Brabant;P30;5957;5137;19;;5118;2622;1551;371;290;136;3;10;1;8;101;9;5;2;;3;6;;;;;;;;;
Reeuwijk;G0595;10485;Zuid-Holland;P28;9298;8019;14;;8005;3372;1259;1760;592;152;504;73;178;67;5;21;14;1;2;4;1;;;;;;;;;
Reimerswaal;G0703;10077;Zeeland;P29;13863;11678;32;;11646;3606;2565;1299;535;201;2980;140;188;82;7;21;8;;1;5;2;5;;1;;;;;;
Renkum;G0274;11325;Gelderland;P25;26764;22660;61;;22599;7713;6557;4695;1971;796;211;182;181;84;44;75;26;14;3;30;11;4;;2;;;;;;
Renswoude;G0339;10269;Utrecht;P26;2740;2306;0;;2306;1249;284;315;84;18;240;27;73;7;1;3;1;2;;1;;;;;;;1;;;
Reusel;G0836;10162;Noord-Brabant;P30;5556;4526;11;;4515;2917;920;390;179;70;2;5;1;11;1;8;5;;;2;2;1;;1;;;;;;
Rheden;G0275;11355;Gelderland;P25;36594;31011;113;;30898;9612;11843;5056;2457;984;96;265;212;139;52;78;36;16;7;13;18;8;;6;;;;;;
Rhenen;G0340;10309;Utrecht;P26;12460;10475;31;;10444;3269;3042;1539;639;252;1291;107;206;64;3;13;10;2;1;3;2;1;;;;;;;;
Ridderkerk;G0597;10646;Zuid-Holland;P28;35083;28554;83;;28471;8297;9498;3519;2380;646;2721;474;389;291;46;76;53;17;16;23;8;14;;3;;;;;;
Riethoven;G0837;10455;Noord-Brabant;P30;1726;1519;7;;1512;942;202;216;105;24;1;5;3;1;3;3;3;1;;1;2;;;;;;;;;
Rijnsaterwoude;G0601;11129;Zuid-Holland;P28;975;859;4;;855;381;144;172;65;26;48;2;7;2;;2;3;;1;;;1;;1;;;;;;
Rijnsburg;G0602;11118;Zuid-Holland;P28;9345;7909;20;;7889;4875;845;831;303;105;190;417;263;33;3;10;9;1;;1;1;1;;;;1;;;;
Rijnwaarden;G0196;10819;Gelderland;P25;7578;5967;25;;5942;2686;2321;389;344;120;3;8;3;18;5;18;8;;4;3;4;2;6;;;;;;;
Rijsbergen;G0841;10866;Noord-Brabant;P30;4296;3360;22;;3338;1832;763;430;204;64;3;8;6;10;4;8;3;;;;3;;;;;;;;;
Rijssen;G0178;10358;Overijssel;P23;16191;14860;62;;14798;5035;2205;628;366;112;5134;159;1086;41;3;8;4;1;2;5;1;2;5;1;;;;;;
Rijswijk;G0603;11133;Zuid-Holland;P28;38970;31043;121;;30922;10032;7654;7078;3603;1065;180;245;164;573;57;96;40;61;4;37;15;10;;8;;;;;;
Roden;G0125;10699;Drenthe;P22;13936;12252;31;;12221;2904;5188;2158;1058;393;12;312;101;23;7;28;12;;5;15;3;;;2;;;;;;
Roermond;G0957;11313;Limburg;P31;28181;19463;73;;19390;7541;6470;3066;1104;718;10;74;43;168;40;71;25;34;6;5;5;4;;6;;;;;;
Roggel;G0958;10505;Limburg;P31;3277;2679;7;;2672;1701;504;249;111;88;3;2;1;6;2;1;2;2;;;;;;;;;;;;
Rolde;G0126;10470;Drenthe;P22;4737;4123;20;;4103;639;1610;1281;342;150;5;39;4;10;1;10;1;;1;9;1;;;;;;;;;
Roosendaal en Nispen;G0838;10407;Noord-Brabant;P30;44420;32586;101;;32485;13941;9390;4418;2457;1087;33;105;92;596;131;98;61;;12;16;34;6;;8;;;;;;
Rosmalen;G0839;10970;Noord-Brabant;P30;19784;15943;35;;15908;6920;3988;2353;1414;452;13;42;15;65;533;43;26;18;1;2;12;6;;5;;;;;;
Rossum;G0276;10860;Gelderland;P25;2319;2026;5;;2021;817;707;271;124;61;12;6;2;3;7;8;;;;1;2;;;;;;;;;
Rotterdam;G0599;10345;Zuid-Holland;P28;425941;301584;1935;;299649;61454;135966;36330;25921;15299;4163;2589;1866;10279;1463;1555;589;825;438;258;255;113;;133;94;59;;;;
Rozenburg;G0600;11314;Zuid-Holland;P28;10367;7759;29;;7730;2329;2504;1362;809;276;74;164;57;82;24;11;13;7;6;9;1;2;;;;;;;;
Rozendaal;G0277;10684;Gelderland;P25;1023;944;3;;941;334;127;307;118;31;1;7;5;2;;3;1;;;5;;;;;;;;;;
Rucphen;G0840;11152;Noord-Brabant;P30;16892;12215;44;;12171;4483;5839;1093;387;163;6;13;10;88;4;38;22;;1;5;16;1;;2;;;;;;
Ruinen;G0127;10629;Drenthe;P22;5285;4897;18;;4879;1285;1774;1306;269;114;12;40;37;23;2;8;2;;1;6;;;;;;;;;;
Ruinerwold;G0128;10944;Drenthe;P22;2666;2352;9;;2343;775;683;577;161;56;6;46;22;2;;6;3;;;5;;;;1;;;;;;
Ruurlo;G0278;10879;Gelderland;P25;5745;4864;26;;4838;1773;1471;1239;206;64;9;11;15;7;5;16;3;;2;3;3;1;10;;;;;;;
Sas van Gent;G0704;11405;Zeeland;P29;6167;4583;22;;4561;1743;1671;662;259;124;30;16;12;21;3;6;8;;2;1;1;1;;1;;;;;;
Sassenheim;G0604;10612;Zuid-Holland;P28;10613;9184;24;;9160;4456;1568;1842;753;251;57;54;49;48;29;20;19;6;1;4;1;;;;;2;;;;
Schagen;G0441;10511;Noord-Holland;P27;12357;9722;23;;9699;2703;2938;2296;1078;420;18;45;31;67;16;36;16;6;16;2;4;1;3;3;;;;;;
Schaijk;G0843;10276;Noord-Brabant;P30;5730;4815;14;;4801;2729;1105;447;253;138;3;9;1;4;97;5;4;2;;1;1;2;;;;;;;;
Scheemda;G0039;10711;Groningen;P20;5980;5305;16;;5289;1161;2884;541;269;180;8;69;78;21;7;6;6;;40;12;5;2;;;;;;;;
Schermer;G0458;10308;Noord-Holland;P27;3130;2704;5;;2699;1031;726;564;210;107;4;8;7;12;3;14;7;2;;2;;1;1;;;;;;;
Scherpenzeel;G0279;11146;Gelderland;P25;6108;5392;18;;5374;2226;955;862;254;80;688;53;209;30;2;7;;4;1;2;1;;;;;;;;;
Schiedam;G0606;11260;Zuid-Holland;P28;52997;40247;130;;40117;10364;16966;4625;3680;1940;308;217;277;1024;378;114;53;47;45;28;28;10;;13;;;;;;
Schiermonnikoog;G0088;10355;Fryslân;P21;742;1018;1;;1017;335;289;185;105;69;1;19;5;;3;3;1;;;2;;;;;;;;;;
Schijndel;G0844;11178;Noord-Brabant;P30;16024;12775;54;;12721;5843;3758;1100;615;256;9;5;6;33;1030;19;15;5;4;1;16;3;;3;;;;;;
Schinnen;G0962;10132;Limburg;P31;10369;8957;38;;8919;4522;2685;820;510;238;3;16;11;24;33;20;11;16;1;6;;1;;2;;;;;;
Schipluiden;G0607;10130;Zuid-Holland;P28;6058;5422;18;;5404;3517;488;685;357;155;62;37;34;34;3;12;7;3;1;1;5;3;;;;;;;;
Schoonebeek;G0129;10064;Drenthe;P22;5766;4975;14;;4961;2553;1770;295;201;86;3;19;17;5;1;5;3;;1;1;;;;1;;;;;;
Schoonhoven;G0608;10980;Zuid-Holland;P28;8167;6897;20;;6877;2475;1816;1110;607;258;345;74;70;62;9;36;4;6;2;2;;;;1;;;;;;
Schoorl;G0444;10627;Noord-Holland;P27;5146;4526;15;;4511;1443;1254;985;446;191;5;8;13;31;14;104;7;3;1;;5;;1;;;;;;;
Sevenum;G0964;10045;Limburg;P31;5135;4302;6;;4296;2978;602;338;224;83;4;14;1;5;28;7;3;4;3;;1;1;;;;;;;;
's-Graveland;G0390;10534;Noord-Holland;P27;7125;5938;17;;5921;2271;1285;1322;582;185;75;57;34;26;9;44;11;9;4;2;2;2;1;;;;;;;
's-Gravendeel;G0517;10052;Zuid-Holland;P28;6271;5328;20;;5308;1885;1845;724;281;77;305;58;75;28;2;13;5;2;2;2;4;;;;;;;;;
's-Gravenhage;G0518;11434;Zuid-Holland;P28;329426;234363;688;;233675;57312;79567;44496;24142;11332;2230;1779;1245;7364;728;1015;462;572;227;180;80;55;167;345;192;16;;138;;31
's-Gravenmoer;G0787;10469;Noord-Brabant;P30;1596;1349;2;;1347;649;264;191;92;24;23;27;64;3;6;4;;;;;;;;;;;;;;
's-Gravenzande;G0519;10640;Zuid-Holland;P28;13412;11197;11;;11186;5608;1828;2122;672;147;461;102;136;64;9;16;12;3;1;3;1;1;;;;;;;;
's-Hertogenbosch;G0796;10054;Noord-Brabant;P30;68961;51435;170;;51265;16758;19803;5238;4298;2882;60;239;93;605;789;205;113;69;25;31;30;12;;15;;;;;;
Simpelveld;G0965;10515;Limburg;P31;8969;7426;7;;7419;3541;2750;501;318;124;10;16;12;28;19;36;16;28;9;4;2;4;;1;;;;;;
Sint Maarten;G0445;10740;Noord-Holland;P27;1648;1297;5;;1292;468;343;253;129;66;;7;1;6;2;13;1;1;2;;;;;;;;;;;
Sint Odiliënberg;G0967;10278;Limburg;P31;2743;2180;9;;2171;1114;569;272;130;53;1;7;;9;2;1;5;3;2;1;1;1;;;;;;;;
Sint Pancras;G0446;10513;Noord-Holland;P27;3951;3416;5;;3411;1396;869;572;290;149;11;34;35;19;6;17;6;2;;1;;3;;1;;;;;;
Sint Philipsland;G0712;10394;Zeeland;P29;1669;1511;6;;1505;365;304;135;47;17;589;11;24;9;2;2;;;;;;;;;;;;;;
Sint-Michielsgestel;G0845;10496;Noord-Brabant;P30;9274;7711;42;;7669;3562;2351;795;563;206;2;30;8;19;92;15;11;5;1;1;4;3;;1;;;;;;
Sint-Oedenrode;G0846;10399;Noord-Brabant;P30;12283;10479;34;;10445;6043;2424;912;630;298;3;6;10;19;50;17;12;6;1;1;8;2;;3;;;;;;
Sittard;G0968;11230;Limburg;P31;34674;26288;95;;26193;11269;9343;2469;1468;1141;20;62;29;109;97;66;34;35;13;21;8;3;;6;;;;;;
Skarsterlân;G0051;10022;Fryslân;P21;17518;15412;40;;15372;6478;5295;1747;927;487;64;124;136;28;4;41;9;;10;14;4;3;;1;;;;;;
Sleen;G0130;10489;Drenthe;P22;6629;6033;24;;6009;1332;3158;940;255;137;13;36;87;16;5;8;7;;6;4;2;2;;1;;;;;;
Sliedrecht;G0610;11331;Zuid-Holland;P28;17187;13891;11;;13880;3580;4724;1445;792;337;2257;259;307;108;6;24;4;7;10;12;8;;;;;;;;;
Slochteren;G0040;10747;Groningen;P20;10598;8938;38;;8900;1837;3850;1294;543;293;26;827;97;25;15;25;9;;11;40;5;1;;2;;;;;;
Sluis;G0713;10895;Zeeland;P29;2147;1785;7;;1778;634;553;436;92;30;2;11;9;5;;2;1;;;1;;;;2;;;;;;
Smallingerland;G0090;10405;Fryslân;P21;37621;33080;92;;32988;10391;13869;2970;2191;1180;176;1237;743;46;34;64;28;;19;26;7;4;;3;;;;;;
Smilde;G0131;11033;Drenthe;P22;6716;5830;28;;5802;2152;2187;663;353;180;9;157;56;19;2;7;4;;;9;2;1;;1;;;;;;
Sneek;G0091;11421;Fryslân;P21;22362;18498;63;;18435;6275;7318;2179;1413;633;39;186;227;35;15;26;24;;26;23;7;5;;4;;;;;;
Soest;G0342;11021;Utrecht;P26;31020;25425;73;;25352;9546;4923;6436;2439;784;254;335;273;181;18;74;22;24;12;14;5;2;;3;3;1;3;;;
Someren;G0847;10203;Noord-Brabant;P30;12867;10397;35;;10362;6548;2051;908;495;239;9;16;7;26;18;15;9;7;1;1;9;1;;2;;;;;;
Son en Breugel;G0848;10549;Noord-Brabant;P30;10993;9174;23;;9151;4425;1604;1867;823;254;5;36;20;41;23;28;4;11;2;2;3;2;;1;;;;;;
Spijkenisse;G0612;10735;Zuid-Holland;P28;47218;35255;123;;35132;7888;13277;6254;4088;1258;324;248;228;554;653;98;92;51;36;27;27;14;;15;;;;;;
Sprang-Capelle;G0849;11233;Noord-Brabant;P30;7040;5700;28;;5672;2535;1190;668;255;102;665;59;105;34;11;24;9;2;3;5;1;4;;;;;;;;
Stad Delden;G0179;10913;Overijssel;P23;5804;5294;8;;5286;2774;1051;879;398;98;3;23;11;19;4;14;2;1;2;;;;7;;;;;;;
Stadskanaal;G0037;10610;Groningen;P20;25557;21793;63;;21730;7177;9894;1571;809;493;48;724;810;61;17;30;22;;25;28;14;6;;1;;;;;;
Standdaarbuiten;G0850;11212;Noord-Brabant;P30;2087;1742;1;;1741;854;482;225;123;24;;1;8;19;2;1;1;;;;;1;;;;;;;;
Staphorst;G0180;11362;Overijssel;P23;9070;8249;23;;8226;2270;906;706;215;67;2692;731;602;10;1;13;3;3;2;3;1;;;1;;;;;;
Stede Broec;G0532;11337;Noord-Holland;P27;12992;10558;28;;10530;4421;2875;1724;861;400;20;31;35;52;8;38;23;9;8;5;3;6;8;3;;;;;;
Stedum;G0041;10771;Groningen;P20;1408;1256;6;;1250;482;433;79;52;61;3;86;18;;2;3;3;;;28;;;;;;;;;;
Steenbergen;G0851;10731;Noord-Brabant;P30;10839;8296;31;;8265;3200;2970;1214;474;213;17;11;11;95;8;15;13;;5;4;10;1;;4;;;;;;
Steenderen;G0280;10497;Gelderland;P25;3539;3184;3;;3181;1801;750;352;132;85;10;9;13;4;;17;2;1;1;2;1;;;1;;;;;;
Steenwijk;G0181;10546;Overijssel;P23;15907;13483;39;;13444;4405;5490;1705;774;409;37;235;258;38;11;32;11;6;2;8;7;5;11;;;;;;;
Stein;G0971;11319;Limburg;P31;20513;16471;76;;16395;7508;5718;1324;1083;490;9;22;18;62;34;56;30;13;5;6;8;7;;2;;;;;;
Stevensweert;G0972;11203;Limburg;P31;1252;1060;3;;1057;595;296;104;41;13;;;;4;;;3;;;;;;;1;;;;;;
Stramproy;G0973;11186;Limburg;P31;3651;3032;12;;3020;1843;710;230;126;71;1;2;4;17;4;4;5;;;;;1;;2;;;;;;
Strijen;G0617;10558;Zuid-Holland;P28;6447;5455;17;;5438;1632;1820;1003;335;175;249;68;85;35;4;18;2;5;4;;3;;;;;;;;;
Susteren;G0974;10457;Limburg;P31;9996;8074;43;;8031;4119;2536;707;351;187;17;17;6;27;11;18;6;10;5;4;3;6;;1;;;;;;
Swalmen;G0975;10474;Limburg;P31;6472;4859;18;;4841;2306;1740;392;214;136;;7;;16;4;6;5;9;2;1;1;1;;1;;;;;;
't Zandt;G0054;10956;Groningen;P20;1812;1597;4;;1593;391;752;198;83;67;3;43;15;3;2;7;3;;2;22;2;;;;;;;;;
Tegelen;G0976;11333;Limburg;P31;13481;10023;32;;9991;4914;3331;808;551;209;4;28;10;67;17;18;12;7;5;5;4;1;;;;;;;;
Ten Boer;G0009;10891;Groningen;P20;4742;4257;11;;4246;1376;1402;422;268;161;11;477;88;6;2;7;5;;2;15;1;1;;2;;;;;;
Ter Aar;G0480;11104;Zuid-Holland;P28;6391;5499;7;;5492;3213;665;945;334;114;109;32;31;23;8;9;2;1;;3;3;;;;;;;;;
Terheijden;G0853;10905;Noord-Brabant;P30;6280;5108;9;;5099;2186;1562;627;461;161;4;15;8;39;8;10;6;;1;5;4;1;;1;;;;;;
Termunten;G0042;11023;Groningen;P20;3400;2840;13;;2827;681;1493;280;120;125;7;24;34;7;3;10;1;;29;10;2;1;;;;;;;;
Terneuzen;G0715;10704;Zeeland;P29;25889;19657;63;;19594;6426;6048;2669;1403;556;1091;746;309;196;44;54;20;;1;21;3;7;;;;;;;;
Terschelling;G0093;11210;Fryslân;P21;3634;4181;6;;4175;1060;1410;957;405;202;3;32;34;29;7;20;6;;1;6;1;1;;1;;;;;;
Teteringen;G0854;10677;Noord-Brabant;P30;4246;3714;4;;3710;1821;772;644;320;83;1;11;9;22;3;12;4;;;3;2;1;;2;;;;;;
Texel;G0448;10237;Noord-Holland;P27;9637;9255;26;;9229;3395;2453;1819;715;546;40;48;92;41;10;34;8;9;8;4;1;;3;3;;;;;;
Tholen;G0716;10376;Zeeland;P29;13943;11487;51;;11436;3036;3128;1274;429;142;2793;143;341;66;21;14;36;;4;4;3;1;;1;;;;;;
Thorn;G0977;11195;Limburg;P31;2103;1793;8;;1785;935;566;153;79;35;1;1;;6;1;2;1;2;;2;1;;;;;;;;;
Tiel;G0281;10027;Gelderland;P25;22638;17449;17;;17432;4917;7409;2740;1236;590;139;134;58;97;21;44;13;;2;4;4;3;18;3;;;;;;
Tilburg;G0855;10792;Noord-Brabant;P30;118627;85510;226;;85284;30658;30645;8883;6915;5174;157;242;115;754;1012;337;143;;50;64;58;41;;36;;;;;;
Tubbergen;G0183;10694;Overijssel;P23;13793;12812;20;;12792;10193;1511;606;281;93;12;20;19;14;;18;4;9;5;;4;;1;2;;;;;;
Tytsjerksteradiel;G0737;11241;Fryslân;P21;22202;19475;41;;19434;8128;6239;2077;1396;504;131;425;365;30;23;62;16;;6;15;8;7;;2;;;;;;
Ubbergen;G0282;10408;Gelderland;P25;7528;6357;20;;6337;2883;1880;755;425;301;3;14;4;17;6;30;10;;1;2;5;;1;;;;;;;
Uden;G0856;11141;Noord-Brabant;P30;25942;20773;42;;20731;9876;4771;3110;1366;482;12;47;28;73;849;45;19;14;3;10;13;5;;8;;;;;;
Udenhout;G0857;11268;Noord-Brabant;P30;6575;5155;3;;5152;2976;1093;559;337;129;2;2;1;18;6;8;6;;1;5;6;;;3;;;;;;
Uitgeest;G0450;11238;Noord-Holland;P27;7285;6077;17;;6060;2167;1599;1121;687;348;6;14;7;23;15;27;10;6;20;2;2;2;3;1;;;;;;
Uithoorn;G0451;11206;Noord-Holland;P27;17265;14292;27;;14265;5341;3016;3670;1376;477;26;62;63;92;21;38;19;23;3;6;9;3;6;6;;8;;;;
Ulrum;G0045;10180;Groningen;P20;2779;2423;4;;2419;928;749;258;98;54;20;228;69;1;2;3;;;;9;;;;;;;;;;
Urk;G0184;10783;Flevoland;P24;7493;6611;25;;6586;2694;80;84;32;15;2168;482;1000;30;;;;;1;;;;;;;;;;;
Usquert;G0046;11035;Groningen;P20;1233;1095;5;;1090;110;701;135;37;52;2;25;6;1;3;12;;;1;5;;;;;;;;;;
Utrecht;G0344;10722;Utrecht;P26;174831;133726;446;;133280;30887;49973;15662;14277;14072;757;1037;551;3417;1341;606;211;93;85;56;81;32;;26;40;34;42;;;
Vaals;G0981;10007;Limburg;P31;6600;5353;45;;5308;2160;2124;531;222;138;15;40;3;17;3;21;8;14;2;4;;3;;3;;;;;;
Valburg;G0283;11071;Gelderland;P25;9246;7839;18;;7821;3711;1858;941;494;218;403;61;68;14;1;17;9;;;14;7;;4;1;;;;;;
Valkenburg (ZH);G0619;10028;Zuid-Holland;P28;2321;1937;9;;1928;1046;266;247;101;34;48;108;48;14;4;7;;3;;1;1;;;;;;;;;
Valkenburg aan de Geul;G0994;11077;Limburg;P31;14027;11857;38;;11819;6078;3349;1336;580;261;11;21;22;58;20;28;23;18;4;4;1;;;5;;;;;;
Valkenisse;G0720;10779;Zeeland;P29;4616;4297;9;;4288;1868;774;834;335;124;216;66;44;12;3;4;4;;2;2;;;;;;;;;;
Valkenswaard;G0858;11031;Noord-Brabant;P30;22604;18005;34;;17971;8421;5065;2428;1201;507;31;29;29;86;65;34;12;31;4;7;10;6;;5;;;;;;
Veendam;G0047;11292;Groningen;P20;21187;17952;54;;17898;3178;10180;2307;1086;495;12;187;188;78;55;27;20;;16;52;9;3;;5;;;;;;
Veenendaal;G0345;11052;Utrecht;P26;32816;26964;13;;26951;11007;5302;3568;1407;591;2595;694;1487;181;28;22;10;22;8;10;3;4;;4;1;3;4;;;
Veere;G0717;10369;Zeeland;P29;3654;3423;6;;3417;1642;453;509;232;102;224;162;59;5;6;9;2;;5;6;;1;;;;;;;;
Veghel;G0860;10985;Noord-Brabant;P30;18343;14893;46;;14847;7831;3434;1813;999;362;10;27;23;62;193;34;9;18;5;6;13;3;;5;;;;;;
Veldhoven;G0861;10071;Noord-Brabant;P30;29019;22832;35;;22797;10887;5661;3064;1935;782;30;48;56;109;84;45;30;20;10;5;12;11;;8;;;;;;
Velsen;G0453;10620;Noord-Holland;P27;45646;35734;121;;35613;11308;12052;6279;3094;1430;103;316;261;298;51;163;42;59;65;22;24;10;32;3;;1;;;;
Venhuizen;G0454;10433;Noord-Holland;P27;5304;4625;8;;4617;1944;1013;1009;358;164;9;9;12;32;1;40;11;4;5;2;;1;3;;;;;;;
Venlo;G0983;10477;Limburg;P31;47323;33304;69;;33235;16887;8987;3638;2009;978;32;100;62;169;150;99;46;29;14;3;19;5;;8;;;;;;
Venray;G0984;11222;Limburg;P31;25186;18622;56;;18566;10619;4338;1572;1109;592;17;33;7;62;92;41;41;19;5;8;7;1;;3;;;;;;
Vessem, Wintelre en Knegsel;G0862;11414;Noord-Brabant;P30;3693;3224;5;;3219;2234;414;301;159;82;1;3;5;9;1;5;3;;;1;;1;;;;;;;;
Vianen;G0620;10887;Zuid-Holland;P28;13324;11003;34;;10969;4013;3099;1789;983;289;491;59;70;90;17;24;16;7;11;3;5;2;;1;;;;;;
Vierlingsbeek;G0863;10066;Noord-Brabant;P30;5850;5063;6;;5057;3165;1058;393;238;144;4;11;1;10;9;13;5;2;;1;1;;;2;;;;;;
Vlaardingen;G0622;10811;Zuid-Holland;P28;57196;44678;118;;44560;12322;16128;5738;4126;1830;1119;457;506;545;1478;98;59;64;19;27;25;9;;10;;;;;;
Vlagtwedde;G0048;11249;Groningen;P20;12744;10707;43;;10664;3393;5186;1110;365;194;14;84;186;26;12;46;9;;11;15;6;5;;2;;;;;;
Vledder;G0132;11120;Drenthe;P22;2839;2493;2;;2491;556;1132;490;168;78;;20;15;13;3;10;1;;1;3;;;;1;;;;;;
Vleuten-De Meern;G0347;10658;Utrecht;P26;12158;10597;31;;10566;5203;1583;2289;812;256;103;145;45;73;5;22;7;6;2;4;7;2;;1;;;1;;;
Vlieland;G0096;10211;Fryslân;P21;848;1117;6;;1111;251;361;285;111;70;;13;2;4;3;5;2;;;;2;1;;1;;;;;;
Vlijmen;G0864;11293;Noord-Brabant;P30;11665;9620;35;;9585;4694;2616;1132;725;220;7;12;6;59;47;23;12;11;6;11;2;1;;1;;;;;;
Vlissingen;G0718;10270;Zeeland;P29;33023;25112;96;;25016;7230;9232;3681;2326;839;651;223;216;328;127;57;48;;13;13;18;6;;8;;;;;;
Vlist;G0623;11174;Zuid-Holland;P28;7046;6216;21;;6195;2434;1344;1055;459;127;577;47;78;39;7;12;9;4;1;1;;1;;;;;;;;
Vlodrop;G0985;10644;Limburg;P31;1745;1421;7;;1414;747;403;153;58;26;;3;2;7;3;5;1;4;;;1;;;1;;;;;;
Voerendaal;G0986;11341;Limburg;P31;10310;8650;1;;8649;4567;2383;895;443;196;5;18;11;27;19;26;25;13;5;7;7;;;2;;;;;;
Voorburg;G0624;11103;Zuid-Holland;P28;32358;26565;66;;26499;8463;6047;6666;3063;883;144;316;136;460;60;102;54;65;7;15;10;5;;3;;;;;;
Voorhout;G0625;10017;Zuid-Holland;P28;7015;6192;14;;6178;3005;878;1430;526;195;19;33;12;22;8;21;9;10;4;1;1;2;;;;2;;;;
Voorschoten;G0626;10537;Zuid-Holland;P28;16350;13938;13;;13925;5164;2659;3699;1539;389;106;108;81;35;23;52;22;26;5;11;3;2;;;;1;;;;
Voorst;G0285;10912;Gelderland;P25;17621;15013;41;;14972;6744;4128;2326;903;360;233;71;79;33;14;32;11;12;3;13;5;5;;;;;;;;
Vorden;G0286;10957;Gelderland;P25;6554;5866;20;;5846;2765;1498;997;303;121;23;41;36;15;5;23;6;5;;2;4;2;;;;;;;;
Vries;G0133;10630;Drenthe;P22;7326;6393;49;;6344;1133;2407;1813;556;223;8;97;30;35;5;10;9;;1;14;2;1;;;;;;;;
Vriezenveen;G0186;10643;Overijssel;P23;13350;11705;27;;11678;5640;3439;700;368;112;490;142;730;24;3;12;6;2;2;3;1;;4;;;;;;;
Vught;G0865;11224;Noord-Brabant;P30;18364;14502;28;;14474;6435;3885;2180;1165;504;28;62;7;71;38;46;12;11;3;10;6;7;;4;;;;;;
Waalre;G0866;10959;Noord-Brabant;P30;11621;9877;22;;9855;4509;1983;2018;954;262;7;25;10;33;12;19;9;10;1;1;1;;;1;;;;;;
Waalwijk;G0867;11359;Noord-Brabant;P30;21011;16522;38;;16484;7172;4798;2174;1156;596;68;65;102;157;74;39;20;30;3;14;10;4;;2;;;;;;
Waddinxveen;G0627;10081;Zuid-Holland;P28;17639;15079;29;;15050;5225;3351;2779;1288;319;1150;348;382;117;23;28;11;8;3;11;2;3;;;;2;;;;
Wageningen;G0289;11010;Gelderland;P25;26423;21533;34;;21499;5226;7059;2571;2784;2777;392;245;164;34;80;107;24;4;2;12;12;3;;3;;;;;;
Wanroij;G0868;10265;Noord-Brabant;P30;3667;3253;9;;3244;2310;534;202;111;66;;2;1;3;6;6;2;;;;1;;;;;;;;;
Warffum;G0049;10498;Groningen;P20;1790;1584;7;;1577;414;723;214;92;55;3;38;15;2;3;8;1;;;9;;;;;;;;;;
Warmenhuizen;G0456;10221;Noord-Holland;P27;3361;2861;7;;2854;1373;566;484;228;138;2;12;5;6;6;18;7;1;1;2;3;;1;1;;;;;;
Warmond;G0628;10204;Zuid-Holland;P28;3948;3284;8;;3276;1603;554;621;283;105;28;19;5;25;6;13;3;3;2;1;5;;;;;;;;;
Warnsveld;G0291;10838;Gelderland;P25;6440;5543;14;;5529;1703;1868;1073;548;181;10;49;43;5;4;29;3;6;2;2;2;1;;;;;;;;
Waspik;G0869;10402;Noord-Brabant;P30;3613;3092;11;;3081;1538;937;293;157;65;21;8;12;17;17;2;3;3;;;5;2;;1;;;;;;
Wassenaar;G0629;10164;Zuid-Holland;P28;19199;16509;13;;16496;6397;2028;6257;1165;256;79;82;40;71;7;53;19;15;6;10;8;1;;;;2;;;;
Wateringen;G0630;11329;Zuid-Holland;P28;11507;9503;0;;9503;5382;1320;1550;714;225;16;50;37;114;7;40;12;15;6;9;2;4;;;;;;;;
Weerselo;G0188;10893;Overijssel;P23;6471;6083;14;;6069;4830;618;288;197;87;2;8;6;17;2;2;4;;;1;1;2;1;3;;;;;;
Weert;G0988;11081;Limburg;P31;30270;23355;87;;23268;10912;7718;2471;1165;496;14;22;42;154;128;50;36;23;7;8;7;7;;8;;;;;;
Weesp;G0457;10773;Noord-Holland;P27;13717;10865;30;;10835;3134;3282;2093;1254;558;56;92;64;147;11;60;15;23;11;11;8;4;11;;;1;;;;
Wehl;G0292;11116;Gelderland;P25;4977;3968;17;;3951;2371;1042;257;175;79;;3;;12;;5;3;;;2;2;;;;;;;;;
Werkendam;G0870;10078;Noord-Brabant;P30;13252;11299;32;;11267;5004;2490;1143;476;206;1367;183;292;49;19;17;2;7;1;3;4;;;4;;;;;;
Wervershoof;G0459;11270;Noord-Holland;P27;5286;4509;11;;4498;2775;774;527;227;136;1;4;9;15;1;16;2;3;1;1;2;2;1;1;;;;;;
