RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);VVD;CDA;Democraten 66 (D66);GL;SP (Socialistische Partij);Reformatorische Politieke Federatie (RPF);Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Centrumdemocraten;AOV/Unie55+;Nederland Mobiel;Senioren 2000;Nederlandse Middenstands Partij;De Groenen;Natuurwetpartij;Katholiek Politieke Partij;Vrije Indische Partij;Nieuw Solidair Ouderen Verbond;Nieuwe Communistische Partij;Idealisten/Jij;Het Kiezers Collectief
Vlaardingen;G0622;10811;Zuid-Holland;P28;57251;40837;;50;40787;13275;10123;5098;3162;2782;2807;921;836;466;323;295;211;171;74;59;49;26;23;55;11;7;13
Vlagtwedde;G0048;11249;Groningen;P20;12733;8849;;10;8839;3585;1547;2026;375;416;297;256;13;50;64;62;39;30;34;12;11;5;0;;16;1;
Vleuten-De Meern;G0347;10658;Utrecht;P26;14768;12187;;5;12182;2535;4190;2575;1235;676;264;128;89;114;82;43;62;72;52;14;20;11;7;8;2;2;1
Vlieland;G0096;10211;Fryslân;P21;874;974;;1;973;261;360;92;122;79;15;14;0;11;0;2;;6;3;5;2;;0;;1;0;
Vlissingen;G0718;10270;Zeeland;P29;33755;22764;;33;22731;7244;5666;2873;1818;1577;1467;590;424;229;145;257;135;104;33;30;35;17;29;40;13;5;
Vlist;G0623;11174;Zuid-Holland;P28;7408;6138;;16;6122;1366;1756;1232;450;192;106;304;552;41;33;14;31;13;22;3;1;4;0;;1;0;1
Voerendaal;G0986;11341;Limburg;P31;10224;7711;;4;7707;2057;1632;2305;683;499;277;17;0;17;55;31;27;31;22;6;26;15;0;6;1;0;0
Voorburg;G0624;11103;Zuid-Holland;P28;30944;24271;;34;24237;5067;8782;3881;3107;1502;556;273;80;194;137;120;150;155;41;42;48;44;26;;13;10;9
Voorhout;G0625;10017;Zuid-Holland;P28;8640;7063;;6;7057;1448;2610;1428;800;375;131;52;15;32;25;27;38;18;21;10;17;7;1;;0;1;1
Voorschoten;G0626;10537;Zuid-Holland;P28;16799;13918;;7;13911;2677;5232;2465;1881;846;226;117;58;96;43;49;51;64;20;20;27;21;11;;2;1;4
Voorst;G0285;10912;Gelderland;P25;17769;14053;;31;14022;4174;3508;3717;1128;626;165;146;221;54;47;29;50;27;46;16;21;20;3;20;3;1;0
Vorden;G0286;10957;Gelderland;P25;6638;5546;;3;5543;1499;1513;1613;370;269;100;58;16;20;9;10;23;9;15;11;3;1;0;2;1;1;0
Vriezenveen;G0186;10643;Overijssel;P23;14511;11616;;33;11583;3168;1592;4048;386;338;188;1039;524;105;33;37;69;19;7;4;8;3;3;;1;2;9
Vught;G0865;11224;Noord-Brabant;P30;18822;13991;;17;13974;3984;3998;2615;1562;944;448;28;16;36;66;44;50;47;52;23;19;18;8;11;;1;4
Waalre;G0866;10959;Noord-Brabant;P30;12161;9610;;18;9592;2168;3226;1904;1205;514;264;22;7;13;49;27;54;48;25;9;17;16;4;15;;4;1
Waalwijk;G0867;11359;Noord-Brabant;P30;33949;24070;;58;24012;6828;6073;4866;1588;1347;938;631;627;134;191;131;186;158;74;31;62;21;24;83;9;6;4
Waddinxveen;G0627;10081;Zuid-Holland;P28;19329;15297;;0;15297;3440;4417;2456;1265;600;280;1002;1021;382;113;120;69;52;30;13;14;6;11;;4;1;1
Wageningen;G0289;11010;Gelderland;P25;25657;19823;;49;19774;5922;3479;2634;2681;3163;551;464;269;203;57;35;70;37;22;100;28;13;18;5;11;12;0
Warmond;G0628;10204;Zuid-Holland;P28;4078;3169;;2;3167;650;1103;705;301;198;60;13;18;10;16;24;20;8;12;7;8;9;3;;2;0;0
