RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);VVD;CDA;Democraten 66 (D66);GL;SP (Socialistische Partij);Reformatorische Politieke Federatie (RPF);Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Centrumdemocraten;AOV/Unie55+;Nederland Mobiel;Senioren 2000;Nederlandse Middenstands Partij;De Groenen;Natuurwetpartij;Katholiek Politieke Partij;Vrije Indische Partij;Nieuw Solidair Ouderen Verbond;Nieuwe Communistische Partij;Idealisten/Jij;Het Kiezers Collectief
Bathmen;G0144;11030;Overijssel;P23;4071;3485;;10;3475;966;1266;626;355;155;36;3;3;6;8;8;13;10;11;2;5;0;0;;0;1;1
Bedum;G0005;10425;Groningen;P20;7853;6662;;20;6642;1744;799;2054;504;309;140;132;37;802;10;29;23;11;9;19;9;3;4;;2;2;
Beek;G0888;11374;Limburg;P31;13211;9567;;12;9555;2694;2374;2242;802;758;317;15;2;10;73;108;27;38;9;16;26;11;9;16;4;0;4
Beemster;G0370;10816;Noord-Holland;P27;6289;5085;;12;5073;1344;1851;811;493;277;93;24;2;6;20;26;41;23;28;13;5;6;8;;2;0;0
Beesel;G0889;10195;Limburg;P31;9872;6839;;7;6832;2143;1596;1704;388;453;127;13;5;11;202;42;24;41;16;7;18;14;8;12;4;0;4
Belfeld;G0890;10292;Limburg;P31;4053;2728;;7;2721;817;657;682;203;175;72;5;0;1;51;18;7;6;11;6;4;2;0;1;1;2;0
Bellingwedde;G0007;10340;Groningen;P20;7524;5679;;27;5652;2743;976;513;347;452;243;104;11;26;49;42;17;30;25;13;8;1;0;;49;3;
Bemmel;G0206;10744;Gelderland;P25;12968;9399;;14;9385;3222;2168;2303;767;481;210;18;4;16;42;27;33;23;20;15;12;6;5;11;0;2;0
Bennebroek;G0372;10734;Noord-Holland;P27;4060;3387;;7;3380;612;1329;766;354;165;43;27;7;16;9;4;15;5;7;3;7;7;1;;1;0;2
Bergambacht;G0491;10962;Zuid-Holland;P28;6844;5908;;10;5898;1766;1520;798;434;149;96;332;648;50;23;15;23;16;13;9;3;1;0;;1;0;1
Bergen;G0893;11281;Limburg;P31;10062;6887;;8;6879;2201;1432;2121;352;364;156;4;0;13;59;37;33;27;31;16;12;9;4;8;0;0;0
Bergen;G0373;11424;Noord-Holland;P27;10736;8918;;15;8903;2004;3158;1185;1220;838;181;35;4;16;53;35;37;33;26;25;33;13;2;;1;3;1
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;47199;31542;;47;31495;8828;9596;4877;2787;2389;1256;146;34;68;347;91;498;274;76;41;39;28;35;53;16;9;7
Bergeyk;G0749;11160;Noord-Brabant;P30;13404;10202;;8;10194;2765;2239;3387;597;602;265;25;4;11;49;38;64;54;38;10;11;18;4;11;;2;0
Bergh;G0207;10350;Gelderland;P25;14223;10081;;13;10068;3453;2212;2906;561;425;165;31;8;11;64;33;39;45;44;23;17;17;6;5;1;1;1
Bergschenhoek;G0492;10445;Zuid-Holland;P28;7454;5944;;5;5939;1085;2093;1335;525;222;101;200;53;159;33;27;52;18;19;5;4;3;2;;1;1;1
Berkel en Rodenrijs;G0493;10139;Zuid-Holland;P28;11807;9653;;6;9647;1694;2871;2526;815;406;140;120;53;746;46;53;60;33;40;16;14;9;2;;0;3;0
Bernheze;G1721;10149;Noord-Brabant;P30;21056;15697;;18;15679;3958;2891;5339;984;657;1472;13;5;12;76;42;49;39;65;13;20;17;5;21;;0;1
Bernisse;G0568;10316;Zuid-Holland;P28;9671;7281;;9;7272;1889;2453;1334;687;299;139;101;108;44;34;31;92;20;20;4;7;0;3;6;1;0;0
Best;G0753;10442;Noord-Brabant;P30;18412;13880;;33;13847;4220;3818;2696;1293;731;412;56;6;127;137;68;78;42;27;16;34;14;9;57;;1;5
Beuningen;G0209;10417;Gelderland;P25;17915;12950;;37;12913;4290;3385;2398;1183;865;400;47;2;44;;79;48;62;36;22;15;15;19;;2;1;0
Beverwijk;G0375;10272;Noord-Holland;P27;27224;19610;;13;19597;6703;4935;2952;1500;1688;660;115;15;53;141;121;395;140;43;37;24;27;16;;11;10;11
Binnenmaas;G0585;10222;Zuid-Holland;P28;14818;11841;;13;11828;3088;3741;1900;1025;488;244;256;681;92;60;37;103;35;28;12;22;2;3;6;1;2;2
Bladel;G1728;11006;Noord-Brabant;P30;14342;10665;;34;10631;3077;2264;3239;656;681;341;14;9;18;54;45;50;47;32;10;33;26;2;28;;3;2
Blaricum;G0376;10493;Noord-Holland;P27;7562;6309;;3;6306;1337;2668;768;846;330;108;54;13;18;25;14;19;27;36;11;19;6;4;;1;1;1
Bleiswijk;G0495;10994;Zuid-Holland;P28;6913;5657;;2;5655;1003;1980;1349;459;201;74;266;102;76;21;27;34;19;21;5;7;5;3;;2;1;0
Bloemendaal;G0377;10850;Noord-Holland;P27;12804;10992;;10;10982;1748;5033;1615;1549;604;101;67;13;69;24;25;34;20;21;17;14;18;3;;2;1;4
Boarnsterhim;G0055;10815;Fryslân;P21;13802;11298;;14;11284;4724;2361;1779;1131;696;292;73;25;37;39;22;;15;42;15;13;;8;;9;3;
Bodegraven;G0497;11091;Zuid-Holland;P28;13764;10851;;9;10842;2290;2753;2638;845;478;201;651;572;165;55;41;52;17;46;16;9;7;1;;3;2;0
Boekel;G0755;10432;Noord-Brabant;P30;6863;5278;;17;5261;1426;903;2059;251;213;215;9;3;4;39;21;33;22;26;0;4;9;1;18;;4;1
Bolsward;G0064;10865;Fryslân;P21;7252;5572;;15;5557;1807;785;1754;349;430;205;109;14;40;8;8;;12;17;2;10;;3;;4;0;
Borculo;G0211;11307;Gelderland;P25;7897;6362;;7;6355;2279;1805;1257;424;273;116;37;3;24;31;16;20;17;30;5;4;6;1;5;2;0;0
Borger-Odoorn;G1681;10448;Drenthe;P22;20061;15421;;11;15410;6540;3364;2386;1130;722;410;373;6;164;;76;80;26;52;22;20;6;3;;17;3;10
Born;G0897;10927;Limburg;P31;11198;8149;;12;8137;2595;1702;2029;565;575;248;14;3;10;55;156;45;30;15;16;32;23;7;10;6;0;1
Borne;G0147;10326;Overijssel;P23;16651;13491;;15;13476;3885;2916;4273;1000;660;290;89;7;50;56;61;65;28;34;10;27;12;2;;2;1;8
Borsele;G0654;10043;Zeeland;P29;15980;11984;;12;11972;2857;2561;2617;720;522;262;311;1604;153;59;66;98;20;46;13;31;14;3;13;0;2;
Boskoop;G0499;10419;Zuid-Holland;P28;10918;8824;;10;8814;1730;2699;1975;711;530;172;390;293;85;49;35;54;14;44;13;10;3;2;;4;1;0
Boxmeer;G0756;11227;Noord-Brabant;P30;21379;16923;;23;16900;4922;3499;4811;1115;975;1098;36;6;9;105;51;57;51;49;24;28;23;7;18;;3;13
Boxtel;G0757;10083;Noord-Brabant;P30;21940;15055;;25;15030;4730;3229;3262;1489;1014;848;23;4;23;102;50;50;44;44;15;36;29;14;17;;3;4
Brakel;G0212;11125;Gelderland;P25;5174;4162;;16;4146;1083;594;786;129;113;74;319;938;59;;10;3;19;9;7;2;0;0;;1;0;0
Breda;G0758;10154;Noord-Brabant;P30;121049;82229;;94;82135;23323;22335;13092;9376;7276;3548;348;72;179;580;473;234;355;218;165;165;109;111;89;48;18;21
Brederwiede;G0194;11088;Overijssel;P23;9335;7663;;18;7645;2165;1435;2210;449;263;93;189;43;610;36;28;33;44;22;9;7;3;3;;1;1;1
Breukelen;G0311;10807;Utrecht;P26;10628;8659;;27;8632;1649;2529;1733;889;521;119;368;482;69;27;35;69;82;18;7;10;8;2;10;1;4;0
Brielle;G0501;10232;Zuid-Holland;P28;12286;9269;;12;9257;2643;3375;1132;951;441;199;90;39;32;34;52;127;38;52;12;21;4;1;5;5;2;2
Broekhuizen;G0898;10856;Limburg;P31;1450;1117;;9;1108;223;262;427;75;48;24;2;0;1;7;12;4;5;6;1;4;3;0;1;1;1;1
Brummen;G0213;10798;Gelderland;P25;16361;12776;;20;12756;4948;3313;1874;1114;696;288;83;32;57;70;28;75;45;43;19;27;9;9;12;12;0;2
Brunssum;G0899;10533;Limburg;P31;23459;15433;;26;15407;5422;2573;3201;904;913;1542;89;8;116;198;94;54;80;22;30;50;46;13;41;6;3;2
Bunnik;G0312;10820;Utrecht;P26;10541;8913;;19;8894;1795;2579;1992;1097;785;163;93;109;57;35;23;52;34;30;20;5;10;7;5;1;2;0
Bunschoten;G0313;11343;Utrecht;P26;13481;11084;;1;11083;858;1469;3282;276;188;62;1190;272;3312;24;14;71;3;41;6;3;3;2;0;0;4;3
Buren;G0214;11286;Gelderland;P25;7900;6187;;17;6170;1792;2201;791;561;290;138;57;154;44;;15;56;18;34;5;4;3;1;;5;0;1
Bussum;G0381;10281;Noord-Holland;P27;23905;18462;;24;18438;4173;6355;2708;2385;1406;354;242;80;124;78;100;125;100;65;28;49;26;15;;9;10;6
Capelle aan den IJssel;G0502;11248;Zuid-Holland;P28;47541;33818;;37;33781;9999;9979;3205;3356;1820;957;707;1974;817;196;145;214;169;57;38;70;9;40;;10;2;17
Castricum;G0383;11287;Noord-Holland;P27;17787;14951;;14;14937;3832;4655;2175;1929;1530;320;91;3;48;54;39;83;56;30;23;31;17;10;;6;3;2
Coevorden;G0109;10383;Drenthe;P22;26563;21027;;49;20978;8144;4980;4163;1490;930;405;287;43;142;;98;92;62;49;20;26;8;11;;20;1;7
Cranendonck;G1706;10219;Noord-Brabant;P30;15348;11323;;28;11295;3405;2733;3056;737;610;310;30;6;9;86;84;52;51;40;13;14;12;12;30;;2;3
Cromstrijen;G0611;11346;Zuid-Holland;P28;9810;7670;;6;7664;2320;2217;1159;611;313;145;184;482;45;44;27;56;10;24;7;8;1;2;3;1;4;1
Cuijk;G1684;10023;Noord-Brabant;P30;17513;12419;;12;12407;4072;2769;2865;917;895;459;13;4;17;84;53;55;74;35;30;17;11;5;24;;3;5
Culemborg;G0216;10342;Gelderland;P25;17503;13074;;11;13063;3654;3702;1976;1412;938;727;188;125;57;;60;70;44;42;20;15;9;8;;6;7;3
Dalfsen;G0148;11007;Overijssel;P23;12884;10852;;28;10824;2310;1787;4133;611;399;143;242;56;932;27;26;53;6;62;14;11;9;1;;1;1;0
Dantumadeel;G0065;10650;Fryslân;P21;14718;11168;;12;11156;3113;981;3986;408;495;331;743;612;354;56;15;;11;28;10;8;;2;;3;0;
De Bilt;G0310;10168;Utrecht;P26;25427;21098;;13;21085;4348;7154;2851;3250;1624;588;281;197;357;69;55;66;81;39;33;25;19;18;19;3;4;4
De Lier;G0552;10241;Zuid-Holland;P28;8150;6464;;7;6457;902;2224;2340;346;162;83;86;23;142;43;21;42;14;13;1;2;4;1;2;1;2;3
De Marne;G1663;10180;Groningen;P20;8358;6533;;8;6525;2211;1045;1449;340;383;210;118;17;571;29;23;32;17;27;24;16;3;1;;8;1;
De Ronde Venen;G0736;11379;Utrecht;P26;25055;19563;;11;19552;3564;7327;4175;1759;841;220;613;335;136;106;59;176;67;80;24;25;19;6;12;0;5;3
De Wolden;G1690;10262;Drenthe;P22;17771;14468;;15;14453;4325;4325;2944;1142;573;235;210;42;309;;82;92;38;74;21;24;2;1;;9;1;4
Delft;G0503;10928;Zuid-Holland;P28;72141;54181;;149;54032;16348;12589;6690;7279;5926;2052;786;339;485;382;174;257;193;113;134;97;47;46;50;22;21;2
Delfzijl;G0010;10976;Groningen;P20;22891;16470;;17;16453;6599;3013;2776;1015;840;932;405;21;323;104;151;84;51;40;17;12;8;27;;33;2;
Den Ham;G0159;10395;Overijssel;P23;11087;8593;;8;8585;2240;837;3713;203;210;165;566;45;474;33;21;43;11;12;2;4;0;0;;3;0;3
Den Helder;G0400;10285;Noord-Holland;P27;45630;30551;;31;30520;8343;10364;3795;2426;2031;794;665;153;385;218;572;174;288;79;44;55;29;79;;7;6;13
Denekamp;G0149;10245;Overijssel;P23;9358;7643;;26;7617;1840;1284;3603;356;254;93;13;3;14;33;40;23;19;10;3;5;17;1;;2;3;1
Deurne;G0762;10379;Noord-Brabant;P30;23818;16928;;25;16903;4586;3600;5281;1133;951;711;22;9;22;122;108;74;68;101;20;33;26;4;26;;3;3
Deventer;G0150;10899;Overijssel;P23;53314;38797;;29;38768;14773;8142;4774;3927;3886;1493;460;56;270;256;140;107;186;50;79;63;18;43;;22;14;9
Didam;G0218;10153;Gelderland;P25;12771;9464;;13;9451;3397;1753;2816;563;479;230;16;2;13;53;22;12;32;19;11;5;12;4;7;3;2;0
Diemen;G0384;11039;Noord-Holland;P27;17723;12596;;17;12579;3504;4267;1118;1532;1204;373;75;7;51;91;49;99;76;47;47;7;12;6;;5;4;5
Diepenheim;G0151;10311;Overijssel;P23;2165;1891;;4;1887;705;515;375;120;79;36;10;5;3;5;6;5;8;10;0;4;1;0;;0;0;0
Diepenveen;G0152;10933;Overijssel;P23;8131;7006;;15;6991;1716;1881;2032;678;321;118;56;7;25;23;16;25;8;44;13;5;19;2;;1;0;1
Dinxperlo;G0219;11154;Gelderland;P25;6248;4368;;3;4365;1296;756;1673;217;156;81;106;7;9;9;8;9;13;15;3;2;3;1;0;0;1;0
Dirksland;G0504;11344;Zuid-Holland;P28;6002;4683;;9;4674;1185;815;648;205;124;78;394;1043;46;23;16;39;7;35;4;4;1;2;4;0;1;0
Dodewaard;G0220;10647;Gelderland;P25;3167;2562;;1;2561;878;506;484;134;80;55;90;259;19;18;12;3;5;10;2;3;0;0;2;1;0;0
Doesburg;G0221;10327;Gelderland;P25;8366;6214;;13;6201;2099;1271;993;589;403;569;60;18;53;32;19;23;16;14;8;12;2;9;10;1;0;0
Doetinchem;G0222;10396;Gelderland;P25;34403;25781;;21;25760;9045;5744;4747;2157;1914;831;422;222;139;148;71;71;74;43;31;29;19;29;10;7;2;5
Dongen;G0766;11412;Noord-Brabant;P30;18526;13390;;29;13361;3984;3020;2794;1147;808;1036;148;30;47;89;43;49;46;29;8;23;13;24;3;10;8;2
Dongeradeel;G0058;10198;Fryslân;P21;18054;14120;;22;14098;3344;1483;6230;656;703;379;718;102;340;28;31;;16;34;13;14;;2;;2;3;
Doorn;G0315;10213;Utrecht;P26;8084;6405;;6;6399;1247;2286;1082;728;399;75;147;184;77;23;16;52;19;22;13;10;4;6;8;0;1;0
Dordrecht;G0505;11157;Zuid-Holland;P28;87219;59964;;59;59905;19602;14715;7386;5502;4672;1879;1788;1590;750;469;487;232;239;102;83;122;38;105;88;18;24;14
Drechterland;G0498;10642;Noord-Holland;P27;7063;5611;;5;5606;1405;1765;1240;514;370;101;23;7;13;27;21;43;17;23;7;14;12;2;;0;2;0
Driebergen-Rijsenburg;G0316;10777;Utrecht;P26;14032;11260;;20;11240;2307;3215;1893;1376;1157;169;368;329;175;20;43;57;26;23;32;13;15;6;8;1;7;0
Drimmelen;G1719;10258;Noord-Brabant;P30;20268;14527;;11;14516;4708;3735;3051;1276;754;481;46;23;41;103;50;53;50;37;17;25;6;15;24;9;2;10
Dronten;G0303;10210;Flevoland;P24;23758;18608;;17;18591;3835;5673;4388;1386;982;324;646;120;627;70;141;150;58;100;18;46;10;7;;8;2;
Druten;G0225;10068;Gelderland;P25;12045;8915;;29;8886;3375;2088;1724;712;492;265;12;0;13;;27;38;61;31;14;7;13;5;;5;2;2
Duiven;G0226;11028;Gelderland;P25;17701;13572;;17;13555;4118;3823;2663;1282;795;361;76;8;103;56;34;80;70;28;3;15;6;13;18;0;2;1
Echt;G0902;10941;Limburg;P31;14714;10204;;18;10186;3283;1977;2507;567;890;321;18;5;10;132;179;40;49;32;20;41;55;5;46;1;5;3
Echteld;G0227;10832;Gelderland;P25;5076;4177;;4;4173;1388;984;523;150;102;72;255;621;14;;6;18;6;17;3;8;0;2;;1;3;0
Edam-Volendam;G0385;10884;Noord-Holland;P27;20365;15659;;14;15645;2982;5600;4335;919;737;255;42;8;33;182;86;175;45;70;29;23;108;5;;7;2;2
Ede;G0228;10743;Gelderland;P25;73650;59199;;125;59074;10638;14364;11999;4036;3241;912;4590;6527;1054;343;193;423;132;233;84;53;16;153;50;16;7;10
Eemnes;G0317;10248;Utrecht;P26;6043;4890;;3;4887;1038;1631;985;543;273;86;88;54;39;19;13;35;9;46;5;5;2;8;2;2;3;1
Eemsmond;G1651;10246;Groningen;P20;12428;10040;;24;10016;3613;1412;2241;496;518;334;138;20;980;47;49;44;39;29;22;12;8;2;;10;2;
Eersel;G0770;10741;Noord-Brabant;P30;13412;10552;;6;10546;2661;2400;3381;842;634;279;34;5;17;40;31;64;38;30;18;25;23;3;14;;3;4
Egmond;G0357;10421;Noord-Holland;P27;8882;6836;;13;6823;1980;2203;1157;654;416;154;23;7;13;45;19;63;25;25;12;8;10;2;;1;3;3
Eibergen;G0229;10436;Gelderland;P25;12465;10085;;6;10079;3056;1729;3685;558;529;246;46;6;30;41;30;19;17;35;10;17;10;3;5;4;1;2
Eijsden;G0905;10314;Limburg;P31;8977;6702;;3;6699;1937;1480;1987;492;448;150;10;1;3;29;45;19;26;17;4;21;19;3;7;0;0;1
Eindhoven;G0772;11298;Noord-Brabant;P30;152855;103183;;144;103039;30197;23943;16698;10874;9328;6153;681;114;501;733;1045;414;777;233;183;358;160;168;421;;30;28
Elburg;G0230;11113;Gelderland;P25;15938;12646;;0;12646;2008;2327;2825;458;330;157;2049;1935;314;62;27;60;15;30;9;15;1;9;14;1;0;0
Elst;G0231;11188;Gelderland;P25;12610;9384;;8;9376;2889;2376;1898;1155;541;225;59;24;50;35;19;26;20;23;11;9;6;0;6;2;2;0
Emmen;G0114;11180;Drenthe;P22;81709;56862;;73;56789;24119;8501;11501;3825;3123;2677;1089;79;643;;325;202;234;108;73;103;52;21;;75;18;21
Enkhuizen;G0388;10729;Noord-Holland;P27;12417;9417;;15;9402;2998;2285;1297;926;885;336;215;133;59;39;52;73;45;18;12;17;1;3;;0;3;5
Enschede;G0153;10364;Overijssel;P23;111798;78388;;119;78269;28504;16247;11777;6663;6075;3106;1062;113;2303;504;730;265;264;109;114;140;51;67;;143;20;12
Epe;G0232;10940;Gelderland;P25;25897;19934;;18;19916;5972;5357;4005;1420;849;311;770;655;160;103;53;67;45;50;13;33;9;19;17;2;4;2
Ermelo;G0233;10732;Gelderland;P25;19994;15900;;12;15888;2292;3797;4489;1069;862;390;1220;744;641;46;45;83;38;92;21;28;5;12;9;2;2;1
Etten-Leur;G0777;10750;Noord-Brabant;P30;26711;18104;;16;18088;5740;4844;3330;1618;1225;687;118;6;39;114;68;89;79;39;20;13;12;15;27;3;1;1
Ferwerderadeel;G0068;11284;Fryslân;P21;6523;5086;;7;5079;1212;681;2140;263;250;146;97;13;214;17;7;;8;22;2;4;;3;;0;0;
Franekeradeel;G0070;10404;Fryslân;P21;15232;11635;;41;11594;3840;1871;3441;698;731;366;274;18;176;36;37;;17;47;5;22;;3;;7;5;
Gaasterlân-Sleat;G0653;10036;Fryslân;P21;7313;5948;;8;5940;1346;1057;2290;397;328;104;143;139;45;14;10;;14;24;13;12;;2;;2;0;
Geertruidenberg;G0779;10101;Noord-Brabant;P30;16260;11084;;7;11077;3805;2822;2081;800;682;398;40;43;27;78;68;52;56;37;14;12;5;16;25;7;6;3
Geldermalsen;G0236;10881;Gelderland;P25;17747;13917;;28;13889;3747;3992;2445;1026;568;316;213;1177;111;;29;120;22;88;9;12;5;1;;6;1;1
Geldrop;G0781;10529;Noord-Brabant;P30;20891;14863;;17;14846;4382;3602;2888;1419;1148;700;107;11;42;103;106;68;69;39;31;53;16;20;32;;3;7
Geleen;G0906;10048;Limburg;P31;26011;16984;;25;16959;5385;3302;3542;1197;1989;717;42;5;23;173;225;42;69;36;32;74;26;43;22;3;6;6
Gemert-Bakel;G1652;10277;Noord-Brabant;P30;20377;14820;;21;14799;4235;2906;4728;788;949;644;13;2;15;103;57;80;77;53;16;30;25;25;46;;5;2
Gendringen;G0237;10260;Gelderland;P25;15537;11578;;23;11555;3893;2012;3905;601;612;226;52;10;17;62;30;35;24;20;8;9;18;2;12;4;3;0
Gendt;G0238;10440;Gelderland;P25;5553;4042;;10;4032;1537;827;1035;278;185;80;2;3;5;15;8;29;2;9;5;3;4;0;3;1;1;0
Genemuiden;G0154;10746;Overijssel;P23;5855;4895;;5;4890;738;464;867;70;80;36;873;1611;84;10;9;20;10;15;1;1;0;0;;0;1;0
Gennep;G0907;10542;Limburg;P31;12738;8550;;14;8536;2695;1768;2190;848;479;313;20;4;11;48;30;30;22;22;19;10;7;4;11;4;1;0
Giessenlanden;G0689;10255;Zuid-Holland;P28;10633;9107;;18;9089;2359;2283;1815;555;302;144;942;427;59;45;22;59;12;30;8;10;3;4;7;3;0;0
Gilze en Rijen;G0784;11375;Noord-Brabant;P30;17858;12988;;25;12963;4052;3404;2736;1006;763;532;18;15;14;119;53;69;54;46;17;18;12;13;16;4;2;0
Goedereede;G0511;10981;Zuid-Holland;P28;8484;7087;;14;7073;1335;1484;1121;287;144;94;487;1901;68;21;18;67;10;14;13;4;0;0;2;2;1;0
Goes;G0664;10674;Zeeland;P29;26894;19313;;11;19302;5360;4108;3543;1601;1334;536;595;1338;327;68;79;175;69;31;29;36;24;20;13;8;8;
Goirle;G0785;10971;Noord-Brabant;P30;16584;12180;;11;12169;3761;2989;2507;1110;889;588;21;4;10;58;36;39;45;34;13;20;13;4;21;5;0;2
Goor;G0156;10076;Overijssel;P23;9516;7493;;10;7483;2586;1700;1606;612;296;398;74;5;32;26;32;42;22;20;9;9;1;4;;3;3;3
Gorinchem;G0512;10942;Zuid-Holland;P28;23797;16950;;16;16934;5647;4136;2167;1555;1149;502;691;361;180;108;194;72;47;22;43;22;4;7;14;7;4;2
Gorssel;G0239;10085;Gelderland;P25;10652;8954;;4;8950;2346;2910;1939;930;410;139;62;11;46;18;23;29;16;34;13;12;1;2;5;3;1;0
Gouda;G0513;10302;Zuid-Holland;P28;51510;39125;;53;39072;10882;10076;4984;4385;3051;1387;1319;1234;574;397;186;147;189;80;42;62;20;23;;16;10;8
Graafstroom;G0693;10451;Zuid-Holland;P28;6656;5758;;11;5747;912;926;1584;209;141;41;815;981;61;23;5;18;2;11;8;7;0;1;2;0;0;0
Graft-De Rijp;G0365;11417;Noord-Holland;P27;4717;3923;;9;3914;1058;1330;650;380;246;78;8;2;5;22;25;47;14;28;5;9;5;1;;1;0;0
Gramsbergen;G0157;11339;Overijssel;P23;4784;4092;;12;4080;1337;497;1588;145;125;57;78;9;168;13;11;10;7;26;4;2;2;0;;0;0;1
Grave;G0786;10165;Noord-Brabant;P30;9519;7116;;6;7110;2027;1861;1529;583;435;451;18;0;14;41;33;47;17;17;8;8;3;4;9;;4;1
Groenlo;G0240;11094;Gelderland;P25;7046;5395;;4;5391;1747;1075;1826;264;283;86;7;1;7;13;18;15;12;7;7;6;12;1;1;1;0;2
Groesbeek;G0241;10616;Gelderland;P25;14955;11074;;24;11050;4266;2113;2467;727;820;394;37;6;12;;40;40;35;24;20;11;15;5;;9;2;7
Groningen;G0014;10426;Groningen;P20;139266;101617;;116;101501;35852;16703;9344;13297;13101;5912;1070;109;3772;279;459;227;352;115;338;202;48;69;;211;41;
Grootegast;G0015;11080;Groningen;P20;8600;6613;;2;6611;1522;772;2710;280;229;102;247;41;579;21;14;37;8;35;5;4;0;2;;1;2;
Grubbenvorst;G0912;10176;Limburg;P31;5094;3701;;3;3698;862;1088;1128;270;157;80;7;4;2;23;15;6;13;8;8;12;4;0;8;2;1;0
Gulpen;G0913;11032;Limburg;P31;6014;4643;;32;4611;1330;773;1477;271;356;178;1;3;13;42;38;28;19;8;9;31;20;0;10;1;1;2
Haaksbergen;G0158;11435;Overijssel;P23;18086;14241;;21;14220;3744;3184;4916;991;614;326;56;6;40;90;72;35;39;25;17;17;19;15;;5;6;3
Haaren;G0788;11155;Noord-Brabant;P30;10515;7764;;11;7753;2007;1782;2483;644;452;144;10;5;11;26;26;39;36;42;12;12;7;2;9;;1;3
Haarlem;G0392;10357;Noord-Holland;P27;114740;81049;;112;80937;25550;20526;9929;9567;8436;2530;843;148;444;493;418;457;552;227;334;149;109;82;;55;27;61
Haarlemmerliede en Spaarnwoude;G0393;10508;Noord-Holland;P27;3914;3176;;1;3175;682;1050;641;337;254;56;23;8;15;22;23;14;11;18;10;2;6;0;;2;1;0
Haarlemmermeer;G0394;11387;Noord-Holland;P27;80146;60635;;54;60581;13291;22898;9135;5978;3977;1053;1049;489;514;288;256;690;352;296;66;97;44;60;;21;8;19
Haelen;G0914;10321;Limburg;P31;7570;5363;;14;5349;1376;1475;1296;466;363;108;14;4;6;61;41;24;30;16;13;31;16;1;7;0;0;1
Halderberge;G1655;10397;Noord-Brabant;P30;22467;15479;;46;15433;4783;4260;3237;1112;815;483;56;11;26;259;58;109;68;52;13;18;21;7;36;5;3;1
Hardenberg;G0160;10174;Overijssel;P23;25337;21495;;52;21443;5467;2504;7282;777;761;292;400;79;3526;67;70;81;41;60;9;9;9;2;;3;1;3
Harderwijk;G0243;10786;Gelderland;P25;28087;21030;;18;21012;4001;5367;5515;1510;1070;366;1473;650;615;85;42;102;35;72;23;28;3;17;12;9;12;5
Hardinxveld-Giessendam;G0523;10167;Zuid-Holland;P28;12851;10594;;12;10582;2404;1710;1598;331;265;132;1405;1957;592;48;20;63;18;19;6;5;1;1;5;0;0;2
Haren;G0017;11058;Groningen;P20;14611;12566;;11;12555;3173;3495;2117;1744;894;163;133;36;533;20;62;38;61;25;31;11;9;5;;3;2;
Harenkarspel;G0395;10963;Noord-Holland;P27;10872;8516;;15;8501;2121;2529;1784;901;621;185;40;3;51;34;35;63;44;37;18;17;8;2;;4;4;0
Harlingen;G0072;10909;Fryslân;P21;11594;8886;;21;8865;3355;1679;1550;661;709;345;124;10;228;64;26;;42;30;14;18;;1;;5;4;
Harmelen;G0318;10183;Utrecht;P26;5982;4630;;5;4625;906;1442;1104;483;257;68;101;95;24;26;15;35;16;20;8;6;7;5;2;2;2;1
Hasselt;G0161;10115;Overijssel;P23;5265;4436;;4;4432;1068;639;1054;151;137;41;487;189;606;5;10;14;6;12;8;1;1;0;;1;2;0
Hattem;G0244;10673;Gelderland;P25;8911;7439;;2;7437;2096;1371;1739;456;239;92;425;61;846;20;25;22;13;12;9;0;3;3;1;1;3;0
Hedel;G0245;10982;Gelderland;P25;3252;2584;;5;2579;647;672;516;218;98;84;58;210;30;;5;13;5;15;4;1;1;2;;0;0;0
Heel;G1937;11208;Limburg;P31;6399;4296;;7;4289;1252;1155;1027;377;244;91;5;2;2;20;27;20;27;9;1;18;2;0;4;3;0;3
Heemskerk;G0396;10679;Noord-Holland;P27;25988;19389;;15;19374;5893;5060;3463;1743;1642;546;129;21;89;94;143;260;107;37;20;33;35;36;;14;3;6
Heemstede;G0397;11288;Noord-Holland;P27;19935;16375;;6;16369;3068;6376;2865;2224;1094;205;125;21;67;40;40;50;60;38;33;28;20;6;;1;1;7
Heerde;G0246;10291;Gelderland;P25;13910;11326;;23;11303;3143;1883;3109;565;323;138;1169;389;345;90;27;50;14;29;9;8;2;1;5;0;3;1
Heerenveen;G0074;10680;Fryslân;P21;30773;23237;;0;23237;9201;4535;3878;1914;1889;668;377;34;321;100;55;;75;63;22;54;;10;;38;3;
Heerewaarden;G0247;10067;Gelderland;P25;1028;822;;2;820;351;251;72;41;39;33;3;2;0;;6;5;9;5;0;2;0;0;;1;0;0
Heerhugowaard;G0398;10752;Noord-Holland;P27;30735;22932;;32;22900;6387;6988;3827;2481;1657;564;255;9;74;70;116;201;75;41;39;60;26;7;;10;11;2
Heerjansdam;G0526;10540;Zuid-Holland;P28;2768;2201;;6;2195;625;638;404;194;116;50;44;50;12;16;4;19;6;10;2;3;0;0;0;0;1;1
