RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;SP (Socialistische Partij);Lijst Pim Fortuyn;GL;Democraten 66 (D66);ChristenUnie;Staatkundig Gereformeerde Partij (SGP);Partij voor de Dieren;LN;Partij van de Toekomst;Lijst Ratelband;Duurzaam Nederland;Nieuwe Communistische Partij;De Conservatieven.nl;VIP Vooruitstrevende Integratie Partij;Alliantie Vernieuwing en Democratie;Lijst Veldhoen
Andijk;G0364;10822;Noord-Holland;P27;4712;3976;;1;3975;1456;753;708;236;267;158;107;193;45;21;20;6;3;0;1;;;1;
Angerlo;G0199;11131;Gelderland;P25;3783;3280;;9;3271;1196;885;614;181;131;113;106;6;1;12;16;8;2;0;0;0;;0;
Anna Paulowna;G0366;10344;Noord-Holland;P27;10332;8575;;4;8571;2657;1901;2338;356;548;270;265;88;8;54;61;14;5;3;2;;;1;
Apeldoorn;G0200;11075;Gelderland;P25;118653;96048;;60;95988;27009;27715;17924;4810;4191;4664;3800;2417;2303;477;413;111;57;30;31;28;;8;
Appingedam;G0003;10886;Groningen;P20;9797;7701;;2;7699;1664;3624;834;457;307;254;237;212;13;38;28;10;1;2;18;;;0;
Arcen en Velden;G0885;10202;Limburg;P31;6636;5485;;2;5483;2795;1026;797;254;236;177;138;8;0;21;24;3;2;0;1;1;;;
Arnhem;G0202;10795;Gelderland;P25;106866;80111;;266;79845;15041;27503;12627;7646;3541;6965;4054;1079;86;520;239;111;203;145;34;30;;21;
Assen;G0106;10522;Drenthe;P22;45672;37684;;28;37656;7446;14440;5630;2380;1297;2115;1417;2442;101;154;104;32;31;37;13;17;;;
Asten;G0743;10478;Noord-Brabant;P30;11994;10192;;26;10166;4772;1851;1573;668;524;340;280;22;5;37;49;32;8;1;2;1;1;0;
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;4951;3954;;1;3953;1877;704;696;214;210;110;76;8;3;22;16;9;4;1;1;1;0;1;
Baarn;G0308;11411;Utrecht;P26;18341;15405;;20;15385;4119;3476;3836;828;792;880;765;392;101;91;51;16;18;4;5;7;0;4;
Barendrecht;G0489;10943;Zuid-Holland;P28;26246;22374;;21;22353;6245;4536;5117;824;2207;740;836;587;972;97;100;19;38;6;8;11;6;0;4
Barneveld;G0203;10906;Gelderland;P25;34352;30556;;11;30545;13322;2958;3761;654;1413;539;460;2110;5126;63;78;27;11;12;4;5;;2;
Bathmen;G0144;11030;Overijssel;P23;4095;3730;;5;3725;1214;997;956;112;131;135;148;7;1;;9;13;1;;1;0;;;
Bedum;G0005;10425;Groningen;P20;8090;7200;;3;7197;2691;1951;675;361;172;301;237;716;45;23;17;4;2;0;0;;;2;
Beek;G0888;11374;Limburg;P31;13111;10591;;9;10582;4366;2539;1621;570;537;449;318;33;6;52;54;20;11;2;3;1;;;
Beemster;G0370;10816;Noord-Holland;P27;6453;5617;;15;5602;1582;1311;1532;250;332;237;268;18;2;36;24;4;3;0;3;;;0;
Beesel;G0889;10195;Limburg;P31;10141;7543;;7;7536;3031;1877;1138;398;472;282;197;21;3;61;33;10;4;0;5;4;;;
Bellingwedde;G0007;10340;Groningen;P20;7532;6013;;7;6006;867;3047;796;347;345;257;138;94;12;45;23;7;4;0;22;;;2;
Bennebroek;G0372;10734;Noord-Holland;P27;4130;3638;;1;3637;1208;599;1165;106;125;160;224;18;6;15;5;2;3;0;1;0;;0;
Bergambacht;G0491;10962;Zuid-Holland;P28;6860;6151;;1;6150;1638;1512;1212;159;383;140;197;218;632;31;15;5;5;0;2;1;0;0;
Bergeijk;G1724;11160;Noord-Brabant;P30;13484;11364;;16;11348;5462;1916;1987;653;617;299;250;33;8;41;52;18;6;0;2;3;0;1;
Bergen;G0893;11281;Limburg;P31;10047;7788;;6;7782;3637;1763;1057;427;413;226;156;6;2;41;30;16;4;0;0;4;;;
Bergen;G0373;11424;Noord-Holland;P27;24402;20873;;17;20856;5269;4792;5480;1126;1222;1343;1250;74;12;125;108;19;18;1;13;;;4;
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;48417;36308;;39;36269;10117;9267;7951;2264;2687;1645;1530;207;28;178;185;62;52;50;18;10;8;10;
Bergh;G0207;10350;Gelderland;P25;14069;11068;;8;11060;4476;3105;1676;542;513;323;266;24;8;45;38;23;7;1;5;6;;2;
Bergschenhoek;G0492;10445;Zuid-Holland;P28;10769;9261;;7;9254;2983;1422;2661;266;828;282;358;280;48;48;35;10;17;4;3;2;5;2;
Berkel en Rodenrijs;G0493;10139;Zuid-Holland;P28;12564;10985;;8;10977;4164;1585;2359;351;798;375;422;708;78;44;46;10;17;8;0;10;1;1;
Bernheze;G1721;10149;Noord-Brabant;P30;21374;17608;;19;17589;8041;3111;2652;1995;633;539;427;23;7;34;61;38;9;5;4;6;1;3;
Bernisse;G0568;10316;Zuid-Holland;P28;9825;8249;;9;8240;2488;1746;1988;339;768;246;320;125;91;62;45;11;5;0;1;3;0;0;2
Best;G0753;10442;Noord-Brabant;P30;20768;17012;;21;16991;5743;3965;3562;1070;861;628;676;212;22;61;76;78;12;16;4;1;2;2;
Beuningen;G0209;10417;Gelderland;P25;18609;15097;;11;15086;4669;4329;2841;1068;686;681;585;57;11;54;66;21;10;6;2;;;;
Beverwijk;G0375;10272;Noord-Holland;P27;27551;21440;;19;21421;5185;6863;3832;1448;1603;1095;852;132;19;165;121;31;34;15;12;7;;7;
Binnenmaas;G0585;10222;Zuid-Holland;P28;14997;12910;;20;12890;3609;2852;3036;491;1079;366;451;222;646;62;47;4;16;0;1;6;0;1;1
Bladel;G1728;11006;Noord-Brabant;P30;14349;11583;;13;11570;5459;2050;1826;769;588;366;324;25;3;32;82;34;6;0;0;4;1;1;
Blaricum;G0376;10493;Noord-Holland;P27;7223;6505;;4;6501;1697;1187;2247;284;281;278;419;40;8;31;18;2;5;0;1;2;;1;
Bleiswijk;G0495;10994;Zuid-Holland;P28;7372;6473;;4;6469;2434;945;1597;179;542;171;223;213;86;22;36;5;9;1;0;5;0;1;
Bloemendaal;G0377;10850;Noord-Holland;P27;12618;11461;;6;11455;2719;1794;4450;329;366;634;954;74;12;75;21;14;9;1;2;0;;1;
Boarnsterhim;G0055;10815;Fryslân;P21;14421;12628;;9;12619;2724;5180;2343;688;362;618;442;94;25;36;74;22;5;2;2;;;2;
Bodegraven;G0497;11091;Zuid-Holland;P28;14172;11997;;13;11984;4549;2141;2261;454;649;361;362;513;590;43;35;9;7;0;5;4;0;1;
Boekel;G0755;10432;Noord-Brabant;P30;6892;5743;;9;5734;3072;866;655;491;318;143;120;8;3;15;26;9;2;0;1;3;1;1;
Bolsward;G0064;10865;Fryslân;P21;7071;5891;;5;5886;2233;1826;655;401;201;236;137;100;15;25;35;10;8;0;2;;;2;
Borculo;G0211;11307;Gelderland;P25;7926;6986;;4;6982;1861;2302;1773;309;190;254;181;46;4;27;19;7;1;1;2;5;;0;
Borger-Odoorn;G1681;10448;Drenthe;P22;20395;16908;;13;16895;3645;7121;2860;868;684;600;565;346;34;70;64;21;7;1;9;0;;;
Borne;G0147;10326;Overijssel;P23;15313;13217;;11;13206;5384;3598;2096;656;378;473;460;89;5;;38;13;8;;4;4;;;
Borsele;G0654;10043;Zeeland;P29;16480;13878;;16;13862;5376;2441;1853;619;628;420;302;290;1772;79;47;17;10;3;5;;;;
Boskoop;G0499;10419;Zuid-Holland;P28;11176;9629;;6;9623;3582;1552;2110;380;604;386;345;266;301;38;38;7;7;3;2;2;0;0;
Boxmeer;G0756;11227;Noord-Brabant;P30;21757;18512;;27;18485;7858;3877;2639;1902;817;666;500;53;4;59;66;17;5;5;6;7;0;4;
Boxtel;G0757;10083;Noord-Brabant;P30;22379;17476;;13;17463;5965;4549;2674;1737;748;828;697;56;10;68;59;41;16;3;2;6;2;2;
Breda;G0758;10154;Noord-Brabant;P30;124996;94626;;91;94535;24714;24824;20316;7503;4945;5568;4904;460;81;441;374;167;84;65;22;30;21;16;
Breukelen;G0311;10807;Utrecht;P26;10726;9407;;5;9402;3175;1599;2155;364;411;442;460;267;436;44;29;8;7;0;1;3;0;1;
Brielle;G0501;10232;Zuid-Holland;P28;12346;10216;;21;10195;2271;2507;2863;512;965;360;433;79;23;86;49;13;14;0;6;10;1;2;1
Brummen;G0213;10798;Gelderland;P25;16325;13656;;11;13645;3452;4993;2665;687;539;564;483;81;30;51;43;17;11;8;18;0;;3;
Brunssum;G0899;10533;Limburg;P31;23351;16980;;14;16966;5071;5733;1913;1751;997;632;392;166;12;137;90;27;25;0;15;5;;;
Bunnik;G0312;10820;Utrecht;P26;10567;9622;;13;9609;3216;2045;1973;493;367;710;554;85;93;36;26;4;3;1;2;1;0;0;
Bunschoten;G0313;11343;Utrecht;P26;13790;12313;;7;12306;6455;716;896;166;394;152;131;3100;233;22;17;9;5;1;1;1;3;4;
Buren;G0214;11286;Gelderland;P25;19467;16554;;11;16543;4343;4536;3916;628;1016;475;591;219;651;74;55;22;9;1;7;;;;
Bussum;G0381;10281;Noord-Holland;P27;23664;19837;;23;19814;4801;4387;5533;1036;936;1138;1449;223;60;115;76;29;16;4;7;4;;0;
Capelle aan den IJssel;G0502;11248;Zuid-Holland;P28;49483;38917;;60;38857;8565;10240;7716;1866;4045;1405;1497;1013;1862;303;179;40;55;11;16;25;13;6;
Castricum;G0383;11287;Noord-Holland;P27;26898;23733;;14;23719;6857;5524;5546;1287;1076;1546;1474;113;17;125;96;25;28;1;3;;;1;
Coevorden;G0109;10383;Drenthe;P22;27388;22918;;20;22898;6187;8670;4264;988;861;740;663;272;55;80;68;25;11;0;9;5;;;
Cranendonck;G1706;10219;Noord-Brabant;P30;15326;12282;;16;12266;5370;2415;2144;689;763;296;357;49;5;47;80;39;3;0;4;2;1;2;
Cromstrijen;G0611;11346;Zuid-Holland;P28;10069;8585;;5;8580;2342;2169;1956;327;615;238;253;131;448;48;33;4;6;0;1;7;2;0;0
Cuijk;G1684;10023;Noord-Brabant;P30;17985;14535;;13;14522;4914;3910;2205;1263;795;681;484;28;6;69;73;26;8;49;5;2;2;2;
Culemborg;G0216;10342;Gelderland;P25;18608;15074;;15;15059;3521;4196;3044;1165;947;1017;676;180;115;74;58;33;15;12;6;;;;
Dalfsen;G0148;11007;Overijssel;P23;19562;17288;;13;17275;8497;3234;2045;550;485;424;366;1349;254;;38;18;10;;2;3;;;
Dantumadeel;G0065;10650;Fryslân;P21;14711;12331;;6;12325;5226;3316;776;526;420;357;203;818;563;25;77;9;3;0;5;;;1;
De Bilt;G0310;10168;Utrecht;P26;32213;28445;;35;28410;7201;5713;7287;1609;1212;1860;1937;556;738;170;69;16;18;3;4;10;2;5;
De Lier;G0552;10241;Zuid-Holland;P28;8084;7052;;11;7041;3865;689;1347;173;477;160;142;117;12;26;21;3;6;0;2;1;0;0;0
De Marne;G1663;10180;Groningen;P20;8455;7121;;3;7118;1912;2378;921;480;269;307;168;573;20;50;16;15;5;0;3;;;1;
De Ronde Venen;G0736;11379;Utrecht;P26;25442;21728;;11;21717;8084;3265;5675;843;1280;715;828;485;281;94;98;40;16;5;1;5;0;2;
De Wolden;G1690;10262;Drenthe;P22;18108;15688;;4;15684;4726;4348;3784;563;698;537;506;314;45;53;64;29;9;1;5;2;;;
Delft;G0503;10928;Zuid-Holland;P28;72545;58837;;161;58676;11629;17275;10420;4233;3834;5029;4012;971;299;371;224;52;81;144;33;31;18;13;7
Delfzijl;G0010;10976;Groningen;P20;22204;17209;;9;17200;3918;7598;2243;933;738;534;443;566;19;80;69;15;13;10;20;;;1;
Den Helder;G0400;10285;Noord-Holland;P27;45725;33846;;22;33824;7794;9209;8814;1427;2472;1350;1262;755;146;272;212;51;35;8;11;;;6;
Deurne;G0762;10379;Noord-Brabant;P30;24078;19351;;26;19325;8804;3785;2862;1413;985;652;488;48;13;77;120;56;6;3;2;6;1;4;
Deventer;G0150;10899;Overijssel;P23;64415;51930;;38;51892;10947;19991;8114;3545;1869;3811;2435;777;65;;202;62;31;;24;19;;;
Didam;G0218;10153;Gelderland;P25;12815;10490;;5;10485;4413;2932;1363;513;544;327;244;30;3;44;47;11;11;1;0;1;;1;
Diemen;G0384;11039;Noord-Holland;P27;17646;13849;;16;13833;2368;4175;3179;915;1105;930;797;119;9;86;87;20;18;10;11;3;;1;
Dinkelland;G1774;10245;Overijssel;P23;19229;17123;;6;17117;11008;2436;2063;434;431;355;282;35;1;;35;22;5;;5;5;;;
Dinxperlo;G0219;11154;Gelderland;P25;6410;5105;;1;5104;2393;1385;581;229;157;148;97;66;3;16;14;8;5;2;0;0;;0;
Dirksland;G0504;11344;Zuid-Holland;P28;6158;5257;;4;5253;1481;1056;696;195;341;87;95;237;997;41;20;4;0;0;2;0;0;1;0
Doesburg;G0221;10327;Gelderland;P25;8463;6837;;19;6818;1537;2332;1046;867;302;262;282;88;13;36;23;16;6;5;1;0;;2;
Doetinchem;G0222;10396;Gelderland;P25;36754;29686;;18;29668;8235;9733;5069;1818;1110;1596;1103;411;238;139;108;44;23;28;6;6;;1;
Dongen;G0766;11412;Noord-Brabant;P30;18672;14962;;23;14939;5109;3608;2510;1572;719;539;555;92;29;63;75;30;14;4;8;9;1;2;
Dongeradeel;G0058;10198;Fryslân;P21;18353;15583;;10;15573;7962;3358;1192;742;518;553;264;743;84;50;76;16;11;1;2;;;1;
Doorn;G0315;10213;Utrecht;P26;7890;6666;;1;6665;2016;1229;1843;256;256;358;363;123;174;33;4;2;8;0;0;0;0;0;
Dordrecht;G0505;11157;Zuid-Holland;P28;88071;66070;;92;65978;14432;19765;11772;4179;5270;3358;2656;1797;1557;422;265;68;97;212;32;51;23;8;14
Drechterland;G0498;10642;Noord-Holland;P27;7483;6454;;4;6450;2453;1233;1425;298;414;291;210;29;7;28;38;12;7;1;2;;;2;
Driebergen-Rijsenburg;G0316;10777;Utrecht;P26;13955;11996;;29;11967;3350;2514;2666;572;464;954;686;303;325;57;38;9;6;14;4;2;2;1;
Drimmelen;G1719;10258;Noord-Brabant;P30;20390;16520;;23;16497;5670;4180;3153;1063;957;548;601;65;16;69;76;48;26;2;6;9;0;8;
Dronten;G0303;10210;Flevoland;P24;25919;21785;;13;21772;8035;4077;4768;886;1131;877;686;968;101;83;99;16;18;12;12;;;3;
Druten;G0225;10068;Gelderland;P25;12947;10597;;3;10594;3506;3199;1777;699;488;434;372;14;6;37;39;14;2;3;4;;;;
Duiven;G0226;11028;Gelderland;P25;18541;15555;;8;15547;4953;4145;3271;844;725;644;606;144;12;82;76;19;16;4;2;4;;0;
Echt-Susteren;G1711;10941;Limburg;P31;24854;19279;;17;19262;8096;5176;2369;1143;942;726;458;49;8;163;79;19;20;3;9;2;;;
Edam-Volendam;G0385;10884;Noord-Holland;P27;21228;17548;;5;17543;7757;2392;3579;595;1926;520;462;90;9;71;78;16;30;6;9;;;3;
Ede;G0228;10743;Gelderland;P25;76147;65123;;61;65062;23170;10988;10755;2301;2563;2796;1934;3978;6054;192;167;54;44;26;11;16;;13;
Eemnes;G0317;10248;Utrecht;P26;6301;5600;;9;5591;1724;1071;1477;265;265;273;319;92;36;32;15;8;13;0;1;0;0;0;
Eemsmond;G1651;10246;Groningen;P20;12771;10775;;8;10767;2944;3971;1166;645;300;419;225;901;55;48;32;36;9;0;14;;;2;
Eersel;G0770;10741;Noord-Brabant;P30;13636;11553;;11;11542;5402;1801;2112;717;542;368;406;32;1;40;75;29;5;1;3;4;1;3;
Eibergen;G0229;10436;Gelderland;P25;12555;10971;;7;10964;5045;2802;1358;550;360;401;267;48;9;49;39;16;7;1;6;5;;1;
Eijsden;G0905;10314;Limburg;P31;8969;7440;;6;7434;3208;1935;1036;349;298;319;200;7;4;32;20;8;11;1;3;3;;;
Eindhoven;G0772;11298;Noord-Brabant;P30;155809;116077;;163;115914;29476;31424;20320;11806;6818;7202;5641;1034;96;629;519;564;66;189;45;46;19;20;
Elburg;G0230;11113;Gelderland;P25;16005;13923;;10;13913;5863;1904;1670;345;440;270;200;1408;1719;34;30;14;10;1;3;1;;1;
Emmen;G0114;11180;Drenthe;P22;83033;65299;;50;65249;16715;29063;7269;3798;2344;2266;1789;1246;79;236;232;106;53;10;33;10;;;
Enkhuizen;G0388;10729;Noord-Holland;P27;12883;10500;;16;10484;2385;3158;2200;711;562;565;457;163;140;63;51;9;9;8;2;;;1;
Enschede;G0153;10364;Overijssel;P23;113325;86834;;111;86723;19174;33106;13545;5650;3316;4936;3592;2646;146;;282;143;74;;84;29;;;
Epe;G0232;10940;Gelderland;P25;25788;21561;;7;21554;6883;6166;4105;725;936;711;600;538;612;132;82;27;15;6;7;9;;0;
Ermelo;G0233;10732;Gelderland;P25;19765;16866;;13;16853;7605;2069;2646;653;657;652;419;1311;713;69;31;12;6;4;1;2;;3;
Etten-Leur;G0777;10750;Noord-Brabant;P30;29270;22422;;28;22394;6876;5839;4634;1474;1291;947;883;114;15;76;106;54;29;35;6;8;2;5;
Ferwerderadiel;G1722;11284;Fryslân;P21;6777;5676;;4;5672;2654;1263;578;300;235;210;97;248;12;26;35;6;4;1;1;;;2;
Franekeradeel;G0070;10404;Fryslân;P21;15530;12655;;7;12648;4528;4087;1509;720;449;509;296;351;24;48;65;31;18;1;9;;;3;
Gaasterlân-Sleat;G0653;10036;Fryslân;P21;7740;6742;;4;6738;3100;1289;943;301;284;277;151;133;107;39;99;8;3;0;3;;;1;
Geertruidenberg;G0779;10101;Noord-Brabant;P30;16282;12488;;15;12473;3737;3629;2369;903;735;440;392;35;29;61;80;29;18;4;5;5;1;1;
Geldermalsen;G0236;10881;Gelderland;P25;18787;16221;;13;16208;5123;3659;3272;567;992;502;492;214;1207;69;66;29;12;0;4;;;;
Geldrop;G0781;10529;Noord-Brabant;P30;21150;16681;;20;16661;5389;3875;2881;1509;1064;849;658;139;11;77;105;67;22;7;4;4;0;0;
Gemert-Bakel;G1652;10277;Noord-Brabant;P30;20888;16552;;22;16530;7275;3510;2392;1371;858;481;367;23;7;69;79;63;12;2;6;8;3;4;
Gendringen;G0237;10260;Gelderland;P25;15600;12686;;8;12678;5730;3449;1508;667;487;401;250;47;6;40;37;27;11;10;3;2;;3;
Gennep;G0907;10542;Limburg;P31;12748;9670;;17;9653;3748;2412;1352;729;509;392;382;28;6;25;38;19;5;6;1;1;;;
Giessenlanden;G0689;10255;Zuid-Holland;P28;10710;9662;;10;9652;3327;2064;1923;346;457;221;255;574;394;31;20;14;11;0;5;6;1;0;3
Gilze en Rijen;G0784;11375;Noord-Brabant;P30;18581;15105;;19;15086;5076;3917;2669;1087;863;592;595;43;7;59;81;39;18;25;3;6;2;4;
Goedereede;G0511;10981;Zuid-Holland;P28;8796;7825;;6;7819;2710;1121;1182;185;393;100;139;300;1619;29;20;5;8;1;1;0;3;0;3
Goes;G0664;10674;Zeeland;P29;27723;22209;;11;22198;7063;5429;3414;1208;835;1179;683;671;1434;127;65;42;27;12;9;;;;
Goirle;G0785;10971;Noord-Brabant;P30;17177;14060;;12;14048;4572;3503;2656;1223;632;672;601;21;2;41;61;29;18;5;4;4;3;1;
Gorinchem;G0512;10942;Zuid-Holland;P28;24720;19281;;23;19258;4309;6241;3633;1152;1181;793;770;627;318;86;76;25;7;24;8;5;1;2;0
Gorssel;G0239;10085;Gelderland;P25;10521;9292;;8;9284;2931;2300;2321;440;267;421;441;77;6;34;28;11;3;1;1;1;;1;
Gouda;G0513;10302;Zuid-Holland;P28;51798;42789;;65;42724;9708;11765;7250;2413;3622;2621;2006;1425;1379;242;149;32;59;8;15;16;6;8;
Graafstroom;G0693;10451;Zuid-Holland;P28;6790;6124;;3;6121;2653;699;729;136;179;109;74;514;984;17;14;4;3;0;0;4;0;0;2
Graft-De Rijp;G0365;11417;Noord-Holland;P27;4714;4197;;0;4197;1248;946;1048;258;203;201;218;8;3;34;22;4;1;0;1;;;2;
Grave;G0786;10165;Noord-Brabant;P30;9333;7740;;5;7735;2715;1697;1432;749;393;357;274;30;4;40;20;10;8;1;3;1;0;1;
Groenlo;G0240;11094;Gelderland;P25;7370;6095;;6;6089;2919;1442;798;356;179;176;145;11;6;21;19;13;4;0;0;0;;0;
Groesbeek;G0241;10616;Gelderland;P25;14742;11956;;6;11950;3969;3949;1439;930;566;610;342;32;6;31;41;25;4;4;2;;;;
Groningen;G0014;10426;Groningen;P20;144046;117279;;124;117155;15363;45615;16208;12031;3194;11850;7134;4349;192;542;273;110;88;21;174;;;11;
Grootegast;G0015;11080;Groningen;P20;8785;7300;;4;7296;3349;1568;727;307;263;200;137;609;70;29;18;7;6;1;4;;;1;
Gulpen-Wittem;G1729;11032;Limburg;P31;11730;9743;;9;9734;4621;2295;1074;502;464;413;238;30;4;37;32;9;7;1;2;5;;;
Haaksbergen;G0158;11435;Overijssel;P23;18244;15509;;19;15490;7341;3424;2475;616;550;453;479;59;7;;40;25;9;;6;6;;;
Haaren;G0788;11155;Noord-Brabant;P30;10447;8567;;6;8561;4000;1554;1517;426;333;321;284;27;4;21;38;18;8;0;5;5;0;0;
Haarlem;G0392;10357;Noord-Holland;P27;112100;87888;;91;87797;16298;27428;16344;7229;4886;7257;5702;976;128;785;350;123;113;72;58;32;;16;
Haarlemmerliede en Spaarnwoude;G0393;10508;Noord-Holland;P27;4096;3546;;4;3542;1057;691;912;174;226;177;236;21;4;22;11;3;4;0;2;2;;0;
Haarlemmermeer;G0394;11387;Noord-Holland;P27;89689;74058;;68;73990;20218;15273;20617;3367;4868;3328;3670;1093;499;424;367;86;73;18;37;31;;21;
Haelen;G0914;10321;Limburg;P31;7730;6015;;11;6004;2560;1267;1032;301;310;211;222;8;4;50;24;10;2;2;0;1;;;
Halderberge;G1655;10397;Noord-Brabant;P30;22665;17390;;16;17374;6117;4170;3393;1009;1305;544;529;75;11;62;81;39;19;6;3;7;0;4;
Hardenberg;G0160;10174;Overijssel;P23;42453;36685;;18;36667;15805;8465;3884;1277;1205;882;642;3941;367;;119;49;20;;8;3;;;
Harderwijk;G0243;10786;Gelderland;P25;29766;24828;;16;24812;9724;4412;4412;980;1084;1087;767;1547;523;83;85;30;19;45;6;6;;2;
Hardinxveld-Giessendam;G0523;10167;Zuid-Holland;P28;13036;11485;;8;11477;3782;2096;1272;297;502;161;147;1318;1822;32;28;7;4;2;3;3;0;1;0
Haren;G0017;11058;Groningen;P20;14451;13029;;6;13023;3075;3656;3050;484;328;875;897;544;49;34;15;5;6;0;4;;;1;
Harenkarspel;G0395;10963;Noord-Holland;P27;11638;9823;;3;9820;3405;2074;2197;491;534;490;451;49;3;49;51;16;4;2;4;;;0;
Harlingen;G0072;10909;Fryslân;P21;11638;9388;;5;9383;2254;3511;1369;654;431;460;281;280;8;38;63;14;12;2;5;;;1;
Hattem;G0244;10673;Gelderland;P25;8892;7880;;5;7875;2692;2161;1043;228;186;209;221;984;92;29;19;8;1;0;1;1;;0;
Heel;G1937;11208;Limburg;P31;6393;4785;;10;4775;2007;1085;809;286;212;139;162;3;2;40;24;4;0;1;1;0;;;
Heemskerk;G0396;10679;Noord-Holland;P27;26772;21625;;17;21608;6176;6046;3993;1292;1399;1287;873;183;28;121;125;26;25;13;14;4;;3;
Heemstede;G0397;11288;Noord-Holland;P27;19462;17222;;10;17212;4479;3152;5551;713;660;965;1376;131;20;95;38;10;15;0;3;2;;2;
Heerde;G0246;10291;Gelderland;P25;13843;11989;;6;11983;4846;3213;1412;324;391;261;234;915;277;59;26;18;0;0;3;1;;3;
Heerenveen;G0074;10680;Fryslân;P21;32183;25960;;24;25936;5602;10677;4008;1610;892;1177;885;688;33;107;169;35;22;1;23;;;7;
Heerhugowaard;G0398;10752;Noord-Holland;P27;34371;27648;;26;27622;7536;7345;6245;1518;1510;1425;1246;326;22;144;203;46;21;15;13;;;7;
Heerlen;G0917;10902;Limburg;P31;72495;49734;;53;49681;13886;15369;5385;7162;3046;2334;1358;280;45;325;283;79;65;10;23;31;;;
Heeze-Leende;G1658;10462;Noord-Brabant;P30;11667;9899;;10;9889;4307;1846;1936;503;423;319;403;12;7;25;66;35;4;0;2;0;0;1;
Heiloo;G0399;10793;Noord-Holland;P27;16932;14897;;17;14880;4205;3439;3817;670;653;872;918;106;5;72;49;16;21;3;30;;;4;
Helden;G0918;10205;Limburg;P31;14461;11380;;7;11373;5664;2009;1701;598;564;426;253;21;4;44;64;14;3;1;1;6;;;
Hellendoorn;G0163;10806;Overijssel;P23;27610;24058;;16;24042;13019;4730;2490;874;724;693;493;808;93;;68;31;6;;6;7;;;
Hellevoetsluis;G0530;11078;Zuid-Holland;P28;29525;22561;;59;22502;4032;6318;5775;1309;2553;919;853;250;82;161;144;26;38;4;10;13;3;3;9
Helmond;G0794;10932;Noord-Brabant;P30;61131;44353;;64;44289;12194;12457;7909;4348;3354;1674;1362;201;13;260;256;138;50;9;28;20;6;10;
Hendrik-Ido-Ambacht;G0531;10416;Zuid-Holland;P28;15831;13587;;6;13581;3912;2724;2563;428;967;309;417;453;1651;70;52;6;14;2;3;7;0;0;3
Hengelo;G0248;10359;Gelderland;P25;6534;5557;;9;5548;2700;1320;804;170;222;116;126;30;4;15;19;20;2;0;0;0;;0;
Hengelo;G0164;10907;Overijssel;P23;60915;50339;;65;50274;15225;15446;7930;3905;1826;2590;2104;876;47;;172;76;38;;16;23;;;
Het Bildt;G0063;10128;Fryslân;P21;7965;6561;;4;6557;2390;2056;767;453;306;235;121;119;10;40;35;6;14;0;5;;;0;
Heumen;G0252;10600;Gelderland;P25;12176;10640;;14;10626;3672;2623;1944;625;379;707;551;23;2;41;40;13;4;0;2;;;;
Heusden;G0797;10307;Noord-Brabant;P30;31989;25891;;20;25871;9443;5865;4824;1859;1479;927;947;125;50;83;126;84;29;11;5;4;4;6;
Heythuysen;G0920;10840;Limburg;P31;9034;7213;;12;7201;3551;1236;1114;377;352;239;224;25;2;43;25;7;4;0;1;1;;;
Hillegom;G0534;11236;Zuid-Holland;P28;15506;12886;;11;12875;4349;2475;3060;640;877;564;544;101;67;78;73;24;17;0;2;1;0;3;
Hilvarenbeek;G0798;11297;Noord-Brabant;P30;11134;9483;;12;9471;4313;1872;1619;603;346;345;284;6;2;14;27;22;7;6;1;4;0;0;
Hilversum;G0402;11285;Noord-Holland;P27;63466;51815;;40;51775;11466;13913;11588;3715;2689;3346;3176;906;263;337;184;48;69;25;18;24;;8;
Hof van Twente;G1735;10076;Overijssel;P23;26751;23436;;14;23422;9478;5942;4652;886;745;654;710;167;31;;82;47;12;;6;10;;;
Hoogeveen;G0118;10839;Drenthe;P22;40702;33032;;24;33008;12257;10100;3719;1591;1307;1057;726;1594;343;106;142;33;19;1;8;5;;;
Hoogezand-Sappemeer;G0018;10410;Groningen;P20;25596;19767;;14;19753;2984;9421;2727;1385;782;858;629;645;32;95;85;25;18;32;30;;;5;
Hoorn;G0405;11392;Noord-Holland;P27;49944;39863;;53;39810;8308;12233;8280;3137;2434;2375;2076;327;30;248;200;49;55;27;28;;;3;
Horst aan de Maas;G1507;11108;Limburg;P31;21251;17020;;9;17011;8763;2788;2332;1343;664;478;404;31;13;56;82;24;15;6;7;5;;;
Houten;G0321;10230;Utrecht;P26;28633;24624;;23;24601;6958;5548;5210;1321;1092;1533;1373;821;498;95;91;21;20;5;8;1;4;2;
Huizen;G0406;11170;Noord-Holland;P27;30858;26495;;37;26458;7833;5533;6221;1215;1230;1313;1326;985;444;175;111;29;23;6;8;3;;3;
Hulst;G0677;11408;Zeeland;P29;19977;15628;;8;15620;6104;4300;2355;778;926;537;412;57;13;63;51;9;11;1;3;;;;
Hummelo en Keppel;G0256;11235;Gelderland;P25;3544;3136;;0;3136;1118;757;732;125;101;107;143;12;8;14;7;9;0;2;1;0;;0;
