RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;SP (Socialistische Partij);Lijst Pim Fortuyn;GL;Democraten 66 (D66);ChristenUnie;Staatkundig Gereformeerde Partij (SGP);Partij voor de Dieren;LN;Partij van de Toekomst;Lijst Ratelband;Duurzaam Nederland;Nieuwe Communistische Partij;De Conservatieven.nl;VIP Vooruitstrevende Integratie Partij;Alliantie Vernieuwing en Democratie;Lijst Veldhoen
Swalmen;G0975;10474;Limburg;P31;6693;4847;;4;4843;1824;1297;688;366;278;153;135;9;0;34;25;13;10;5;3;3;;;
Ten Boer;G0009;10891;Groningen;P20;5241;4604;;2;4602;1303;1469;492;232;119;203;155;517;64;15;14;9;5;0;5;;;0;
Ter Aar;G0480;11104;Zuid-Holland;P28;6644;5719;;7;5712;2666;768;1177;196;342;196;193;54;53;23;31;6;2;1;0;2;1;1;
Terneuzen;G0715;10704;Zeeland;P29;40500;30254;;16;30238;9849;8111;4444;1436;1897;976;837;1315;1043;128;112;28;30;14;18;;;;
Terschelling;G0093;11210;Fryslân;P21;3796;3211;;5;3206;789;921;793;158;151;170;154;26;2;15;22;1;3;0;1;;;0;
Texel;G0448;10237;Noord-Holland;P27;10273;8910;;4;8906;2715;2184;1813;614;423;548;371;99;45;36;34;12;6;1;5;;;0;
Tholen;G0716;10376;Zeeland;P29;17405;14639;;16;14623;4219;3016;1651;505;810;279;226;589;3104;83;94;25;15;2;5;;;;
Thorn;G0977;11195;Limburg;P31;1973;1597;;11;1586;674;386;253;75;81;47;47;3;0;6;6;2;6;0;0;0;;;
Tiel;G0281;10027;Gelderland;P25;28839;22428;;18;22410;5037;7305;4653;1277;1477;1001;811;284;156;103;87;25;21;166;7;;;;
Tilburg;G0855;10792;Noord-Brabant;P30;148702;105113;;124;104989;28010;28779;18109;11211;5680;6447;4491;463;69;506;500;273;92;209;50;49;28;23;
Tubbergen;G0183;10694;Overijssel;P23;14683;12981;;4;12977;9313;1335;1196;311;348;203;189;13;16;;31;15;2;;0;5;;;
Twenterand;G1700;10643;Overijssel;P23;24822;20804;;10;20794;10266;4895;1507;595;604;409;267;1580;551;;73;26;11;;7;3;;;
Tynaarlo;G1730;10002;Drenthe;P22;24226;20906;;11;20895;4023;7090;4995;923;806;1190;1138;506;31;55;84;25;11;4;13;1;;;
Tytsjerksteradiel;G0737;11241;Fryslân;P21;23967;20873;;9;20864;8407;6175;2285;900;703;842;516;713;115;48;121;22;7;3;4;;;3;
