RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;Partij van de Arbeid (P.v.d.A.);PVV (Partij voor de Vrijheid);CDA;SP (Socialistische Partij);Democraten 66 (D66);GROENLINKS;ChristenUnie;Staatkundig Gereformeerde Partij (SGP);Partij voor de Dieren;TROTS op Nederland Lijst Rita Verdonk;Partij voor Mens en Spirit (MenS);Piratenpartij;Lijst 17;Partij TTn;Nieuw Nederland;Heel NL;Evangelische Partij Nederland
Dirksland;G0504;11344;Zuid-Holland;P28;6349;5101;4;5;5092;840;595;832;695;376;127;114;390;1024;58;28;7;2;1;0;3;0;
Doesburg;G0221;10327;Gelderland;P25;8885;6606;10;6;6590;1154;1435;984;735;1078;508;412;111;16;94;26;19;9;3;1;2;1;2
Doetinchem;G0222;10396;Gelderland;P25;43125;32241;42;24;32175;5857;7381;4625;4817;3955;1973;2006;600;291;353;142;112;24;14;3;11;8;3
Dongen;G0766;11412;Noord-Brabant;P30;19244;14202;19;20;14163;3080;2305;2192;2269;2173;908;719;169;18;173;93;31;9;16;1;1;6;
Dongeradeel;G0058;10198;Fryslân;P21;18620;14180;22;6;14152;1491;2586;1561;4309;1525;449;640;1178;120;154;57;59;13;7;0;1;;2
Dordrecht;G0505;11157;Zuid-Holland;P28;88495;62570;127;72;62371;11490;12557;10954;5833;7028;3872;4294;3007;1638;1059;320;143;94;35;26;11;10;
Drechterland;G0498;10642;Noord-Holland;P27;14608;11511;18;11;11482;3461;1673;1659;1893;1039;708;644;82;9;147;106;35;7;7;3;4;2;3
Drimmelen;G1719;10258;Noord-Brabant;P30;20766;15214;6;10;15198;3447;2348;2879;2683;1716;845;763;102;16;195;127;51;11;11;2;1;1;
Dronten;G0303;10210;Flevoland;P24;28646;22637;35;11;22591;6346;2979;3054;4082;1698;1207;1117;1436;192;203;150;71;20;18;6;4;;8
Druten;G0225;10068;Gelderland;P25;13620;10382;15;5;10362;2125;1899;1830;1617;1499;630;514;51;3;95;59;16;7;14;0;3;0;
Duiven;G0226;11028;Gelderland;P25;19052;14888;13;10;14865;3518;2728;2286;2224;1800;927;857;223;11;170;68;29;9;10;0;3;2;0
Echt-Susteren;G1711;10941;Limburg;P31;25712;19459;18;33;19408;2576;2527;6088;3818;2172;625;940;119;9;302;116;79;17;10;3;2;5;
Edam-Volendam;G0385;10884;Noord-Holland;P27;21626;17810;22;8;17780;4537;1603;5563;3456;912;581;612;99;22;176;140;54;12;5;1;3;4;0
Ede;G0228;10743;Gelderland;P25;80168;64387;110;26;64251;12390;8143;8005;11418;3511;3251;3071;6427;6832;595;257;128;51;51;7;85;13;16
Eemnes;G0317;10248;Utrecht;P26;6539;5366;2;10;5354;1618;827;686;788;360;429;319;149;35;84;32;11;4;8;0;2;2;
Eemsmond;G1651;10246;Groningen;P20;12643;9765;12;11;9742;1189;2651;1040;1599;1063;277;587;1009;101;148;30;24;14;8;0;1;;1
Eersel;G0770;10741;Noord-Brabant;P30;14156;10864;13;8;10843;2201;1342;1558;3082;1213;625;502;70;3;87;105;22;13;15;0;4;1;
Eijsden;G0905;10314;Limburg;P31;8874;6744;7;8;6729;1189;1127;1524;1205;794;339;363;26;4;85;40;21;2;5;2;2;1;
