RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;Partij van de Arbeid (P.v.d.A.);PVV (Partij voor de Vrijheid);CDA;SP (Socialistische Partij);Democraten 66 (D66);GROENLINKS;ChristenUnie;Staatkundig Gereformeerde Partij (SGP);Partij voor de Dieren;TROTS op Nederland Lijst Rita Verdonk;Partij voor Mens en Spirit (MenS);Piratenpartij;Lijst 17;Partij TTn;Nieuw Nederland;Heel NL;Evangelische Partij Nederland
Lochem;G0262;11263;Gelderland;P25;26169;21367;38;16;21313;5817;4710;1699;3233;1681;1868;1498;317;24;247;98;85;12;11;4;3;6;0
Loenen;G0329;11202;Utrecht;P26;6366;5351;10;3;5338;1773;725;562;750;284;544;346;129;107;70;27;15;4;1;0;0;1;
Loon op Zand;G0809;11259;Noord-Brabant;P30;17861;13212;12;10;13190;3025;1904;2570;2337;1546;697;578;97;67;176;125;38;14;8;5;0;3;
Lopik;G0331;10333;Utrecht;P26;10419;8382;11;6;8365;1818;736;1475;1915;474;264;258;762;484;78;64;22;7;5;1;1;1;
Loppersum;G0024;10934;Groningen;P20;8128;6367;7;3;6357;727;1538;595;1231;688;258;524;574;67;89;39;14;8;3;0;0;;2
Losser;G0168;11166;Overijssel;P23;17597;13040;21;2;13017;2479;2117;2330;3227;1327;643;518;121;10;93;101;29;10;5;3;2;2;
Maarssen;G0333;10191;Utrecht;P26;30458;23487;43;17;23427;6103;4045;4251;2508;1835;1870;1612;519;107;307;156;60;26;13;5;0;10;
Maasdonk;G1671;10370;Noord-Brabant;P30;8471;6407;9;10;6388;1250;713;1275;1559;962;246;223;25;0;41;72;8;1;8;2;2;1;
Maasdriel;G0263;10341;Gelderland;P25;17991;14212;9;10;14193;3336;1662;3414;2553;1361;638;503;185;232;138;107;47;11;5;0;1;0;
Maasgouw;G1641;10964;Limburg;P31;19481;14179;20;21;14138;2609;1725;3790;2597;1691;615;592;97;14;215;106;61;13;10;3;0;0;
Maassluis;G0556;10880;Zuid-Holland;P28;24237;18313;30;19;18264;4309;3481;3491;2407;1662;958;789;603;108;269;93;57;14;13;7;1;2;
Maastricht;G0935;10182;Limburg;P31;92211;64802;108;86;64608;9463;13940;14806;6964;7039;5044;5026;465;46;986;429;235;75;50;17;13;10;
Margraten;G0936;11243;Limburg;P31;10407;8360;9;7;8344;1455;1234;1781;1815;827;469;498;63;4;97;41;36;8;11;1;2;2;
Marum;G0025;11431;Groningen;P20;7915;5999;12;8;5979;1054;1313;812;1083;574;251;271;416;61;79;38;14;6;4;1;1;;1
Medemblik;G0420;11215;Noord-Holland;P27;20691;15926;17;8;15901;4106;2417;2576;2593;1454;989;883;309;89;236;150;49;16;17;5;3;8;1
Meerssen;G0938;10494;Limburg;P31;15461;12022;15;16;11991;2010;1882;2852;2030;1501;637;641;69;9;183;108;37;10;9;4;4;5;
Menaldumadeel;G0083;11144;Fryslân;P21;10504;8267;10;8;8249;1298;2244;865;1566;985;364;508;266;28;75;20;14;7;3;1;3;;2
Menterwolde;G1987;11282;Groningen;P20;9815;7129;13;6;7110;989;2288;1166;518;1004;285;446;225;25;103;31;8;6;5;1;1;;9
Meppel;G0119;11204;Drenthe;P22;24830;19354;22;15;19317;4021;4749;2341;2439;1910;1156;1168;1059;67;208;100;58;20;11;3;4;3;
Middelburg;G0687;10122;Zeeland;P29;36230;28088;46;17;28025;3959;6257;3068;3902;2546;1569;2086;1718;2178;455;122;85;35;22;7;16;;
Middelharnis;G0559;11067;Zuid-Holland;P28;13916;10823;28;5;10790;1929;1383;1626;1481;850;381;384;937;1623;106;53;13;7;13;0;2;2;
Midden-Delfland;G1842;10130;Zuid-Holland;P28;13355;11288;10;5;11273;3139;1230;1453;2724;609;840;648;380;53;88;70;23;9;2;3;1;1;
Midden-Drenthe;G1731;10520;Drenthe;P22;26021;20600;21;17;20562;4216;5258;2309;3361;1859;956;1246;814;75;207;167;55;13;16;1;5;4;
Mill en Sint Hubert;G0815;10535;Noord-Brabant;P30;8516;6645;4;7;6634;1217;746;1044;1646;1359;250;214;25;4;41;57;12;4;9;3;0;3;
Millingen aan de Rijn;G0265;10072;Gelderland;P25;4547;3465;5;3;3457;532;845;582;418;687;150;146;19;2;43;19;9;2;1;1;1;0;
Moerdijk;G1709;10046;Noord-Brabant;P30;28171;20644;19;13;20612;4688;2894;3796;3549;2649;951;890;553;77;308;184;45;14;9;3;2;0;
Montferland;G1955;10350;Gelderland;P25;27339;20253;37;12;20204;3671;3661;3867;4379;2341;905;845;120;7;195;122;49;14;12;6;2;7;1
Montfoort;G0335;10033;Utrecht;P26;9934;8167;7;8;8152;2127;973;1160;1469;516;487;436;468;386;59;40;18;8;4;1;0;0;
Mook en Middelaar;G0944;10271;Limburg;P31;6149;5036;7;3;5026;1116;894;588;745;680;430;412;38;0;71;15;24;2;10;1;0;0;
Muiden;G0424;10958;Noord-Holland;P27;4851;4067;5;1;4061;1177;837;416;428;259;509;306;28;2;64;21;6;5;1;2;0;;
Naarden;G0425;10187;Noord-Holland;P27;12354;10492;6;11;10475;4002;1588;883;1068;539;1233;721;142;33;187;32;32;1;6;4;4;;
Neder-Betuwe;G1740;10916;Gelderland;P25;16152;13008;13;7;12988;1938;1932;2041;1679;582;358;258;616;3426;75;54;15;7;3;2;0;2;
Nederlek;G0643;10050;Zuid-Holland;P28;10998;8882;9;9;8864;2142;1582;1406;1026;768;457;398;347;519;129;56;12;9;8;2;3;0;
Nederweert;G0946;10681;Limburg;P31;13013;9788;10;8;9770;1968;1092;2244;2307;1141;337;393;41;6;92;93;32;8;12;1;0;3;
Neerijnen;G0304;10125;Gelderland;P25;8789;7101;8;3;7090;1596;1022;1317;1102;424;263;218;240;786;66;29;12;3;8;2;1;1;
Niedorp;G0412;10923;Noord-Holland;P27;9106;7062;17;7;7038;2052;1275;1067;832;680;427;450;45;3;97;57;32;8;5;4;3;1;0
Nieuwegein;G0356;10374;Utrecht;P26;47108;35004;69;41;34894;7543;7018;6587;3566;3952;2139;2310;841;145;421;206;76;44;36;2;6;2;
Nieuwkoop;G0569;10728;Zuid-Holland;P28;20550;16094;21;13;16060;4624;1622;2531;3296;1190;955;766;482;227;171;113;51;8;11;4;3;6;
Nieuw-Lekkerland;G0571;10547;Zuid-Holland;P28;6712;5621;5;2;5614;586;784;713;643;315;116;123;849;1411;53;12;3;1;3;2;0;0;
Nijefurd;G0104;10768;Fryslân;P21;8448;6925;8;4;6913;1107;1356;790;1703;706;335;485;266;16;74;32;29;8;4;0;0;;2
Nijkerk;G0267;10446;Gelderland;P25;29494;23609;35;14;23560;5186;2635;3210;5127;1386;1068;903;2234;1423;175;103;68;16;8;1;5;6;6
Nijmegen;G0268;11209;Gelderland;P25;127230;96789;205;108;96476;13068;23924;11131;7879;12724;10515;13997;972;59;1337;270;301;127;128;19;15;10;
Noord-Beveland;G1695;10250;Zeeland;P29;5916;4690;6;1;4683;1112;765;686;801;424;212;218;130;182;74;39;23;9;2;3;3;;
Noordenveld;G1699;10699;Drenthe;P22;24165;19234;22;10;19202;4117;5492;2132;2007;1749;1175;1349;706;74;239;67;64;15;8;4;1;3;
Noordoostpolder;G0171;10144;Flevoland;P24;33394;25929;37;16;25876;5630;3761;3107;5677;1983;1130;1116;2222;716;229;147;86;15;20;3;5;;29
Noordwijk;G0575;10769;Zuid-Holland;P28;19357;15341;25;14;15302;4957;2101;2421;2232;1063;1022;913;208;36;188;78;44;17;15;2;5;0;
Noordwijkerhout;G0576;11134;Zuid-Holland;P28;11763;9461;15;12;9434;2775;1096;1540;1772;691;616;584;87;7;112;88;44;8;12;1;1;0;
Nuenen, Gerwen en Nederwetten;G0820;10761;Noord-Brabant;P30;17176;14044;13;15;14016;3428;2200;1844;2502;1563;1258;818;108;8;135;50;49;19;25;3;4;2;
Nunspeet;G0302;10512;Gelderland;P25;19957;16720;21;10;16689;2577;1281;1898;3340;698;425;372;2310;3552;123;57;24;7;8;1;2;2;12
Nuth;G0951;10104;Limburg;P31;12630;9843;14;16;9813;1552;1488;2560;1660;1128;388;604;58;8;150;172;29;7;3;1;4;1;
Oegstgeest;G0579;10287;Zuid-Holland;P28;16294;13872;9;14;13849;4249;2515;1174;1513;734;1834;1118;327;51;212;36;34;26;20;0;6;0;
Oirschot;G0823;10225;Noord-Brabant;P30;13705;10590;13;13;10564;2081;1289;1753;2839;1242;610;426;40;7;96;126;31;7;14;2;0;1;
Oisterwijk;G0824;10103;Noord-Brabant;P30;19707;15308;22;12;15274;4066;2251;2118;2848;1690;1122;757;125;7;144;67;36;7;30;2;2;2;
Oldambt;G1895;10453;Groningen;P20;31448;22417;41;21;22355;2899;6778;3692;1966;3478;789;1283;844;47;378;89;48;26;28;2;2;;6
Oldebroek;G0269;11106;Gelderland;P25;17135;13242;14;10;13218;1426;1572;1634;2929;607;258;284;2686;1657;71;57;15;5;7;0;4;0;6
Oldenzaal;G0173;11100;Overijssel;P23;24447;18912;24;22;18866;3698;3426;2682;4047;2124;1343;1024;157;10;156;105;53;24;6;4;3;4;
Olst-Wijhe;G1773;10409;Overijssel;P23;13345;10493;14;7;10472;1970;2477;1039;2301;994;589;667;173;38;109;63;27;5;11;2;3;4;
Ommen;G0175;11069;Overijssel;P23;13501;11044;10;9;11025;1947;1482;996;3354;738;491;419;1294;124;94;45;24;5;12;0;0;0;
Onderbanken;G0881;10492;Limburg;P31;6386;4839;5;7;4827;640;648;1641;717;637;155;250;16;2;56;36;20;3;3;1;2;0;
Oost Gelre;G1586;11094;Gelderland;P25;22890;17739;17;7;17715;3943;2773;2050;4802;2015;975;734;132;20;103;64;71;11;9;3;3;5;2
Oosterhout;G0826;11280;Noord-Brabant;P30;41207;30196;36;28;30132;7077;5255;5832;3920;3522;2011;1560;241;37;311;207;97;25;24;7;3;3;
Oostflakkee;G0580;10714;Zuid-Holland;P28;8158;6278;9;2;6267;1169;1002;1262;867;523;179;221;423;456;101;43;15;1;3;0;1;1;
Ooststellingwerf;G0085;10836;Fryslân;P21;20323;15381;21;23;15337;2496;4026;2008;2352;1779;639;963;596;75;211;89;69;18;7;2;4;;3
Oostzaan;G0431;11303;Noord-Holland;P27;6966;5565;4;3;5558;1558;1077;1161;323;443;363;361;90;14;83;54;16;8;3;1;2;1;0
Opmeer;G0432;10609;Noord-Holland;P27;8589;6663;8;2;6653;1719;941;942;1422;621;387;349;41;4;86;77;34;9;9;3;4;3;2
Opsterland;G0086;10005;Fryslân;P21;22819;17618;11;11;17596;2746;4754;1631;2704;1994;776;1143;1356;137;156;67;93;14;10;2;4;;9
Oss;G0828;10834;Noord-Brabant;P30;58791;42718;81;52;42585;7701;6783;7883;6101;8209;2657;2113;212;21;384;336;89;36;33;9;6;12;
Oud-Beijerland;G0584;11301;Zuid-Holland;P28;17857;14169;24;16;14129;3339;1944;2157;1707;1188;844;696;762;1138;195;77;50;19;10;1;2;0;
Oude IJsselstreek;G1509;10260;Gelderland;P25;30504;23030;32;23;22975;4032;4393;3445;5108;2914;1259;1034;329;28;213;107;58;15;16;6;8;8;2
Ouder-Amstel;G0437;10998;Noord-Holland;P27;9815;8026;8;2;8016;2230;1617;878;941;465;888;637;108;71;122;26;14;8;6;2;3;;
Ouderkerk;G0644;10095;Zuid-Holland;P28;6143;5068;5;2;5061;1009;698;706;770;269;192;158;490;683;55;23;5;1;2;0;0;0;
Oudewater;G0589;10188;Utrecht;P26;7501;6063;12;8;6043;1604;626;888;1461;359;281;241;296;170;48;50;10;2;4;1;1;1;
Overbetuwe;G1734;11188;Gelderland;P25;33925;26244;35;13;26196;5877;4314;3769;4391;2601;1977;1554;746;475;265;122;55;16;18;2;3;7;4
Papendrecht;G0590;10427;Zuid-Holland;P28;24353;18854;21;15;18818;4343;2969;3121;2405;1766;983;770;1299;735;246;112;33;22;8;0;4;2;
Peel en Maas;G1894;10205;Limburg;P31;33131;24979;27;36;24916;4599;2595;6447;6072;2673;873;1016;111;14;229;175;49;30;23;2;1;7;
Pekela;G0765;10848;Groningen;P20;10017;6983;10;9;6964;669;2059;1566;612;1149;144;371;227;20;90;36;12;5;2;0;1;;1
Pijnacker-Nootdorp;G1926;10031;Zuid-Holland;P28;33973;27352;32;18;27302;8354;3342;4314;3836;1750;2233;1698;702;207;360;400;55;18;24;2;2;5;
Purmerend;G0439;11066;Noord-Holland;P27;60354;43360;104;45;43211;10757;9438;8879;2776;4634;2484;2472;453;46;649;365;112;73;39;9;6;2;17
Putten;G0273;11109;Gelderland;P25;17713;14626;19;6;14601;2882;1165;1835;3809;638;452;420;1889;1271;112;74;26;10;9;1;3;2;3
Raalte;G0177;10279;Overijssel;P23;28277;22142;30;23;22089;3929;3596;2020;7407;2153;1201;1030;389;21;134;113;48;13;21;1;2;11;
Reeuwijk;G0595;10485;Zuid-Holland;P28;9975;8416;7;4;8405;2498;752;1123;1544;386;480;350;510;613;73;49;16;5;4;1;0;1;
Reimerswaal;G0703;10077;Zeeland;P29;15314;12464;20;13;12431;1606;1258;1754;2004;813;235;254;567;3724;103;81;16;8;5;0;3;;
Renkum;G0274;11325;Gelderland;P25;24795;19800;35;15;19750;4608;4176;1986;2663;1593;2022;1695;411;91;299;63;92;25;9;5;5;4;3
Renswoude;G0339;10269;Utrecht;P26;3357;2891;2;3;2886;636;174;387;812;125;69;62;176;407;18;16;3;1;0;0;0;0;
Reusel-De Mierden;G1667;10162;Noord-Brabant;P30;9861;7209;7;6;7196;1386;864;1176;1916;1103;320;223;37;6;71;66;12;2;8;2;3;1;
Rheden;G0275;11355;Gelderland;P25;34767;26597;51;21;26525;5180;6244;3448;3058;3029;2082;2111;606;70;423;99;98;22;23;6;2;11;13
Rhenen;G0340;10309;Utrecht;P26;14178;11472;12;11;11449;2346;1599;1910;1448;595;645;535;552;1652;106;33;13;9;3;2;0;1;
Ridderkerk;G0597;10646;Zuid-Holland;P28;35758;26688;34;18;26636;4694;4325;5258;3137;2485;1110;1105;1625;2299;354;142;50;25;20;0;1;6;
Rijnwaarden;G0196;10819;Gelderland;P25;8515;6127;5;10;6112;982;1141;1404;1041;819;267;283;39;1;58;32;33;4;2;1;2;1;2
Rijnwoude;G1672;11257;Zuid-Holland;P28;14171;11548;10;13;11525;2811;1467;1546;2125;888;779;511;514;621;129;81;27;7;16;1;2;0;
Rijssen-Holten;G1742;10358;Overijssel;P23;27031;22984;31;9;22944;2985;2385;2354;4857;1018;613;487;2808;5157;121;106;19;9;14;3;6;2;
Rijswijk;G0603;11133;Zuid-Holland;P28;36766;27353;64;26;27263;6201;4992;5415;2841;2207;2270;1955;510;88;464;182;64;36;25;2;7;4;
Roerdalen;G1669;10196;Limburg;P31;16638;12460;7;18;12435;1978;1614;3913;2200;1348;466;517;64;7;176;86;41;11;6;1;2;5;
Roermond;G0957;11313;Limburg;P31;42211;29749;87;33;29629;5563;4883;7932;3686;3282;1623;1667;187;17;455;184;75;31;23;4;10;7;
Roosendaal;G1674;10407;Noord-Brabant;P30;58693;41186;85;29;41072;8888;7234;8867;6098;4666;2114;1908;292;37;463;323;91;32;25;16;6;12;
Rotterdam;G0599;10345;Zuid-Holland;P28;437884;282223;1341;373;280509;48920;73682;53912;17726;26654;22351;21745;6145;1906;4961;1155;538;404;169;94;52;41;54
Rozendaal;G0277;10684;Gelderland;P25;1150;1060;0;0;1060;461;137;75;116;34;117;81;12;4;14;2;5;0;1;0;0;1;0
Rucphen;G0840;11152;Noord-Brabant;P30;18210;12056;26;9;12021;2127;1453;4652;1754;1059;321;320;36;5;143;120;16;6;9;0;0;0;
Schagen;G0441;10511;Noord-Holland;P27;14638;11207;14;10;11183;2917;2489;1462;1145;1208;797;711;119;10;171;72;37;12;10;14;3;4;2
Schermer;G0458;10308;Noord-Holland;P27;4025;3302;1;1;3300;970;586;432;525;254;208;182;37;4;38;40;9;3;2;0;4;4;2
Scherpenzeel;G0279;11146;Gelderland;P25;6863;5661;7;5;5649;1236;502;701;1165;197;180;155;446;1003;30;18;9;4;1;0;1;0;1
Schiedam;G0606;11260;Zuid-Holland;P28;55521;37601;97;53;37451;6879;8369;8331;3077;4261;2371;2356;595;147;646;237;73;62;25;12;5;5;
Schiermonnikoog;G0088;10355;Fryslân;P21;742;914;0;2;912;201;237;52;144;64;72;84;32;4;16;3;2;0;1;0;0;;0
Schijndel;G0844;11178;Noord-Brabant;P30;17741;12785;16;6;12763;2581;2012;2313;2317;1976;666;578;52;3;110;94;35;10;11;1;3;1;
Schinnen;G0962;10132;Limburg;P31;10484;8474;8;10;8456;1255;1285;2130;1577;1040;395;479;71;1;99;71;35;8;6;1;2;1;
Schoonhoven;G0608;10980;Zuid-Holland;P28;9084;7193;11;10;7172;1696;1246;985;1036;572;476;405;418;165;95;41;20;12;2;1;0;2;
Schouwen-Duiveland;G1676;10843;Zeeland;P29;26939;22244;23;13;22208;5136;3433;3260;3516;1714;904;939;945;1828;281;134;69;23;20;1;5;;
's-Gravenhage;G0518;11434;Zuid-Holland;P28;377668;270023;2060;379;267584;59925;63042;43725;18710;18234;28075;22687;4429;1054;4901;1240;740;399;252;94;77;;
's-Hertogenbosch;G0796;10054;Noord-Brabant;P30;107554;81081;199;84;80798;16720;15401;14356;8228;10209;6761;6364;620;51;1053;549;265;110;65;21;9;16;
Simpelveld;G0965;10515;Limburg;P31;8493;6413;7;10;6396;716;1066;2003;1146;779;211;273;42;5;67;42;28;7;5;3;0;3;
Sint Anthonis;G1702;11415;Noord-Brabant;P30;8983;7377;2;4;7371;1400;650;754;2144;1760;244;254;35;4;44;48;23;5;3;1;1;1;
Sint-Michielsgestel;G0845;10496;Noord-Brabant;P30;21450;16467;22;16;16429;3620;2494;2568;3029;2149;1253;852;85;16;146;146;35;17;12;1;3;3;
Sint-Oedenrode;G0846;10399;Noord-Brabant;P30;13552;10592;13;8;10571;2161;1491;1478;2678;1517;576;450;45;4;60;66;20;15;6;3;1;0;
Sittard-Geleen;G1883;11230;Limburg;P31;74877;54398;89;55;54254;7396;9135;15111;8094;6764;2356;3503;345;28;795;406;213;39;42;8;10;9;
Skarsterlân;G0051;10022;Fryslân;P21;20866;16385;10;10;16365;3073;3752;1779;3459;1774;758;867;553;43;126;84;63;18;11;2;0;;3
Sliedrecht;G0610;11331;Zuid-Holland;P28;18338;13887;18;8;13861;2057;2094;1928;1833;1322;443;469;1522;1940;146;59;23;11;8;0;4;2;
Slochteren;G0040;10747;Groningen;P20;11957;9152;12;9;9131;1601;2236;1143;994;902;453;626;878;82;126;50;25;6;5;1;2;;1
Sluis;G1714;10895;Zeeland;P29;18202;13562;18;12;13532;3130;2534;2367;2231;1330;606;646;220;102;166;152;26;11;10;0;1;;
Smallingerland;G0090;10405;Fryslân;P21;42340;32513;61;33;32419;4092;8478;3498;5466;3796;1377;1864;3025;259;272;90;123;28;17;1;8;;25
Sneek;G0091;11421;Fryslân;P21;25705;19268;30;18;19220;3401;4760;2251;2888;2447;1127;1234;674;28;237;68;65;20;11;0;5;;4
Soest;G0342;11021;Utrecht;P26;34503;27461;39;21;27401;8318;4178;3758;3358;1799;2336;1689;896;328;405;130;128;36;23;11;2;6;
Someren;G0847;10203;Noord-Brabant;P30;14033;10601;13;8;10580;2081;1141;2099;2862;1316;439;350;68;2;68;96;34;8;12;1;2;1;
Son en Breugel;G0848;10549;Noord-Brabant;P30;11622;9247;10;9;9228;2590;1231;1135;1791;981;729;487;87;10;94;57;20;8;2;1;2;3;
Spijkenisse;G0612;10735;Zuid-Holland;P28;56165;38570;72;45;38453;7838;6995;10438;2634;4926;1646;1790;792;202;678;344;76;46;30;5;5;8;
Stadskanaal;G0037;10610;Groningen;P20;26062;18157;43;10;18104;2020;4710;2672;3248;2019;500;670;1774;123;194;107;37;14;9;2;2;;3
Staphorst;G0180;11362;Overijssel;P23;11235;9785;11;12;9762;1051;583;901;1993;287;171;159;1675;2860;31;26;12;6;4;0;3;0;
Stede Broec;G0532;11337;Noord-Holland;P27;16039;12270;20;10;12240;2892;1915;2300;1841;1448;652;636;154;32;168;115;56;8;10;6;2;5;0
Steenbergen;G0851;10731;Noord-Brabant;P30;18187;13083;16;5;13062;2820;1940;3149;2043;1371;559;498;186;136;190;105;38;14;9;2;1;1;
Steenwijkerland;G1708;10546;Overijssel;P23;33302;26264;22;18;26224;5196;5385;3399;5052;2264;1163;1258;1768;194;218;166;100;28;14;6;6;7;
Stein;G0971;11319;Limburg;P31;20649;15537;23;16;15498;2113;2175;4977;2214;2143;612;705;68;12;240;132;73;21;5;2;4;2;
Strijen;G0617;10558;Zuid-Holland;P28;6977;5433;6;6;5421;1316;792;935;786;475;230;260;325;148;92;33;19;5;2;2;1;0;
Ten Boer;G0009;10891;Groningen;P20;5508;4498;5;5;4488;520;1132;398;719;506;178;310;569;76;39;10;15;10;1;2;2;;1
Terneuzen;G0715;10704;Zeeland;P29;41076;29056;46;19;28991;4834;5443;5580;4440;2880;1183;1280;1479;1148;321;285;54;32;22;3;7;;
Terschelling;G0093;11210;Fryslân;P21;3797;4420;0;3;4417;995;1126;404;528;342;327;516;85;9;48;15;15;1;4;0;0;;2
Texel;G0448;10237;Noord-Holland;P27;10548;10161;20;4;10137;2477;2032;1120;1519;945;711;830;216;62;133;41;25;7;8;2;4;2;3
Teylingen;G1525;10017;Zuid-Holland;P28;26370;21512;24;26;21462;6659;2961;2833;3574;1395;1846;1263;371;50;260;125;62;36;17;3;4;3;
Tholen;G0716;10376;Zeeland;P29;18793;14740;18;2;14720;2125;1812;2357;2149;1199;322;352;893;3250;150;82;15;7;3;1;3;;
Tiel;G0281;10027;Gelderland;P25;30157;21597;41;12;21544;5050;4791;4154;1952;1902;1384;1221;423;143;277;143;50;25;20;6;0;3;
Tilburg;G0855;10792;Noord-Brabant;P30;156004;105729;199;137;105393;20666;21691;17014;11489;13759;9044;8100;743;85;1343;824;268;144;157;24;19;23;
Tubbergen;G0183;10694;Overijssel;P23;15633;12415;18;12;12385;2311;1016;1874;5368;809;415;310;67;19;47;92;35;10;7;2;2;1;
Twenterand;G1700;10643;Overijssel;P23;25296;19120;20;13;19087;2110;2624;2814;5969;1452;460;478;2153;690;140;148;19;15;6;2;4;3;
Tynaarlo;G1730;10002;Drenthe;P22;25111;20461;22;22;20417;4828;5466;1926;2040;1666;1673;1669;710;42;244;81;46;13;8;4;1;0;
Tytsjerksteradiel;G0737;11241;Fryslân;P21;24482;19154;23;23;19108;2546;4431;2051;4427;2076;770;1153;1192;126;165;69;72;12;8;1;0;;9
Ubbergen;G0282;10408;Gelderland;P25;7309;5880;4;4;5872;930;1257;644;1067;703;430;634;40;3;102;16;22;8;10;2;1;3;
Uden;G0856;11141;Noord-Brabant;P30;30859;23282;39;26;23217;5529;3216;3564;4005;3829;1423;1023;98;9;252;144;78;17;20;6;1;3;
Uitgeest;G0450;11238;Noord-Holland;P27;9422;7703;10;3;7690;2114;1407;1014;903;749;663;554;59;5;113;58;29;12;7;0;2;0;1
Uithoorn;G0451;11206;Noord-Holland;P27;20634;16421;41;6;16374;5178;2776;2532;1937;1168;1170;955;234;22;211;98;46;22;16;5;4;;
Urk;G0184;10783;Flevoland;P24;11656;9314;14;4;9296;229;57;1013;2412;72;31;21;1757;3635;8;17;2;8;2;0;3;;29
Utrecht;G0344;10722;Utrecht;P26;229442;177568;339;230;176999;32746;42952;17035;11517;12079;25190;27237;3879;451;2396;596;392;265;174;35;34;21;
Utrechtse Heuvelrug;G1581;10777;Utrecht;P26;37261;30462;47;18;30397;8202;4757;3396;4252;1759;2549;2439;1126;1127;456;127;149;34;11;1;10;2;
Vaals;G0981;10007;Limburg;P31;6210;4450;9;5;4436;536;826;1280;682;520;179;247;40;5;66;18;20;12;3;0;1;1;
Valkenburg aan de Geul;G0994;11077;Limburg;P31;13829;10897;27;8;10862;1929;1513;2752;2075;1044;603;540;75;6;168;81;50;6;2;2;15;1;
Valkenswaard;G0858;11031;Noord-Brabant;P30;24220;17906;20;14;17872;3561;2737;3415;3250;2591;1003;798;112;9;156;171;37;9;13;6;1;3;
Veendam;G0047;11292;Groningen;P20;22018;15774;29;14;15731;2325;5096;2418;1300;2074;706;839;526;38;252;96;29;8;8;4;6;;6
Veenendaal;G0345;11052;Utrecht;P26;45605;36312;81;27;36204;6772;4745;5598;5884;1981;1495;1241;4727;3299;222;127;60;21;12;10;6;4;
Veere;G0717;10369;Zeeland;P29;16899;15177;14;8;15155;2898;2180;1410;3259;973;686;701;828;1835;240;84;38;8;10;2;3;;
Veghel;G0860;10985;Noord-Brabant;P30;27788;21033;27;17;20989;4650;2908;3313;4563;2878;1193;957;110;6;213;127;38;8;17;3;3;2;
Veldhoven;G0861;10071;Noord-Brabant;P30;33431;25319;20;34;25265;5505;3808;4593;4110;3481;1584;1313;259;17;241;185;99;32;15;11;1;11;
Velsen;G0453;10620;Noord-Holland;P27;50885;38750;56;36;38658;8534;7872;7474;3770;3698;2740;2533;838;68;639;299;98;52;26;10;7;;
Venlo;G0983;10477;Limburg;P31;75062;53417;99;46;53272;9055;7971;16121;7604;6055;2453;2650;298;33;553;228;125;54;33;11;14;14;
Venray;G0984;11222;Limburg;P31;32144;23622;27;33;23562;4221;3459;4398;4992;3703;1150;1056;119;13;186;152;60;18;24;3;2;6;
Vianen;G0620;10887;Utrecht;P26;14909;11616;19;26;11571;2664;1998;2044;1595;1085;654;566;375;300;148;73;30;17;11;6;3;2;
Vlaardingen;G0622;10811;Zuid-Holland;P28;54172;38489;69;29;38391;7181;7714;8073;3691;4399;2131;2498;1091;603;560;295;76;33;23;14;5;4;
Vlagtwedde;G0048;11249;Groningen;P20;12887;9258;23;3;9232;1311;2269;1841;1436;1030;280;492;279;24;129;67;42;12;3;4;8;;5
Vlieland;G0096;10211;Fryslân;P21;855;993;0;0;993;296;230;76;74;83;93;94;17;3;13;13;1;0;0;0;0;;0
Vlissingen;G0718;10270;Zeeland;P29;34295;24354;40;22;24292;3902;5336;4512;2918;3035;1203;1308;769;455;479;220;87;34;21;5;8;;
Vlist;G0623;11174;Zuid-Holland;P28;7439;6228;6;2;6220;1469;747;862;1187;393;306;244;306;592;60;37;5;2;6;1;2;1;
Voerendaal;G0986;11341;Limburg;P31;10154;8049;2;4;8043;1264;1273;1909;1589;902;411;420;50;5;110;60;33;8;9;0;0;0;
Voorschoten;G0626;10537;Zuid-Holland;P28;17336;14297;20;14;14263;4384;2150;1585;1912;895;1562;1120;230;47;224;70;39;22;19;2;1;1;
Voorst;G0285;10912;Gelderland;P25;18710;14520;26;8;14486;3284;2847;1654;3072;1217;952;729;214;227;140;79;41;2;10;1;1;16;0
Vught;G0865;11224;Noord-Brabant;P30;19254;14781;16;17;14748;3805;2570;1781;2015;1788;1372;1025;79;7;165;75;28;14;18;2;3;1;
Waalre;G0866;10959;Noord-Brabant;P30;12439;10036;13;12;10011;2760;1401;1310;1662;1100;918;554;90;12;104;48;22;11;13;1;4;1;
Waalwijk;G0867;11359;Noord-Brabant;P30;35499;25973;37;20;25916;5711;3639;5160;4122;3086;1413;1101;679;472;259;159;67;24;13;3;5;3;
Waddinxveen;G0627;10081;Zuid-Holland;P28;19274;15392;22;28;15342;3455;2187;2249;2263;1017;876;642;1347;1018;151;85;26;11;5;3;1;6;
Wageningen;G0289;11010;Gelderland;P25;25926;20567;24;27;20516;2900;4882;1497;1957;1602;3007;3099;874;228;263;62;66;34;24;6;6;4;5
Wassenaar;G0629;10164;Zuid-Holland;P28;17596;14453;29;12;14412;6354;1350;1880;1928;656;1124;618;147;34;178;77;31;20;7;3;3;2;
Waterland;G0852;10983;Noord-Holland;P27;13249;11049;16;7;11026;2875;2143;1706;1438;844;800;808;150;16;136;69;14;12;4;6;4;1;0
