RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);Staatkundig Gereformeerde Partij (SGP);Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Communistische Partij van Nederland;CP;SP (Socialistische Partij);Evangelische Volkspartij;Federatie Groenen;Partij voor de Middengroepen;Loesje;Centrumdemocraten;VCN: partij van communisten in Nederland;Partij voor Ambtenaren en Trendvolgers;Anti Revolutionairen '85;Socialistische Arbeiderspartij;God Met Ons;Partij Algemeen Belang;Partij Geluk voor Iedereen;Lijst Wissink;Humanistische Partij;Lijst Brummer
IJsselham;G0195;10858;Overijssel;P23;3818;3563;9;;3554;1500;1098;595;125;12;33;25;63;60;9;3;4;14;4;;5;2;;;2;;;;;0;;
IJsselmuiden;G0191;10641;Overijssel;P23;8482;7879;21;;7858;3612;1025;562;161;1479;53;24;159;723;5;7;1;18;9;5;2;7;;;5;1;;;;0;;
IJsselstein;G0353;10152;Utrecht;P26;12395;10875;31;;10844;4169;2907;2060;877;312;120;106;46;71;33;35;22;26;13;13;9;14;3;;1;1;;;2;0;4;
Ilpendam;G0407;10809;Noord-Holland;P27;2405;2182;9;;2173;714;604;547;132;4;20;25;13;12;47;9;4;4;7;17;3;3;6;;;2;;;;;;
Jisp;G0408;10481;Noord-Holland;P27;739;658;6;;652;140;247;159;50;3;12;13;1;;13;;1;;2;3;3;4;;;;1;;;;;;
Kamerik;G0323;10554;Utrecht;P26;2514;2327;8;;2319;1270;270;316;90;221;24;15;17;59;4;3;8;11;3;3;3;1;;;;;;;1;0;0;
Kampen;G0166;10253;Overijssel;P23;23159;20866;59;;20807;7636;6133;1786;866;1117;432;224;874;1351;74;29;21;111;54;22;37;12;2;;21;5;;;;0;;
Kantens;G0020;10372;Groningen;P20;1311;1203;2;;1201;238;518;187;43;1;16;27;138;8;7;3;1;6;2;3;;;1;;;;;1;1;;;
Kapelle;G0678;11223;Zeeland;P29;7216;6473;29;;6444;2527;1469;1194;406;475;80;18;70;89;10;22;4;36;5;6;13;14;1;;1;3;;1;;;;
Katwijk;G0537;10707;Zuid-Holland;P28;27599;23281;32;;23249;10488;3698;3268;1067;2592;147;194;273;879;357;30;23;93;32;27;21;17;5;20;6;12;;;;;;
Katwoude;G0409;11136;Noord-Holland;P27;187;180;0;;180;72;32;57;9;;1;;2;5;1;;;;1;;;;;;;;;;;;;
Kerkrade;G0928;10313;Limburg;P31;39392;31446;172;;31274;11257;15412;2199;971;17;290;149;53;28;108;123;191;21;106;22;17;;17;179;10;7;80;14;;3;;
Kerkwijk;G0257;10791;Gelderland;P25;4168;3767;21;;3746;1355;681;433;104;987;24;23;23;74;2;4;8;6;3;6;;;3;;8;1;1;;;0;;
Kessel;G0929;10890;Limburg;P31;2768;2435;7;;2428;1509;511;269;92;2;15;7;;2;1;3;1;;3;3;7;;;2;;;1;;;0;;
Kesteren;G0258;10916;Gelderland;P25;6061;5470;13;;5457;1491;1537;585;167;1494;20;35;23;72;7;7;;8;3;2;2;2;;;1;;1;;;0;;
