RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);Staatkundig Gereformeerde Partij (SGP);Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Communistische Partij van Nederland;CP;SP (Socialistische Partij);Evangelische Volkspartij;Federatie Groenen;Partij voor de Middengroepen;Loesje;Centrumdemocraten;VCN: partij van communisten in Nederland;Partij voor Ambtenaren en Trendvolgers;Anti Revolutionairen '85;Socialistische Arbeiderspartij;God Met Ons;Partij Algemeen Belang;Partij Geluk voor Iedereen;Lijst Wissink;Humanistische Partij;Lijst Brummer
Naarden;G0425;10187;Noord-Holland;P27;12543;11114;3;;11111;2980;2071;4413;940;82;98;220;54;61;27;14;22;37;25;21;10;12;5;;6;7;;6;;;;
Nederhorst den Berg;G0426;10715;Noord-Holland;P27;3543;3240;9;;3231;1245;783;860;150;12;32;17;19;12;10;11;46;17;2;5;5;2;1;;2;;;;;;;
Nederlek;G0643;10050;Zuid-Holland;P28;10336;9286;19;;9267;1974;3546;2054;603;681;56;51;51;78;29;21;13;25;14;24;14;5;2;13;3;10;;;;;;
Nederweert;G0946;10681;Limburg;P31;11066;9518;47;;9471;5774;2225;914;279;1;56;52;12;13;6;15;6;4;23;11;19;;;18;2;1;2;38;;0;;
Neede;G0266;10367;Gelderland;P25;8133;7525;29;;7496;2694;3012;1119;327;9;75;49;102;41;6;13;10;7;7;9;5;3;2;;3;;0;;1;2;;
Neer;G0947;10682;Limburg;P31;2637;2207;11;;2196;1354;487;210;69;;19;30;;1;4;5;;2;4;4;5;;;1;;;1;;;0;;
Neerijnen;G0304;10125;Gelderland;P25;7471;6743;16;;6727;2010;2362;1149;257;675;54;36;43;56;16;24;2;6;11;9;4;7;;;2;;1;2;1;0;;
Niedorp;G0412;10923;Noord-Holland;P27;5697;5066;19;;5047;1863;1608;952;329;4;57;120;5;2;40;9;4;;10;23;8;2;2;;;;;9;;;;
Nieuwe Pekela;G0030;10950;Groningen;P20;3890;3472;10;;3462;932;1801;350;101;25;43;14;22;65;81;3;2;9;;5;4;1;4;;;;;;;;;
Nieuwegein;G0356;10374;Utrecht;P26;38761;33043;15;;33028;10136;10171;6955;3192;289;406;676;220;207;123;107;128;107;66;51;51;38;15;;24;9;;;42;3;12;
Nieuwerkerk aan den IJssel;G0567;10855;Zuid-Holland;P28;12403;11020;31;;10989;3042;2983;2991;825;512;83;62;120;157;22;29;18;38;21;33;11;13;1;23;3;2;;;;;;
Nieuweschans;G0031;10008;Groningen;P20;1370;1243;3;;1240;94;876;105;41;1;4;5;1;2;102;1;2;;;2;;1;2;;;;;1;;;;
Nieuw-Ginneken;G0817;10406;Noord-Brabant;P30;8558;7778;24;;7754;3788;1600;1734;471;2;49;32;8;6;11;12;1;1;9;8;9;3;;;1;;5;1;2;1;;
Nieuwkoop;G0569;10728;Zuid-Holland;P28;6958;6150;19;;6131;2494;1142;1620;419;114;86;72;14;78;18;7;14;10;8;6;14;4;1;7;1;2;;;;;;
Nieuw-Lekkerland;G0571;10547;Zuid-Holland;P28;5542;4980;15;;4965;1212;1667;393;222;1150;25;28;88;125;11;5;3;7;6;7;4;6;;;4;2;;;;;;
Nieuwleusen;G0170;10384;Overijssel;P23;5709;5105;6;;5099;2581;1070;665;207;160;23;11;269;72;3;4;2;13;3;8;1;1;;;3;1;;;;2;;
Nieuwolda;G0032;10126;Groningen;P20;1235;1129;4;;1125;260;604;150;34;;18;6;2;14;8;7;8;2;5;2;2;1;2;;;;;;;;;
Nieuwveen;G0573;10487;Zuid-Holland;P28;2279;1788;7;;1781;997;232;336;96;33;26;18;1;11;3;3;3;5;5;4;6;;1;0;;1;;;;;;
Nieuw-Vossemeer;G0818;10401;Noord-Brabant;P30;1740;1589;4;;1585;606;653;219;70;2;8;12;1;;2;4;;;;;3;;1;;1;;0;1;1;1;;
Nigtevecht;G0337;10160;Utrecht;P26;993;896;0;;896;368;197;217;59;6;15;12;2;5;2;2;1;;3;5;;;;;;1;;;;0;1;
Nijefurd;G0104;10768;Fryslân;P21;7657;7087;27;;7060;3704;1680;847;326;22;107;65;62;116;7;11;10;65;9;6;9;;3;;4;4;;3;;;;
Nijeveen;G0121;10774;Drenthe;P22;2023;1907;6;;1901;888;455;364;111;3;11;7;25;19;3;;;5;1;3;1;;;;4;;;1;;;;
Nijkerk;G0267;10446;Gelderland;P25;17171;15496;27;;15469;7458;3101;2128;652;1017;135;48;263;504;11;27;8;44;14;18;9;8;1;;15;1;;;2;1;4;
Nijmegen;G0268;11209;Gelderland;P25;113930;95375;408;;94967;27186;41133;9845;6087;63;2888;3733;167;125;1428;298;1143;144;235;79;186;55;38;;13;49;33;15;18;6;;
Nistelrode;G0819;10094;Noord-Brabant;P30;4730;4112;21;;4091;2537;982;329;113;;31;23;4;2;11;3;41;;2;6;4;;;;;;1;2;;0;;
Noorder-Koggenland;G0529;10924;Noord-Holland;P27;6521;5789;19;;5770;1795;1637;1454;408;77;68;100;29;87;23;11;7;2;27;20;9;2;3;;2;1;;8;;;;
Noordoostpolder;G0171;10144;Flevoland;P24;26734;24419;69;;24350;10565;6090;3997;1442;419;256;132;583;533;41;40;21;98;27;26;47;5;8;;10;8;;2;;;;
Noordwijk;G0575;10769;Zuid-Holland;P28;18061;15162;53;;15109;6267;3366;3548;890;87;307;199;61;111;45;36;24;55;20;28;21;12;2;12;7;11;;;;;;
Noordwijkerhout;G0576;11134;Zuid-Holland;P28;10752;9553;27;;9526;4850;1496;2218;526;20;106;112;26;14;42;13;6;14;19;27;18;6;;9;2;2;;;;;;
Nootdorp;G0577;10601;Zuid-Holland;P28;4640;4096;13;;4083;2268;541;877;212;20;36;20;11;21;5;7;1;14;5;7;16;13;1;4;2;2;;;;;;
Norg;G0120;10608;Drenthe;P22;4811;4317;11;;4306;799;1601;1374;285;1;79;34;47;23;11;;5;11;10;8;3;13;;;2;;;;;;;
Nuenen, Gerwen en Nederwetten;G0820;10761;Noord-Brabant;P30;14101;12670;10;;12660;5225;2659;3060;1078;11;223;182;40;44;17;16;13;16;23;19;10;2;4;;1;6;8;1;;2;;
Nuland;G0821;10118;Noord-Brabant;P30;3044;2767;13;;2754;1757;627;193;91;2;17;13;2;;3;2;36;2;3;2;2;;;;1;1;0;;;0;;
Nunspeet;G0302;10512;Gelderland;P25;16542;15661;38;;15623;6345;1986;2414;493;2746;85;48;144;1190;21;29;9;56;17;10;10;7;;;4;2;;;3;2;2;
Nuth;G0951;10104;Limburg;P31;12916;11586;72;;11514;5803;3554;1135;495;2;220;96;12;12;24;26;8;8;32;7;17;;6;32;;3;19;3;;0;;
Obdam;G0429;11338;Noord-Holland;P27;3934;3588;3;;3585;1986;604;643;202;;45;41;3;6;11;2;1;4;14;7;13;;2;;;;;1;;;;
Odoorn;G0122;11320;Drenthe;P22;9338;8570;27;;8543;1775;4409;1524;369;8;63;37;106;115;28;;9;21;9;21;11;16;14;;1;3;;4;;;;
Oeffelt;G0822;10360;Noord-Brabant;P30;1599;1478;5;;1473;862;351;138;74;;18;12;;;1;3;3;2;;3;4;;;;;1;0;1;;0;;
Oegstgeest;G0579;10287;Zuid-Holland;P28;12530;11333;34;;11299;3407;2125;3930;1024;42;256;138;133;53;36;21;12;38;27;15;17;8;1;11;4;1;;;;;;
Ohé en Laak;G0953;10420;Limburg;P31;646;558;5;;553;374;90;65;10;;6;1;;2;1;;;;2;;;;;1;;;1;;;0;;
Oirschot;G0823;10225;Noord-Brabant;P30;8155;7247;21;;7226;4167;1629;881;358;;59;33;2;2;11;11;20;10;2;11;15;5;1;;1;4;2;;;2;;
Oisterwijk;G0824;10103;Noord-Brabant;P30;12838;11560;31;;11529;4761;3335;2414;577;10;116;82;18;26;28;39;19;17;23;26;20;;2;;4;4;4;1;1;2;;
Oldebroek;G0269;11106;Gelderland;P25;14174;12612;53;;12559;4640;2563;1094;318;1956;50;25;244;1551;18;12;2;37;8;16;4;2;;;15;1;;;2;1;0;
Oldehove;G0035;10298;Groningen;P20;1695;1603;4;;1599;589;376;246;64;5;20;9;229;45;1;1;;8;3;;;;;;3;;;;;;;
Oldekerk;G0036;11332;Groningen;P20;1688;1586;6;;1580;731;371;267;55;7;12;8;66;27;2;4;;17;5;1;1;;;;3;1;;2;;;;
Oldenzaal;G0173;11100;Overijssel;P23;20708;19070;51;;19019;9657;5342;2323;1064;11;154;132;52;32;45;43;58;12;30;26;24;7;2;;;5;;;;0;;
Olst;G0174;10409;Overijssel;P23;6615;6126;16;;6110;2231;2250;1118;287;31;70;44;12;10;15;7;1;6;3;9;8;3;;;3;2;;;;0;;
Ommen;G0175;11069;Overijssel;P23;12501;11979;24;;11955;6532;1914;1509;458;63;88;61;1008;188;8;17;4;68;13;10;5;2;;;3;1;;;;3;;
Onderbanken;G0881;10492;Limburg;P31;5976;5297;30;;5267;2533;1933;374;179;2;59;27;4;3;19;31;14;5;15;9;9;;2;24;2;;23;;;0;;
Oost-, West- en Middelbeers;G0825;10220;Noord-Brabant;P30;3361;3045;8;;3037;1983;496;357;111;2;36;19;1;1;2;2;1;5;6;4;4;2;;;;;3;1;;1;;
Oostburg;G0692;10782;Zeeland;P29;13956;11932;47;;11885;3695;4230;2862;494;154;78;70;55;90;20;14;8;23;25;26;6;19;5;;3;4;;4;;;;
Oosterbroek;G0033;11282;Groningen;P20;3788;3385;7;;3378;439;2072;459;166;;23;68;72;10;17;10;9;13;3;4;5;2;5;;;1;;;;;;
Oosterhesselen;G0123;10490;Drenthe;P22;3575;3371;6;;3365;992;1342;662;122;16;33;18;93;52;13;;3;10;1;1;4;3;;;;;;;;;;
Oosterhout;G0826;11280;Noord-Brabant;P30;33833;29028;86;;28942;10400;10014;5157;2382;21;236;210;31;43;74;92;61;18;64;41;39;19;3;;4;8;7;9;3;6;;
Oostflakkee;G0580;10714;Zuid-Holland;P28;6935;6200;13;;6187;2047;2250;688;232;687;24;25;26;135;4;20;6;8;6;7;6;10;;;4;;;2;;;;
Ooststellingwerf;G0085;10836;Fryslân;P21;18155;16288;64;;16224;4188;7668;2444;772;66;202;184;277;138;84;34;19;54;22;17;19;3;11;;13;5;;4;;;;
Oostzaan;G0431;11303;Noord-Holland;P27;5313;4693;11;;4682;868;1944;1011;372;26;54;83;9;40;189;17;1;4;8;26;7;7;9;;2;2;;3;;;;
Ootmarsum;G0176;11079;Overijssel;P23;3068;2990;5;;2985;2028;424;377;96;3;13;12;4;3;3;3;3;5;3;2;4;1;;;1;;;;;0;;
Oploo, Sint Anthonis en Ledeacker;G0827;11415;Noord-Brabant;P30;5295;4879;11;;4868;3159;901;447;167;2;64;60;3;3;8;4;6;5;23;3;3;2;;;;;2;5;;1;;
Opmeer;G0432;10609;Noord-Holland;P27;7098;6405;17;;6388;3220;1259;1282;376;;60;73;9;30;21;7;8;6;14;6;8;6;;;;2;;1;;;;
Opsterland;G0086;10005;Fryslân;P21;19110;17351;61;;17290;4266;8075;2392;784;46;209;191;747;244;66;23;22;94;22;10;13;2;55;;14;6;;9;;;;
Oss;G0828;10834;Noord-Brabant;P30;35770;30294;85;;30209;11447;9934;4243;1591;19;291;282;44;37;78;104;1855;41;48;43;49;27;1;;8;43;10;8;;6;;
Ossendrecht;G0829;10929;Noord-Brabant;P30;3671;2955;20;;2935;1173;975;576;145;;12;16;3;4;1;10;1;1;1;3;8;1;;;;;2;1;1;1;;
Oud- en Nieuw-Gastel;G0831;11363;Noord-Brabant;P30;5849;4763;25;;4738;2238;1572;645;159;1;23;26;2;3;6;13;4;4;5;10;9;6;;;1;2;2;3;4;0;;
Oud-Beijerland;G0584;11301;Zuid-Holland;P28;13960;12336;38;;12298;3649;3362;2479;891;1153;125;84;72;207;32;50;17;69;28;36;10;20;2;;5;4;;3;;;;
Oude Pekela;G0038;10848;Groningen;P20;6201;5610;18;;5592;654;3760;345;132;11;18;30;28;43;498;3;15;17;5;13;2;1;11;;3;1;;;2;;;
Oudenbosch;G0830;10397;Noord-Brabant;P30;8809;7475;25;;7450;3116;2580;1177;341;5;41;60;12;11;15;36;8;6;7;2;10;5;2;;;;12;;3;1;;
Ouder-Amstel;G0437;10998;Noord-Holland;P27;8812;7914;20;;7894;2783;1812;2170;656;59;90;110;19;27;30;28;5;21;15;8;7;49;2;;1;2;;;;;;
Ouderkerk;G0644;10095;Zuid-Holland;P28;5777;5203;14;;5189;1454;1308;1036;275;834;42;24;24;126;3;14;1;9;6;5;2;4;;6;15;1;;;;;;
Oudewater;G0589;10188;Utrecht;P26;5092;4636;29;;4607;2343;798;846;239;152;58;27;24;52;6;13;;27;4;4;5;6;1;;;;;;2;0;0;
Papendrecht;G0590;10427;Zuid-Holland;P28;19302;16926;36;;16890;4778;5627;3378;1250;733;141;137;112;437;43;43;34;35;21;48;19;21;3;;9;8;;13;;;;
Peize;G0124;10501;Drenthe;P22;3634;3268;7;;3261;415;1586;813;248;6;68;32;14;19;24;;3;4;3;8;7;6;2;;1;2;;;;;;
Pijnacker;G0594;10031;Zuid-Holland;P28;11798;10887;23;;10864;5142;1603;2556;772;263;116;58;113;62;21;37;4;31;20;20;13;10;;18;2;3;;;;;;
Polsbroek;G0338;10993;Utrecht;P26;820;764;5;;759;399;61;145;4;124;3;3;;12;;3;;2;;3;;;;;;;;;;0;0;
Posterholt;G0956;10456;Limburg;P31;3156;2673;12;;2661;1268;935;260;105;1;26;18;1;4;1;15;;3;3;6;3;;;7;;;2;1;;2;;
Prinsenbeek;G0832;11354;Noord-Brabant;P30;7347;6562;31;;6531;3137;1443;1381;408;7;38;28;11;13;8;16;6;5;6;4;13;2;;;;;3;;1;1;;
Purmerend;G0439;11066;Noord-Holland;P27;37534;31539;89;;31450;6636;12528;6919;3030;36;375;523;44;102;469;245;71;85;84;111;36;63;54;;10;18;;11;;;;
Putte;G0833;10099;Noord-Brabant;P30;2420;2003;18;;1985;668;581;547;104;2;11;9;3;3;5;12;;3;8;5;13;1;;;4;;1;1;;4;;
Putten;G0273;11109;Gelderland;P25;14391;13203;24;;13179;6496;1908;2124;389;1156;82;37;166;683;22;26;5;38;10;18;6;5;;;5;1;;;1;0;1;
Raalte;G0177;10279;Overijssel;P23;18646;17149;28;;17121;11403;3042;1652;664;5;105;90;23;44;13;9;6;17;17;7;13;2;1;;4;4;;;;0;;
Raamsdonk;G0834;11391;Noord-Brabant;P30;9366;8026;34;;7992;3144;2835;1238;469;57;52;73;10;25;14;10;7;3;12;26;5;;;;;2;4;;4;2;;
Ravenstein;G0835;10805;Noord-Brabant;P30;5541;5063;19;;5044;2575;1641;441;192;1;40;44;8;4;7;3;56;1;7;4;8;1;;;;9;1;1;;0;;
Reeuwijk;G0595;10485;Zuid-Holland;P28;6572;6004;19;;5985;2128;1072;1834;419;198;64;37;33;105;19;14;;10;9;8;11;7;1;9;7;;;;;;;
Reimerswaal;G0703;10077;Zeeland;P29;13804;12246;37;;12209;3661;2809;1732;451;3005;60;37;104;196;21;38;4;36;3;12;11;15;1;;7;;;6;;;;
Renkum;G0274;11325;Gelderland;P25;26389;23690;72;;23618;7795;7021;5861;1493;228;349;189;143;187;67;32;37;88;39;13;33;13;6;;8;5;;;8;2;1;
Renswoude;G0339;10269;Utrecht;P26;2358;2137;1;;2136;1072;285;435;62;176;9;7;11;46;11;1;;4;4;4;1;1;;;7;;;;;0;0;
Reusel;G0836;10162;Noord-Brabant;P30;5276;4533;8;;4525;2941;843;461;173;3;37;26;;;6;3;1;3;7;7;4;3;2;;1;;2;2;;0;;
Rheden;G0275;11355;Gelderland;P25;36380;32711;84;;32627;9918;12484;6498;1942;86;475;261;234;241;87;55;56;93;56;22;52;17;4;;14;13;;;8;6;5;
Rhenen;G0340;10309;Utrecht;P26;12069;10699;31;;10668;3288;3207;1940;479;1211;84;52;63;213;28;23;6;33;9;9;5;6;1;;6;1;;;1;1;2;
Ridderkerk;G0597;10646;Zuid-Holland;P28;34165;30186;65;;30121;8441;10714;4343;2196;2690;209;166;378;429;68;130;48;68;41;67;35;37;7;;30;15;;9;;;;
Riethoven;G0837;10455;Noord-Brabant;P30;1614;1471;6;;1465;882;168;316;57;1;19;10;;1;;1;2;;2;1;4;1;;;;;0;;;0;;
Rijnsaterwoude;G0601;11129;Zuid-Holland;P28;927;839;3;;836;363;153;184;50;43;13;7;5;6;1;;2;1;2;;3;;2;0;;1;;;;;;
Rijnsburg;G0602;11118;Zuid-Holland;P28;8631;7848;23;;7825;4734;783;1122;227;181;43;31;357;251;9;11;4;27;3;19;5;2;;6;4;6;;;;;;
Rijnwaarden;G0196;10819;Gelderland;P25;7456;6447;22;;6425;3000;2357;574;326;6;45;30;7;5;10;7;5;4;7;12;15;4;1;;1;2;3;1;2;1;;
Rijsbergen;G0841;10866;Noord-Brabant;P30;4105;3512;24;;3488;1914;773;564;154;3;24;15;3;6;2;6;3;6;7;2;6;;;;;;0;;;0;;
Rijssen;G0178;10358;Overijssel;P23;15344;14426;37;;14389;4979;2197;816;270;4824;46;23;90;1023;10;26;6;41;2;5;7;13;;;11;;;;;0;;
Rijswijk;G0603;11133;Zuid-Holland;P28;38964;33747;91;;33656;10733;8324;9480;3026;208;411;325;204;164;119;208;61;60;60;72;49;118;1;;16;9;;8;;;;
Roden;G0125;10699;Drenthe;P22;12821;11674;32;;11642;2633;4947;2461;862;12;166;112;201;86;29;;12;64;12;14;12;14;;;1;3;;1;;;;
Roermond;G0957;11313;Limburg;P31;27844;21733;297;;21436;8495;7522;3423;1057;13;203;263;29;47;54;86;15;27;40;30;24;;4;61;4;4;30;4;;1;;
Roggel;G0958;10505;Limburg;P31;3140;2744;14;;2730;1698;516;330;102;1;38;9;1;;8;5;4;3;2;3;1;;;2;;;6;1;;0;;
Rolde;G0126;10470;Drenthe;P22;4544;4104;11;;4093;546;1595;1517;236;3;71;53;25;6;10;;3;6;5;6;2;7;1;;;1;;;;;;
Roosendaal en Nispen;G0838;10407;Noord-Brabant;P30;42332;34576;133;;34443;14454;10334;6246;2044;24;299;267;29;105;61;189;69;62;47;47;56;48;3;;2;13;7;11;18;8;;
Rosmalen;G0839;10970;Noord-Brabant;P30;18072;15583;60;;15523;6773;4224;2815;955;7;192;119;25;17;29;22;219;21;29;28;18;8;2;;3;7;3;5;;2;;
Rossum;G0276;10860;Gelderland;P25;2167;1981;12;;1969;782;667;342;102;10;10;26;3;3;5;2;;2;8;1;2;3;;;;;0;;1;0;;
Rotterdam;G0599;10345;Zuid-Holland;P28;425096;330478;1533;;328945;64668;163709;45556;22584;4528;3580;4408;2151;2159;3096;5075;1454;807;750;879;628;1375;320;626;156;300;;136;;;;
Rozenburg;G0600;11314;Zuid-Holland;P28;9894;8373;20;;8353;2477;3015;1455;761;77;64;52;155;56;45;39;22;25;14;47;23;10;3;;8;2;;3;;;;
Rozendaal;G0277;10684;Gelderland;P25;1053;1020;1;;1019;311;125;424;87;2;30;8;3;8;1;2;2;1;9;3;;3;;;;;;;;0;0;
Rucphen;G0840;11152;Noord-Brabant;P30;15906;12719;57;;12662;4581;6072;1401;377;6;46;29;4;14;15;41;2;6;10;24;12;13;2;;;1;1;2;1;2;;
Ruinen;G0127;10629;Drenthe;P22;5044;4777;10;;4767;1169;1703;1478;239;4;42;18;21;38;5;;5;9;6;11;8;6;1;;3;1;;;;;;
Ruinerwold;G0128;10944;Drenthe;P22;2572;2367;5;;2362;720;652;758;126;4;21;9;37;19;1;;;;2;4;4;1;;;1;1;;2;;;;
Ruurlo;G0278;10879;Gelderland;P25;5636;5017;25;;4992;1758;1509;1425;180;5;28;24;9;13;5;3;4;4;2;3;9;1;2;;1;4;2;1;;0;;
Sas van Gent;G0704;11405;Zeeland;P29;6208;5088;22;;5066;1874;1801;931;254;24;47;32;19;13;9;6;5;3;14;20;5;4;2;;;2;;1;;;;
Sassenheim;G0604;10612;Zuid-Holland;P28;10064;9197;30;;9167;4353;1577;2204;598;58;95;75;26;34;22;14;20;25;11;14;14;9;;9;5;4;;;;;;
Schagen;G0441;10511;Noord-Holland;P27;11696;10104;26;;10078;2739;3075;2763;921;9;123;148;21;43;73;38;5;22;29;23;21;9;6;;3;2;;5;;;;
Schaijk;G0843;10276;Noord-Brabant;P30;5267;4719;23;;4696;2707;1091;538;192;;37;40;6;;13;7;44;6;4;3;3;;;;;1;3;1;;0;;
Scheemda;G0039;10711;Groningen;P20;5762;5311;30;;5281;1211;2897;552;227;14;34;38;47;66;121;6;11;24;4;5;2;6;12;;2;;;1;1;;;
Schermer;G0458;10308;Noord-Holland;P27;3810;2764;6;;2758;1065;754;636;162;8;27;46;6;5;17;3;1;2;3;12;6;1;2;;1;;;1;;;;
Scherpenzeel;G0279;11146;Gelderland;P25;5611;5186;6;;5180;2134;937;1039;178;567;30;12;37;178;8;11;1;19;7;3;3;6;;;6;2;;;1;1;0;
Schiedam;G0606;11260;Zuid-Holland;P28;52650;43430;141;;43289;11045;20117;5682;3172;346;448;488;165;352;411;351;195;65;64;127;67;114;30;;14;17;;19;;;;
Schiermonnikoog;G0088;10355;Fryslân;P21;697;885;3;;882;245;267;222;66;;23;17;11;3;9;1;7;7;2;;2;;;;;;;;;;;
Schijndel;G0844;11178;Noord-Brabant;P30;15163;12836;35;;12801;6139;4017;1305;484;6;111;87;5;8;21;4;522;9;8;21;14;6;1;;4;12;10;4;;3;;
Schinnen;G0962;10132;Limburg;P31;9851;8912;32;;8880;4433;2671;1054;387;1;113;55;7;10;17;16;8;2;34;2;10;;2;41;2;;12;2;;1;;
Schipluiden;G0607;10130;Zuid-Holland;P28;5747;5361;17;;5344;3362;527;944;248;43;51;35;30;27;15;19;4;19;4;5;6;2;;;;3;;;;;;
Schoonebeek;G0129;10064;Drenthe;P22;5617;5008;12;;4996;2641;1750;330;163;1;27;17;17;16;6;;1;10;2;5;3;3;;;2;;;2;;;;
Schoonhoven;G0608;10980;Zuid-Holland;P28;7638;6853;17;;6836;2432;1952;1304;434;315;79;96;37;64;14;13;1;11;17;14;12;9;;12;17;3;;;;;;
Schoorl;G0444;10627;Noord-Holland;P27;4991;4611;13;;4598;1433;1288;1182;372;1;73;68;10;12;21;15;12;6;74;7;12;2;5;;;;;5;;;;
Sevenum;G0964;10045;Limburg;P31;4905;4366;12;;4354;3002;615;433;190;;31;44;3;3;3;3;6;2;7;2;7;;;0;1;1;1;;;0;;
's-Graveland;G0390;10534;Noord-Holland;P27;6797;6024;15;;6009;2198;1365;1633;423;66;77;52;47;38;20;12;9;18;11;17;9;7;4;;1;;;2;;;;
's-Gravendeel;G0517;10052;Zuid-Holland;P28;5915;5322;18;;5304;1726;1950;804;246;317;36;27;44;83;11;2;4;18;4;17;5;3;;;1;1;;5;;;;
's-Gravenhage;G0518;11434;Zuid-Holland;P28;335303;261149;836;;260313;65883;95435;57894;19645;2443;3189;3507;1339;1342;2088;2644;824;557;725;403;311;1071;146;486;141;110;;;130;;;
's-Gravenmoer;G0787;10469;Noord-Brabant;P30;1489;1363;0;;1363;701;245;204;81;21;15;5;19;36;1;1;3;8;5;1;1;;;;15;;0;;1;0;;
's-Gravenzande;G0519;10640;Zuid-Holland;P28;12738;11316;10;;11306;5267;1887;2707;552;399;66;66;54;115;38;19;8;57;11;23;10;12;3;;9;1;;2;;;;
's-Hertogenbosch;G0796;10054;Noord-Brabant;P30;66411;54251;155;;54096;18043;22030;6923;3175;38;936;964;153;84;404;259;381;81;177;87;131;141;6;;5;31;18;25;;4;;
Simpelveld;G0965;10515;Limburg;P31;8792;7979;41;;7938;3792;2931;662;284;1;38;34;5;11;13;23;14;3;31;11;7;;1;43;1;4;24;3;;2;;
Sint Maarten;G0445;10740;Noord-Holland;P27;1466;1333;3;;1330;469;374;307;108;;21;20;7;1;5;1;2;5;5;2;2;;;;;1;;;;;;
Sint Odiliënberg;G0967;10278;Limburg;P31;2611;2236;14;;2222;1148;569;322;108;1;18;20;1;2;3;7;;2;3;4;5;;2;5;1;;0;;;1;;
Sint Pancras;G0446;10513;Noord-Holland;P27;3717;3367;5;;3362;1358;804;739;224;15;55;38;19;38;21;12;2;10;6;11;2;5;;;3;;;;;;;
Sint Philipsland;G0712;10394;Zeeland;P29;1681;1566;3;;1563;362;322;136;39;638;8;4;14;25;3;2;;;;3;4;2;;;1;;;;;;;
Sint-Michielsgestel;G0845;10496;Noord-Brabant;P30;8632;7711;25;;7686;3561;2425;1024;387;3;79;57;16;7;11;13;40;8;13;14;9;4;1;;;7;3;;;4;;
Sint-Oedenrode;G0846;10399;Noord-Brabant;P30;11754;10492;32;;10460;6093;2343;1184;488;6;121;83;7;4;21;9;21;9;19;17;9;5;9;;;5;6;1;;0;;
Sittard;G0968;11230;Limburg;P31;33357;27095;125;;26970;11434;9733;3181;1183;11;446;280;27;49;107;88;53;31;59;18;39;;3;149;2;8;63;1;;5;;
Skarsterlân;G0051;10022;Fryslân;P21;16488;15045;28;;15017;6344;5256;2000;680;69;173;78;74;129;41;18;3;67;18;14;20;4;10;;8;9;;2;;;;
Sleen;G0130;10489;Drenthe;P22;6460;6073;18;;6055;1227;3172;1177;188;4;52;26;19;87;44;;11;13;2;4;6;11;1;;8;1;;2;;;;
Sliedrecht;G0610;11331;Zuid-Holland;P28;16619;14249;11;;14238;3366;5245;1771;619;2155;96;116;172;354;129;43;31;45;18;31;13;5;5;;16;6;;2;;;;
Slochteren;G0040;10747;Groningen;P20;10294;9031;28;;9003;1794;3871;1547;512;10;69;98;830;110;46;17;20;23;7;16;8;10;1;;10;2;;2;;;;
Sluis;G0713;10895;Zeeland;P29;2128;1940;4;;1936;603;592;589;93;4;9;12;8;7;1;5;;3;2;1;3;3;;;;1;;;;;;
Smallingerland;G0090;10405;Fryslân;P21;36640;33289;111;;33178;10548;13920;3551;1761;175;348;256;1157;671;272;47;58;212;33;26;43;11;7;;65;9;;8;;;;
Smilde;G0131;11033;Drenthe;P22;6418;5838;11;;5827;2210;2162;789;283;5;62;30;138;57;16;;6;23;4;9;9;15;;;4;2;;3;;;;
Sneek;G0091;11421;Fryslân;P21;21757;19046;59;;18987;6644;7432;2587;1175;49;225;164;121;220;73;24;31;88;30;25;42;5;29;;14;4;;5;;;;
Snelrewaard;G0341;10802;Utrecht;P26;595;561;2;;559;360;18;98;23;48;;3;3;4;;;;1;;;1;;;;;;;;;0;0;
Soest;G0342;11021;Utrecht;P26;30062;26261;84;;26177;9885;5030;7642;1934;230;315;208;240;279;58;84;22;61;62;51;21;21;1;;5;4;;;13;3;8;
Someren;G0847;10203;Noord-Brabant;P30;12210;10597;31;;10566;6605;1760;1326;391;5;97;66;7;14;17;10;13;3;15;11;11;4;;;;2;3;205;;1;;
Son en Breugel;G0848;10549;Noord-Brabant;P30;10636;9528;19;;9509;4244;1565;2749;617;2;104;47;25;30;21;12;17;12;16;13;15;10;3;;1;1;2;3;;0;;
Spijkenisse;G0612;10735;Zuid-Holland;P28;42447;35004;109;;34895;7339;14924;6353;3442;326;283;311;183;272;153;252;485;46;60;254;69;89;14;;8;20;;12;;;;
Sprang-Capelle;G0849;11233;Noord-Brabant;P30;6408;5466;10;;5456;2471;1115;817;193;613;24;25;29;105;11;8;2;9;7;6;9;3;;;4;1;2;2;;0;;
Stad Delden;G0179;10913;Overijssel;P23;5502;5175;15;;5160;2558;1006;1107;303;10;57;22;17;12;8;13;13;5;8;10;4;1;2;;1;3;;;;0;;
Stadskanaal;G0037;10610;Groningen;P20;25264;22368;66;;22302;7325;10219;1838;712;51;163;124;674;876;128;24;32;58;8;14;17;8;5;;17;4;;2;3;;;
