RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);SP (Socialistische Partij);VVD;PVV (Partij voor de Vrijheid);GL;ChristenUnie;Democraten 66 (D66);Partij voor de Dieren;Staatkundig Gereformeerde Partij (SGP);ETnNL;Fortuyn;Verenigde Senioren Partij;Ad Bos Collectief;Partij voor Nederland;Lijst Potmis;Nederland Transparant;Groen Vrij Internet Partij;Liberaal Democratische Partij;Lijst Poortman;Continue Directe Democratie Partij;LRVP - het Zeteltje;Solide Multiculturele Partij;Tamara's Open Partij
Hoorn;G0405;11392;Noord-Holland;P27;50820;40445;;69;40376;8719;9152;8018;6825;2241;2160;795;798;1010;41;245;104;164;26;20;;8;17;8;22;3;;;
Horst aan de Maas;G1507;11108;Limburg;P31;21538;16990;;16;16974;7356;2007;3288;1745;1661;362;132;159;151;10;41;26;12;8;8;;3;;;5;;;;
Houten;G0321;10230;Utrecht;P26;32299;27773;;32;27741;7916;4849;3606;4741;1447;1616;1748;600;445;536;133;42;14;13;16;3;9;;6;0;1;;;
Huizen;G0406;11170;Noord-Holland;P27;31304;26503;;33;26470;7613;4359;3257;5288;1353;1093;1775;509;581;404;100;45;35;17;8;;5;4;6;14;4;;;0
Hulst;G0677;11408;Zeeland;P29;20024;15742;;15;15727;4991;3262;3359;1981;1039;368;182;107;256;21;74;48;21;;13;;2;;;3;;;;
Hunsel;G0925;10784;Limburg;P31;4584;3776;;8;3768;1653;497;545;437;419;77;25;22;40;6;5;14;11;9;2;;1;;;5;;;;
IJsselstein;G0353;10152;Utrecht;P26;24403;19904;;38;19866;5695;3878;2987;3555;1295;777;627;327;311;185;120;45;34;8;5;6;1;;7;3;0;;;
Jacobswoude;G0645;10461;Zuid-Holland;P28;8113;7010;;11;6999;2814;774;736;1455;432;229;192;109;128;45;49;25;;5;4;0;0;;0;0;2;;;
Kampen;G0166;10253;Overijssel;P23;36152;31052;;21;31031;9648;5051;3826;2275;1051;854;5045;264;297;2534;88;45;15;7;12;;4;9;5;;1;;;
Kapelle;G0678;11223;Zeeland;P29;8835;7698;;12;7686;2738;1052;859;1031;371;191;492;52;116;740;26;11;4;;1;;1;;;1;;;;
Katwijk;G0537;10707;Zuid-Holland;P28;44959;37410;;47;37363;16552;3554;3079;3810;1910;603;4195;240;538;2594;180;56;;14;15;2;6;;12;0;3;;;
Kerkrade;G0928;10313;Limburg;P31;36635;27151;;43;27108;5422;7652;6819;1942;3499;651;255;109;461;16;73;69;67;35;19;;11;;;8;;;;
Kessel;G0929;10890;Limburg;P31;3238;2669;;6;2663;1119;381;392;311;362;27;11;20;23;1;9;3;1;2;1;;0;;;0;;;;
Kollumerland en Nieuwkruisland;G0079;10984;Fryslân;P21;10001;8075;;22;8053;3310;1508;1169;542;273;206;781;47;95;68;19;18;2;4;6;;1;4;;0;;;;
Korendijk;G0588;10914;Zuid-Holland;P28;8224;7055;;7;7048;1791;984;787;1049;492;154;396;74;127;1067;101;17;4;3;1;0;0;;0;1;0;;;
