RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);SP (Socialistische Partij);VVD;PVV (Partij voor de Vrijheid);GL;ChristenUnie;Democraten 66 (D66);Partij voor de Dieren;Staatkundig Gereformeerde Partij (SGP);ETnNL;Fortuyn;Verenigde Senioren Partij;Ad Bos Collectief;Partij voor Nederland;Lijst Potmis;Nederland Transparant;Groen Vrij Internet Partij;Liberaal Democratische Partij;Lijst Poortman;Continue Directe Democratie Partij;LRVP - het Zeteltje;Solide Multiculturele Partij;Tamara's Open Partij
Oude IJsselstreek;G1509;10260;Gelderland;P25;30460;24570;;28;24542;9137;5010;4529;2811;1058;616;428;364;274;13;81;40;24;9;9;105;2;8;3;21;;;;
Ouder-Amstel;G0437;10998;Noord-Holland;P27;9721;8230;;7;8223;2183;1605;901;1803;392;495;200;259;218;57;54;21;14;6;6;;2;4;1;2;0;;;0
Ouderkerk;G0644;10095;Zuid-Holland;P28;6133;5330;;3;5327;1405;861;492;780;294;114;517;45;59;684;51;17;;2;0;0;1;;2;2;1;;;
Oudewater;G0589;10188;Utrecht;P26;7448;6424;;4;6420;2821;712;551;1051;367;163;386;74;65;149;56;10;7;1;3;1;2;;1;0;0;;;
Overbetuwe;G1734;11188;Gelderland;P25;31718;26237;;12;26225;8789;4990;4171;3626;1263;974;934;476;354;462;81;33;19;13;14;7;7;4;1;7;;;;
Papendrecht;G0590;10427;Zuid-Holland;P28;23888;19866;;25;19841;5427;3686;2750;3089;1257;488;1494;274;350;665;245;61;22;10;9;2;4;;2;6;0;;;
Pekela;G0765;10848;Groningen;P20;10049;7818;;9;7809;1006;3247;1948;540;345;240;311;29;69;15;29;15;2;1;8;;2;;0;2;;;;
Pijnacker-Nootdorp;G1926;10031;Zuid-Holland;P28;29862;25574;;28;25546;8698;3429;2546;5719;1660;1019;857;510;486;192;303;71;;13;10;6;6;;6;11;4;;;
Purmerend;G0439;11066;Noord-Holland;P27;58617;46028;;56;45972;8411;10780;8539;8640;4066;1818;856;707;1234;39;352;157;199;47;24;;11;51;11;29;1;;;
Putten;G0273;11109;Gelderland;P25;17151;14908;;10;14898;6545;1418;931;1811;655;238;1858;100;169;1098;33;24;6;6;4;0;2;0;0;0;;;;
Raalte;G0177;10279;Overijssel;P23;27935;23893;;27;23866;12027;3662;3337;2416;670;631;561;211;163;17;66;47;30;11;5;;4;7;0;;1;;;
Reeuwijk;G0595;10485;Zuid-Holland;P28;9500;8405;;16;8389;3037;848;620;1831;443;245;509;104;112;542;64;13;;8;5;2;1;;2;1;2;;;
Reiderland;G1661;11043;Groningen;P20;5509;4271;;4;4267;272;1820;1296;336;165;142;49;21;106;9;17;14;7;5;5;;1;;2;0;;;;
Reimerswaal;G0703;10077;Zeeland;P29;15180;12888;;5;12883;3591;1491;1296;1214;673;146;648;83;132;3518;35;29;13;;8;;3;;;3;;;;
Renkum;G0274;11325;Gelderland;P25;24587;20847;;32;20815;5540;4483;3050;3663;675;1331;702;530;592;81;79;31;26;6;6;4;6;7;2;1;;;;
Renswoude;G0339;10269;Utrecht;P26;3164;2783;;2;2781;1361;189;156;341;124;29;190;13;21;334;18;2;0;1;1;0;0;;1;0;0;;;
Reusel-De Mierden;G1667;10162;Noord-Brabant;P30;9515;7492;;6;7486;3611;986;1300;885;333;123;56;54;67;6;31;12;8;;8;;3;;1;1;1;;;
Rheden;G0275;11355;Gelderland;P25;34591;28860;;30;28830;6716;7022;5730;4102;1294;1471;975;558;667;64;101;30;22;13;15;19;2;13;7;9;;;;
Rhenen;G0340;10309;Utrecht;P26;13912;11882;;16;11866;3228;2111;1085;1676;742;430;674;144;181;1487;50;18;24;6;3;0;3;;2;2;0;;;
Ridderkerk;G0597;10646;Zuid-Holland;P28;35306;28998;;26;28972;6896;5628;4330;3633;2346;563;1928;323;524;2225;401;78;46;20;13;4;4;;4;5;1;;;
Rijnwaarden;G0196;10819;Gelderland;P25;8417;6666;;7;6659;2028;1721;1326;714;425;155;58;58;93;6;28;17;12;2;4;0;1;2;1;8;;;;
Rijnwoude;G1672;11257;Zuid-Holland;P28;14268;12371;;24;12347;4442;1685;1323;2084;708;389;624;184;169;616;87;18;;4;3;1;1;;3;5;1;;;
Rijssen-Holten;G1742;10358;Overijssel;P23;26515;23861;;15;23846;7801;2930;1537;1933;752;274;3035;200;152;5119;45;25;8;6;10;;7;10;1;;1;;;
Rijswijk;G0603;11133;Zuid-Holland;P28;37361;29512;;43;29469;7092;5413;4250;5684;2659;1384;789;685;924;97;286;68;44;18;29;18;11;;5;3;10;;;
Roerdalen;G1669;10196;Limburg;P31;7907;6325;;9;6316;2085;1011;1112;815;834;173;54;44;119;2;20;14;14;13;5;;1;;;0;;;;
Roermond;G0957;11313;Limburg;P31;34179;25431;;36;25395;5855;5293;4766;3707;3079;1059;353;546;484;12;101;44;50;18;10;;9;;;9;;;;
Roggel en Neer;G1670;10505;Limburg;P31;6404;5131;;14;5117;1947;658;784;685;638;149;59;54;71;6;13;17;21;10;2;;1;;;2;;;;
Roosendaal;G1674;10407;Noord-Brabant;P30;57900;43771;;41;43730;12851;8501;8113;6856;3631;1192;600;705;704;18;280;133;46;27;;16;15;21;9;8;4;;;
Rotterdam;G0599;10345;Zuid-Holland;P28;421162;298478;;787;297691;42695;86935;52440;35331;25316;14988;8323;9990;7300;1891;9519;1116;;232;302;979;69;;100;92;21;;52;
Rozenburg;G0600;11314;Zuid-Holland;P28;9743;7597;;15;7582;1804;1528;1554;953;767;170;328;65;153;53;140;34;13;6;1;10;2;;0;1;0;;;
Rozendaal;G0277;10684;Gelderland;P25;1175;1098;;0;1098;317;136;80;378;31;67;18;27;32;5;6;0;0;0;0;1;0;0;0;0;;;;
Rucphen;G0840;11152;Noord-Brabant;P30;17868;12904;;16;12888;3445;3075;2275;1587;1935;138;75;50;184;3;48;30;18;7;;3;5;7;1;1;1;;;
Schagen;G0441;10511;Noord-Holland;P27;14431;11617;;20;11597;2706;2487;2189;2345;575;468;259;177;231;11;75;21;20;9;6;;2;9;6;0;1;;;
Scheemda;G0039;10711;Groningen;P20;10928;9028;;6;9022;1668;3183;1928;725;314;312;590;79;143;12;33;13;4;5;7;;2;;3;1;;;;
Schermer;G0458;10308;Noord-Holland;P27;3795;3264;;8;3256;1084;507;472;635;180;147;58;51;64;7;25;12;4;2;1;;4;3;0;0;0;;;
Scherpenzeel;G0279;11146;Gelderland;P25;6547;5775;;3;5772;2223;563;310;837;230;93;500;43;52;879;27;6;4;2;2;0;0;0;1;0;;;;
Schiedam;G0606;11260;Zuid-Holland;P28;55129;41866;;56;41810;7684;10116;8411;5321;4262;1574;958;1007;906;153;762;139;112;45;47;285;13;;6;5;4;;;
Schiermonnikoog;G0088;10355;Fryslân;P21;757;714;;0;714;184;172;123;121;12;42;23;15;17;3;0;0;1;0;0;;0;0;;1;;;;
Schijndel;G0844;11178;Noord-Brabant;P30;17524;13608;;24;13584;4713;2542;2933;1764;775;376;74;121;148;6;44;41;37;;2;;3;;2;1;2;;;
Schinnen;G0962;10132;Limburg;P31;10402;8964;;6;8958;2710;1846;1723;978;1011;298;115;73;146;4;11;16;18;3;5;;1;;;0;;;;
Schoonhoven;G0608;10980;Zuid-Holland;P28;9187;7874;;12;7862;2256;1381;1106;1349;469;306;464;117;169;156;58;16;;3;3;0;5;;4;0;0;;;
Schouwen-Duiveland;G1676;10843;Zeeland;P29;26714;22750;;59;22691;6449;3848;2868;3950;1183;605;1136;209;486;1695;155;58;25;;6;;8;;;10;;;;
Sevenum;G0964;10045;Limburg;P31;5753;4720;;5;4715;2259;491;804;480;388;130;49;55;32;4;12;4;4;2;1;;0;;;0;;;;
's-Gravendeel;G0517;10052;Zuid-Holland;P28;6894;5695;;4;5691;1636;1063;759;772;412;124;411;52;93;288;48;20;4;0;3;2;1;;1;1;1;;;
's-Gravenhage;G0518;11434;Zuid-Holland;P28;334383;239127;;513;238614;40530;61278;34762;42004;18594;14069;5565;8632;7879;958;1848;506;301;165;233;1029;55;;109;74;23;;;
's-Hertogenbosch;G0796;10054;Noord-Brabant;P30;103159;81589;;189;81400;19256;17074;17727;12356;5554;4333;1091;1752;1377;54;451;159;123;;32;;22;;15;18;6;;;
Simpelveld;G0965;10515;Limburg;P31;8601;6998;;9;6989;2091;1711;1265;588;936;145;60;48;85;2;19;14;12;5;2;;3;;;3;;;;
Sint Anthonis;G1702;11415;Noord-Brabant;P30;8759;7568;;14;7554;3920;875;1308;749;270;213;62;45;58;7;13;19;13;;0;;0;;0;2;0;;;
Sint-Michielsgestel;G0845;10496;Noord-Brabant;P30;21261;17192;;16;17176;6282;3071;3213;2433;866;528;170;218;226;3;77;30;34;;11;;1;;8;4;1;;;
Sint-Oedenrode;G0846;10399;Noord-Brabant;P30;12898;10758;;6;10752;4593;1624;2019;1370;449;306;104;91;77;6;43;19;18;;8;;3;;2;17;3;;;
Sittard-Geleen;G1883;11230;Limburg;P31;74591;57927;;96;57831;14828;13338;12241;5554;6474;2330;696;495;917;37;175;113;513;61;28;;19;;;12;;;;
Skarsterlân;G0051;10022;Fryslân;P21;20362;17172;;18;17154;5903;4395;2508;1967;555;552;766;163;187;33;49;33;12;11;7;;2;8;;3;;;;
Sliedrecht;G0610;11331;Zuid-Holland;P28;17916;14868;;14;14854;3481;2772;1999;1496;861;237;1696;138;163;1864;85;29;17;7;6;1;1;;0;1;0;;;
Slochteren;G0040;10747;Groningen;P20;11523;9592;;11;9581;1783;2793;1450;1301;442;379;1031;122;141;70;29;18;4;5;7;;2;;3;1;;;;
Sluis;G1714;10895;Zeeland;P29;18160;13886;;13;13873;4040;2985;2250;2423;805;392;329;128;263;107;78;28;23;;17;;2;;;3;;;;
Smallingerland;G0090;10405;Fryslân;P21;41658;35116;;32;35084;8792;10656;5928;3009;906;1115;3551;320;362;215;92;51;17;22;13;;4;26;;5;;;;
Sneek;G0091;11421;Fryslân;P21;25138;20475;;25;20450;5232;5614;3899;2485;743;811;913;284;280;19;86;35;16;9;10;;2;10;;2;;;;
Soest;G0342;11021;Utrecht;P26;33885;28415;;37;28378;8351;4076;3333;6317;1681;1210;1327;826;655;261;171;54;47;18;10;22;5;;5;9;0;;;
Someren;G0847;10203;Noord-Brabant;P30;13554;10949;;16;10933;5263;1311;1681;1341;747;203;108;72;108;14;34;26;10;;5;;2;;3;3;2;;;
Son en Breugel;G0848;10549;Noord-Brabant;P30;11439;9541;;10;9531;3539;1258;1423;1889;477;316;153;180;167;17;76;10;13;;4;;0;;2;7;0;;;
Spijkenisse;G0612;10735;Zuid-Holland;P28;56662;43530;;84;43446;7646;10030;9014;6098;5375;1075;1249;502;917;244;882;249;67;25;27;11;11;;13;7;4;;;
Stadskanaal;G0037;10610;Groningen;P20;26432;20637;;13;20624;5162;6759;3427;1627;663;416;2002;102;246;87;55;28;15;19;10;;3;;2;1;;;;
Staphorst;G0180;11362;Overijssel;P23;10914;9985;;5;9980;3037;719;406;701;251;103;1804;28;53;2823;16;12;4;6;9;;1;4;0;;3;;;
Stede Broec;G0532;11337;Noord-Holland;P27;15968;13001;;20;12981;4212;2221;2360;2017;886;455;235;128;253;28;79;32;37;9;7;;7;6;2;6;1;;;
Steenbergen;G0851;10731;Noord-Brabant;P30;18123;14046;;12;14034;4106;2957;2468;2123;1151;273;289;95;230;160;104;39;12;12;;1;5;5;2;1;1;;;
Steenwijkerland;G1708;10546;Overijssel;P23;32924;27583;;35;27548;8697;6421;3806;3684;965;858;2026;346;345;137;106;58;21;15;33;;4;23;0;;3;;;
Stein;G0971;11319;Limburg;P31;20996;16671;;32;16639;4408;3500;3575;1541;2450;455;166;107;247;11;40;31;67;21;9;;0;;;11;;;;
Strijen;G0617;10558;Zuid-Holland;P28;7003;5849;;9;5840;1696;997;802;970;420;155;338;53;117;173;84;11;12;5;3;1;1;;1;1;0;;;
Swalmen;G0975;10474;Limburg;P31;6837;5165;;15;5150;1405;901;1078;566;811;147;45;62;76;3;16;16;11;5;7;;1;;;0;;;;
Ten Boer;G0009;10891;Groningen;P20;5361;4693;;4;4689;1116;1176;766;413;141;225;664;45;67;53;8;6;3;0;1;;1;;3;1;;;;
Ter Aar;G0480;11104;Zuid-Holland;P28;6736;5660;;10;5650;2686;584;555;986;303;162;146;64;65;55;26;12;;1;2;0;2;;1;0;0;;;
Terneuzen;G0715;10704;Zeeland;P29;40913;31393;;26;31367;8440;6480;5442;3786;2145;739;1956;441;501;1088;170;97;57;;13;;10;;;2;;;;
Terschelling;G0093;11210;Fryslân;P21;3817;3335;;7;3328;829;726;556;723;116;176;66;42;61;2;11;5;9;1;4;;0;1;;0;;;;
Texel;G0448;10237;Noord-Holland;P27;10269;8973;;13;8960;2643;1645;1466;1689;289;556;212;150;189;43;31;22;4;4;7;;2;6;0;1;1;;;
Teylingen;G1525;10017;Zuid-Holland;P28;25514;21991;;36;21955;7949;2909;2777;4898;1017;796;533;417;405;61;137;26;;9;5;4;6;;4;1;1;;;
Tholen;G0716;10376;Zeeland;P29;18288;15292;;32;15260;3972;2407;1732;1477;832;179;1012;75;224;3211;82;34;12;;6;;3;;;2;;;;
Thorn;G0977;11195;Limburg;P31;2047;1716;;6;1710;574;321;261;231;203;45;25;11;23;0;2;5;2;2;4;;0;;;1;;;;
Tiel;G0281;10027;Gelderland;P25;29631;22388;;26;22362;5114;5865;3542;3700;1426;806;599;527;401;145;141;31;16;12;16;;7;;8;4;2;;;
Tilburg;G0855;10792;Noord-Brabant;P30;152505;111294;;199;111095;27682;23892;25360;14438;6272;5681;1260;2578;1646;56;1390;227;304;56;;102;14;82;20;15;20;;;
Tubbergen;G0183;10694;Overijssel;P23;15004;13009;;5;13004;8660;1184;1023;1155;473;178;121;68;64;15;35;13;2;3;4;;0;5;1;;0;;;
Twenterand;G1700;10643;Overijssel;P23;25092;20707;;28;20679;8818;3838;2295;1301;825;293;2370;77;157;593;39;38;9;3;5;;2;11;4;;1;;;
Tynaarlo;G1730;10002;Drenthe;P22;24372;21088;;17;21071;3709;6003;2966;4297;731;1352;1000;456;371;33;88;39;;;15;;2;;6;3;;;;
Tytsjerksteradiel;G0737;11241;Fryslân;P21;24416;20567;;19;20548;7071;4989;3057;1946;559;772;1539;159;219;110;59;30;6;8;11;;0;7;;6;;;;
Ubbergen;G0282;10408;Gelderland;P25;7282;6288;;10;6278;1928;1385;1152;791;232;429;75;103;119;2;26;13;10;9;4;;0;;0;0;0;;;
Uden;G0856;11141;Noord-Brabant;P30;30319;24436;;59;24377;8268;3514;5601;3988;1366;595;209;322;315;13;88;45;37;;3;;0;;5;7;1;;;
Uitgeest;G0450;11238;Noord-Holland;P27;8860;7437;;7;7430;2096;1432;1210;1409;410;392;100;124;137;6;53;11;17;12;7;;2;5;3;3;1;;;
Uithoorn;G0451;11206;Noord-Holland;P27;19761;16526;;28;16498;5049;2815;1821;3856;891;653;393;322;436;13;137;36;36;9;7;;2;8;3;7;3;;;1
Urk;G0184;10783;Flevoland;P24;10916;9669;;0;9669;3636;91;98;119;245;7;2118;6;9;3318;6;1;2;4;4;;0;3;0;2;0;;;
Utrecht;G0344;10722;Utrecht;P26;214939;168676;;327;168349;28605;41795;27294;24072;7682;20468;4877;8052;3399;444;770;195;166;103;61;171;22;;132;35;6;;;
Utrechtse Heuvelrug;G1581;10777;Utrecht;P26;37094;32005;;35;31970;9254;4926;3427;6640;1333;1860;1588;839;702;1095;167;51;23;17;16;5;1;;15;7;4;;;
Vaals;G0981;10007;Limburg;P31;6039;4515;;8;4507;1167;1132;918;427;439;166;49;39;95;5;12;21;14;9;13;;1;;;0;;;;
Valkenburg aan de Geul;G0994;11077;Limburg;P31;13673;11307;;8;11299;3493;1763;2586;1414;1105;375;152;118;205;4;23;16;23;6;7;;6;;;3;;;;
Valkenswaard;G0858;11031;Noord-Brabant;P30;24095;19222;;30;19192;6270;3297;4050;3035;1165;493;243;190;251;12;69;50;29;;9;;18;;5;6;0;;;
Veendam;G0047;11292;Groningen;P20;22019;17514;;23;17491;2506;6852;3699;1981;638;524;687;218;243;33;66;17;7;9;8;;2;;1;0;;;;
Veenendaal;G0345;11052;Utrecht;P26;44546;37897;;45;37852;12236;5576;3615;4477;1964;830;5127;368;358;3007;138;57;18;18;18;31;4;;3;4;3;;;
Veere;G0717;10369;Zeeland;P29;16641;14582;;22;14560;5004;1812;1390;2135;575;444;926;142;290;1724;71;20;15;;6;;6;;;0;;;;
Veghel;G0860;10985;Noord-Brabant;P30;27167;22244;;17;22227;9085;3109;4421;2993;1083;509;203;414;207;16;70;49;34;;16;;6;;6;1;5;;;
Veldhoven;G0861;10071;Noord-Brabant;P30;32881;26312;;32;26280;8651;4218;5547;4035;1655;769;439;316;342;18;132;79;38;;12;;13;;12;3;1;;;
Velsen;G0453;10620;Noord-Holland;P27;50678;40610;;57;40553;9241;8643;7185;7022;2979;1725;1305;837;970;52;247;81;80;66;30;;11;35;14;17;1;;;12
Venlo;G0983;10477;Limburg;P31;68437;51505;;88;51417;13154;9381;9482;5989;9179;1763;555;799;707;35;142;63;64;53;31;;9;;;11;;;;
Venray;G0984;11222;Limburg;P31;28922;22862;;42;22820;8523;3941;4418;2572;1767;612;214;344;230;20;79;47;27;13;5;;6;;;2;;;;
Vianen;G0620;10887;Utrecht;P26;14775;11951;;12;11939;3619;2294;1846;1861;741;372;455;158;196;284;46;27;14;7;3;9;1;;4;1;1;;;
Vlaardingen;G0622;10811;Zuid-Holland;P28;54868;43204;;60;43144;9027;9811;8356;5401;4039;1502;1613;884;824;670;638;123;77;38;24;89;5;;13;7;3;;;
Vlagtwedde;G0048;11249;Groningen;P20;12976;10276;;19;10257;2387;3371;1855;1061;507;288;416;74;194;23;39;13;11;7;4;;2;;2;3;;;;
Vlieland;G0096;10211;Fryslân;P21;845;769;;3;766;148;188;116;193;24;38;15;20;17;1;0;1;4;0;0;;0;1;;0;;;;
Vlissingen;G0718;10270;Zeeland;P29;34363;26049;;34;26015;5861;5800;5369;3359;1970;846;1013;302;746;426;152;76;56;;22;;11;;;6;;;;
Vlist;G0623;11174;Zuid-Holland;P28;7380;6549;;15;6534;2224;907;672;1121;346;161;353;64;84;540;49;10;;1;1;0;0;;1;0;0;;;
Voerendaal;G0986;11341;Limburg;P31;10190;8607;;8;8599;2867;1688;1500;971;849;293;120;90;145;5;23;12;20;9;4;;2;;;1;;;;
Voorschoten;G0626;10537;Zuid-Holland;P28;16609;14337;;24;14313;4340;2233;1571;3285;651;847;402;417;367;55;94;22;;4;5;11;2;;5;1;1;;;
Voorst;G0285;10912;Gelderland;P25;18068;15140;;19;15121;5600;3085;1952;2321;634;475;299;233;194;213;42;27;18;8;9;1;0;5;3;2;;;;
Vught;G0865;11224;Noord-Brabant;P30;18997;15523;;18;15505;4586;2817;2847;2921;674;787;187;302;232;8;83;21;15;;13;;6;;2;4;0;;;
Waalre;G0866;10959;Noord-Brabant;P30;12275;10544;;10;10534;3607;1524;1585;2173;520;431;167;219;171;12;60;18;33;;5;;0;;9;0;0;;;
Waalwijk;G0867;11359;Noord-Brabant;P30;35200;27562;;48;27514;9027;4620;4949;3928;1770;663;916;451;343;492;200;55;43;21;;13;4;14;2;1;2;;;
Waddinxveen;G0627;10081;Zuid-Holland;P28;19481;16335;;38;16297;5006;2551;1681;2505;965;458;1473;271;198;999;118;41;;10;6;3;8;;2;2;0;;;
Wageningen;G0289;11010;Gelderland;P25;25055;21007;;42;20965;4121;5244;3496;2246;521;2481;1116;1046;337;225;74;13;8;6;3;1;2;12;9;4;;;;
Wassenaar;G0629;10164;Zuid-Holland;P28;17448;14899;;21;14878;4832;1506;1094;5076;777;442;251;300;401;36;107;30;;9;5;1;3;;7;1;0;;;
Waterland;G0852;10983;Noord-Holland;P27;13193;11613;;14;11599;3257;2151;1444;2428;709;664;240;238;318;20;55;23;23;6;6;;3;10;2;1;1;;;
Weert;G0988;11081;Limburg;P31;36941;29219;;45;29174;8486;5296;5750;4532;3036;776;366;289;357;15;120;54;53;23;8;;6;;;7;;;;
Weesp;G0457;10773;Noord-Holland;P27;13425;10957;;15;10942;2523;2445;1907;1926;552;654;220;249;288;34;63;17;26;13;4;;4;12;1;1;1;;;2
Werkendam;G0870;10078;Noord-Brabant;P30;20022;16639;;17;16622;6357;2267;1752;1937;839;296;1112;76;200;1663;68;19;11;14;;1;7;1;0;0;2;;;
Wervershoof;G0459;11270;Noord-Holland;P27;6286;5213;;5;5208;2293;629;689;906;277;156;60;37;83;5;33;13;14;6;1;;2;1;2;1;0;;;
West Maas en Waal;G0668;10042;Gelderland;P25;14103;11880;;8;11872;4409;1970;2197;1816;598;293;84;98;160;13;175;24;15;9;6;;1;;1;3;0;;;
Wester-Koggenland;G0558;10354;Noord-Holland;P27;10625;8935;;17;8918;3660;1131;1121;1696;489;355;86;108;149;11;55;17;10;10;8;;0;4;4;3;1;;;
Westerveld;G1701;10186;Drenthe;P22;15174;13076;;11;13065;2911;3865;1735;2613;405;580;335;210;266;30;54;32;;;18;;3;;4;4;;;;
Westervoort;G0293;11085;Gelderland;P25;11729;9525;;13;9512;2342;2288;2093;1139;637;414;216;120;158;12;37;18;11;1;7;8;2;6;1;2;;;;
Westland;G1783;11418;Zuid-Holland;P28;73378;61952;;72;61880;27343;6041;4963;11475;4802;1257;2245;522;813;850;556;839;55;42;38;12;10;;5;11;1;;;
Weststellingwerf;G0098;11322;Fryslân;P21;19846;16059;;24;16035;4085;4858;2681;2170;684;556;442;126;263;27;52;29;16;18;8;;5;10;;5;;;;
Westvoorne;G0614;10009;Zuid-Holland;P28;11096;9470;;12;9458;2438;1453;1103;2649;791;243;164;133;240;42;130;41;12;10;3;0;2;;3;0;1;;;
Wierden;G0189;10676;Overijssel;P23;17592;15470;;6;15464;7780;1732;1346;1724;586;257;1407;107;101;329;36;28;8;5;9;;1;6;0;;2;;;
Wieringen;G0462;11277;Noord-Holland;P27;6814;5320;;7;5313;1029;1200;1024;1153;373;160;98;51;119;4;30;16;39;9;2;;0;3;0;3;0;;;
Wieringermeer;G0463;10239;Noord-Holland;P27;9524;7823;;10;7813;2539;1259;1310;1390;477;201;308;100;115;43;29;17;9;3;0;;3;4;2;3;1;;;
Wijchen;G0296;10723;Gelderland;P25;29664;24409;;35;24374;7969;4832;5118;3283;1229;791;299;319;311;13;110;34;17;13;12;;9;;9;4;2;;;
Wijdemeren;G1696;10534;Noord-Holland;P27;18022;15520;;24;15496;4908;2238;1766;3826;755;651;436;278;380;83;91;34;21;12;3;;2;3;5;2;0;;;2
Wijk bij Duurstede;G0352;10760;Utrecht;P26;17354;14794;;20;14774;4457;2652;2254;2447;839;647;528;251;282;277;80;27;7;8;3;6;0;;5;4;0;;;
Winschoten;G0052;10453;Groningen;P20;14656;11519;;17;11502;1555;4659;2393;1160;412;467;489;73;188;18;26;27;8;11;8;;5;;2;1;;;;
Winsum;G0053;11135;Groningen;P20;10501;9146;;16;9130;2286;2419;1548;856;220;591;885;107;126;44;19;13;4;3;5;;2;;1;1;;;;
Winterswijk;G0294;11119;Gelderland;P25;21941;17775;;18;17757;4392;4958;3348;2966;563;554;413;217;200;12;56;22;18;7;18;2;5;3;0;3;;;;
Woensdrecht;G0873;10602;Noord-Brabant;P30;16132;12335;;12;12323;3807;2274;2227;1994;1005;268;155;163;230;20;86;40;31;9;;0;1;9;1;1;2;;;
Woerden;G0632;10974;Utrecht;P26;35425;30325;;35;30290;10697;4480;3269;4940;1449;1163;2122;515;504;819;186;55;31;22;10;9;4;;5;6;4;;;
Wognum;G0466;10818;Noord-Holland;P27;6070;5178;;3;5175;2306;570;664;859;270;181;86;74;100;1;27;16;7;5;1;;4;0;3;0;1;;;
Wormerland;G0880;10648;Noord-Holland;P27;11933;10052;;13;10039;2306;2049;2029;1777;562;554;246;161;237;15;38;10;27;7;7;;0;8;2;3;1;;;
Woudenberg;G0351;11398;Utrecht;P26;8231;7179;;11;7168;2529;768;521;989;287;175;759;76;74;938;30;15;3;1;0;0;0;;0;3;0;;;
Woudrichem;G0874;10282;Noord-Brabant;P30;10864;9234;;7;9227;3662;1183;1043;1062;440;171;1119;77;121;284;37;14;5;2;;0;4;2;0;1;0;;;
Wûnseradiel;G0710;10454;Fryslân;P21;8838;7475;;3;7472;2811;1549;1127;832;300;271;347;67;98;9;29;13;10;2;5;;1;1;;0;;;;
Wymbritseradiel;G0683;11427;Fryslân;P21;11953;10294;;13;10281;4490;1755;1382;1137;300;360;544;116;97;19;32;24;8;7;8;;1;1;;0;;;;
Zaanstad;G0479;11044;Noord-Holland;P27;104814;83121;;177;82944;14240;20233;18205;12393;6016;4495;1989;1818;2097;208;552;219;188;85;53;;43;68;17;19;6;;;
Zaltbommel;G0297;10557;Gelderland;P25;19027;16071;;12;16059;4302;2960;1793;2101;764;544;1194;185;178;1911;69;26;7;7;10;;2;;1;2;3;;;
Zandvoort;G0473;10910;Noord-Holland;P27;13118;10165;;11;10154;2111;1707;1465;3042;649;343;129;152;367;7;82;16;48;13;7;;6;7;1;2;0;;;0
Zederik;G0707;10618;Zuid-Holland;P28;9984;8972;;8;8964;3521;1150;653;1065;347;139;918;51;96;950;35;15;8;7;6;0;1;;0;2;0;;;
Zeevang;G0478;11121;Noord-Holland;P27;4720;4050;;17;4033;886;773;533;1062;271;210;53;66;129;4;13;13;12;3;2;;0;2;0;1;0;;;
Zeewolde;G0050;10012;Flevoland;P24;13298;11252;;10;11242;3394;1409;1184;2517;558;367;1247;143;230;77;50;35;14;3;0;;2;6;5;1;0;;;
Zeist;G0355;10324;Utrecht;P26;45271;37312;;59;37253;9014;7057;4837;7279;1857;2476;1751;1080;842;677;202;60;39;27;16;9;3;;15;12;0;;;
Zevenaar;G0299;10938;Gelderland;P25;24736;20154;;15;20139;6632;4342;3855;2519;948;645;324;325;307;18;92;45;18;10;9;6;6;4;1;33;;;;
Zevenhuizen-Moerkapelle;G1666;11377;Zuid-Holland;P28;7619;6570;;6;6564;1963;954;494;1164;373;126;461;59;113;775;55;13;;5;5;1;1;;0;2;0;;;
Zijpe;G0476;10004;Noord-Holland;P27;8782;7408;;9;7399;2064;1383;1170;1599;417;290;115;86;162;13;48;21;9;3;4;;9;6;0;0;0;;;
Zoetermeer;G0637;10766;Zuid-Holland;P28;88587;71558;;143;71415;16223;15209;11814;12707;5182;2871;2672;1389;1603;584;648;180;;28;201;33;19;;21;23;8;;;
Zoeterwoude;G0638;11074;Zuid-Holland;P28;6307;5275;;8;5267;2013;753;655;876;296;271;118;89;107;38;32;10;;3;1;0;2;;1;2;0;;;
Zuidhorn;G0056;10021;Groningen;P20;13457;12111;;24;12087;3372;2461;1633;1146;282;613;2087;149;154;121;27;18;13;4;2;;3;;1;1;;;;
Zundert;G0879;11192;Noord-Brabant;P30;15483;11553;;8;11545;4596;1768;1859;1842;740;249;110;112;137;4;59;32;13;9;;3;6;3;1;1;1;;;
Zutphen;G0301;10254;Gelderland;P25;35186;29285;;42;29243;5228;7909;6725;3438;1053;2020;1084;827;630;43;87;55;28;10;11;52;15;16;7;5;;;;
Zwartewaterland;G1896;10746;Overijssel;P23;15454;13422;;13;13409;4326;1756;1064;990;376;157;2439;50;74;2123;18;13;8;4;6;;0;4;1;;0;;;
Zwijndrecht;G0642;10468;Zuid-Holland;P28;34054;27763;;35;27728;7257;5315;4409;3861;2056;701;1861;380;471;901;346;65;59;17;14;5;2;;5;1;2;;;
Zwolle;G0193;10093;Overijssel;P23;87301;71816;;90;71726;16063;17250;12429;8356;2464;4170;7588;1412;1092;369;267;102;61;20;29;;5;32;14;;3;;;
