RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);VVD;Anti-Revolutionaire Partij;Politieke Partij Radikalen (PPR);Christelijk-Historische Unie;Communistische Partij van Nederland;Democraten 66 (D66);Democratisch Socialisten '70;Staatkundig Gereformeerde Partij (SGP);Boeren Partij;Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Rooms Katholieke Partij Nederland (RKPN);Democratische Middenpartij;Nederlandse Middenstands Partij;Lijst ir. W. Stam;Partij van het Recht;Anti-Woningnood Aktie;Nieuwe Roomse Partij
Mheer;G0942;10538;Limburg;P31;929;740;1;10;729;94;465;59;8;13;1;5;16;12;;33;2;7;6;2;6;;;;
Middelburg;G0687;10122;Zeeland;P29;22047;18799;57;29;18713;5273;799;2558;2934;1108;1665;250;654;839;1511;161;578;202;20;91;70;;;;
Middelharnis;G0559;11067;Zuid-Holland;P28;9130;7879;37;88;7754;2515;108;903;1336;98;258;62;181;127;1716;201;120;27;10;48;44;;;;
Middelstum;G0027;11199;Groningen;P20;1759;1605;1;1;1603;350;11;131;670;37;102;40;31;23;9;11;152;26;4;5;1;;;;
Middenschouwen;G0688;10837;Zeeland;P29;1449;1193;0;3;1190;264;9;144;334;14;135;6;28;26;120;26;52;11;4;6;11;;;;
Midwolda;G0028;10356;Groningen;P20;2712;2373;9;7;2357;735;20;125;545;16;470;212;31;24;14;12;113;12;6;7;15;;;;
Midwoud;G0422;10924;Noord-Holland;P27;1045;867;4;0;863;346;59;218;21;30;7;30;48;42;5;17;5;22;1;7;4;1;;;
Mierlo;G0814;10215;Noord-Brabant;P30;4422;3831;21;16;3794;569;1774;546;111;145;13;128;138;102;4;111;6;46;74;10;17;;;;
Mijdrecht;G0336;11379;Utrecht;P26;6351;5533;36;24;5473;773;1372;902;724;193;406;76;249;257;125;116;133;42;64;23;18;;;;
Mijnsheerenland;G0564;11112;Zuid-Holland;P28;1733;1532;14;0;1518;400;10;300;319;36;193;8;38;61;81;18;25;9;2;8;10;;;;
Mill en Sint Hubert;G0815;10535;Noord-Brabant;P30;5939;4991;23;18;4950;799;2734;444;96;244;14;41;128;72;;222;8;37;64;14;33;;;;
Millingen aan de Rijn;G0265;10072;Gelderland;P25;3131;2451;10;17;2424;932;838;177;69;116;7;43;86;13;;62;2;16;27;8;28;;;;
Moergestel;G0816;11191;Noord-Brabant;P30;3088;2629;17;7;2605;331;1296;460;54;71;7;51;60;61;1;111;3;28;38;15;18;;;;
Moerkapelle;G0560;11383;Zuid-Holland;P28;1537;1378;14;0;1364;294;37;202;209;29;81;8;40;53;365;14;23;5;1;2;1;;;;
Molenaarsgraaf;G0561;10166;Zuid-Holland;P28;581;513;8;0;505;88;4;62;122;15;53;2;23;5;112;5;7;4;;1;2;;;;
Monnickendam;G0423;10983;Noord-Holland;P27;4516;3959;17;10;3932;1048;467;647;291;213;303;290;226;245;5;64;37;54;19;;23;;;;
Monster;G0562;10019;Zuid-Holland;P28;11851;9919;27;61;9831;1390;2801;1627;1077;324;561;96;284;367;609;124;252;74;161;51;33;;;;
Montfoort;G0335;10033;Utrecht;P26;1513;1358;2;8;1348;149;585;155;82;71;55;5;30;31;80;37;9;9;39;2;9;;;;
Montfort;G0943;10266;Limburg;P31;1839;1433;10;33;1390;199;800;132;29;27;3;19;29;8;1;87;3;14;8;8;23;;;;
Mook en Middelaar;G0944;10271;Limburg;P31;3352;2879;10;14;2855;402;1072;580;78;207;13;32;142;110;;79;7;39;34;13;47;;;;
Moordrecht;G0563;10120;Zuid-Holland;P28;3529;2993;28;0;2965;883;192;496;449;101;101;46;168;97;273;41;50;36;2;14;14;;2;;
Muiden;G0424;10958;Noord-Holland;P27;3850;3435;13;18;3404;835;414;594;321;182;347;97;207;169;45;57;36;52;20;11;10;7;;;
Munstergeleen;G0945;10273;Limburg;P31;2869;2367;1;33;2333;424;1109;272;66;107;9;52;111;46;1;54;3;17;35;6;21;;;;
Muntendam;G0029;10550;Groningen;P20;2736;2331;5;10;2316;1320;26;181;111;15;116;317;48;60;5;34;26;15;2;20;20;;;;
Naaldwijk;G0565;11418;Zuid-Holland;P28;14560;12709;44;46;12619;1894;2805;2492;2244;450;1129;55;342;418;167;128;199;54;169;36;37;;;;
Naarden;G0425;10187;Noord-Holland;P27;11786;10381;28;28;10325;1858;1052;3364;788;538;298;204;506;968;130;114;165;173;75;56;27;9;;;
Nederhorst den Berg;G0426;10715;Noord-Holland;P27;3079;2669;11;12;2646;514;452;477;326;149;205;102;125;115;17;39;45;32;15;14;14;5;;;
Nederweert;G0946;10681;Limburg;P31;7815;6350;43;47;6260;756;3934;579;98;167;9;30;135;88;5;263;13;39;70;26;48;;;;
Neede;G0266;10367;Gelderland;P25;6772;6003;26;16;5961;2275;1190;762;392;184;339;81;201;173;4;135;67;37;22;75;24;;;;
Neer;G0947;10682;Limburg;P31;2010;1466;4;5;1457;167;943;150;23;45;2;5;24;14;;30;1;19;18;3;13;;;;
Nibbixwoud;G0427;10091;Noord-Holland;P27;1500;1296;14;2;1280;216;609;170;28;55;7;23;48;28;;20;6;15;40;8;3;4;;;
Niedorp;G0412;10923;Noord-Holland;P27;4478;3857;13;12;3832;1268;978;581;101;104;27;189;176;135;6;62;14;109;29;20;29;4;;;
Nieuw-Beijerland;G0566;10092;Zuid-Holland;P28;1908;1691;5;11;1675;515;37;250;163;52;50;24;75;62;366;11;34;11;2;8;15;;;;
Nieuwe Pekela;G0030;10950;Groningen;P20;3543;2987;19;4;2964;940;152;275;500;56;239;443;45;73;21;74;69;32;15;13;17;;;;
Nieuwegein;G0356;10374;Utrecht;P26;9684;8213;30;20;8163;1760;1922;1180;689;539;473;122;390;442;201;84;87;115;62;65;32;;;;
Nieuwenhagen;G0948;10088;Limburg;P31;6129;4743;35;39;4669;1375;1472;476;70;219;23;307;311;103;1;110;11;62;44;46;39;;;;
Nieuwerkerk aan den IJssel;G0567;10855;Zuid-Holland;P28;6966;5970;22;24;5924;1615;325;1232;618;235;486;86;270;201;485;92;128;79;14;24;31;;3;;
Nieuweschans;G0031;10008;Groningen;P20;1336;1214;6;2;1206;551;9;101;33;10;33;397;10;23;3;5;7;7;3;4;10;;;;
Nieuw-Ginneken;G0817;10406;Noord-Brabant;P30;5819;5141;30;17;5094;740;2320;1005;133;184;31;41;160;118;1;204;8;49;55;16;29;;;;
Nieuwkoop;G0569;10728;Zuid-Holland;P28;5268;4604;34;3;4567;716;1212;935;372;211;288;58;187;212;129;66;47;52;38;18;23;;3;;
Nieuwland;G0570;11213;Zuid-Holland;P28;464;414;0;3;411;84;1;50;124;4;24;1;6;8;86;12;8;1;;2;;;;;
Nieuw-Lekkerland;G0571;10547;Zuid-Holland;P28;4443;3867;38;2;3827;1187;34;314;474;105;222;73;157;85;964;43;125;33;;3;8;;;;
Nieuwleusen;G0170;10384;Overijssel;P23;4187;3615;12;10;3593;677;18;399;604;81;931;16;57;81;150;328;186;10;3;35;17;;;;
Nieuwolda;G0032;10126;Groningen;P20;1150;986;7;3;976;449;11;135;150;8;91;60;12;25;1;5;9;2;1;10;7;;;;
Nieuwpoort;G0572;10748;Zuid-Holland;P28;740;667;1;7;659;168;4;80;149;15;52;4;11;24;118;18;12;2;;2;;;;;
Nieuwstadt;G0949;11140;Limburg;P31;1721;1402;13;8;1381;337;634;136;19;41;3;28;74;27;2;39;1;18;8;2;12;;;;
Nieuwveen;G0573;10487;Zuid-Holland;P28;1878;1376;18;0;1358;150;463;247;125;64;103;11;29;44;46;15;18;14;24;;4;;1;;
Nieuw-Vossemeer;G0818;10401;Noord-Brabant;P30;1287;1046;9;3;1034;250;433;98;21;49;13;16;60;18;2;28;2;10;12;8;14;;;;
Nigtevecht;G0337;10160;Utrecht;P26;802;679;1;7;671;179;26;113;90;38;110;15;33;32;6;9;5;5;;8;2;;;;
Nijeveen;G0121;10774;Drenthe;P22;1513;1367;0;3;1364;347;13;209;370;32;212;5;45;32;3;46;25;3;;8;14;;;;
Nijkerk;G0267;10446;Gelderland;P25;12394;10886;41;13;10832;2363;562;1135;2148;291;1813;57;243;393;1025;318;375;41;35;21;12;;;;
Nijmegen;G0268;11209;Gelderland;P25;102098;81569;231;127;81211;21888;21069;10341;2367;9513;1012;2982;3226;2150;101;1497;372;2794;1028;412;459;;;;
Nistelrode;G0819;10094;Noord-Brabant;P30;3400;2887;16;5;2866;504;1544;201;83;111;5;18;81;40;2;159;2;23;68;8;17;;;;
Noorbeek;G0950;10283;Limburg;P31;670;551;2;2;547;65;314;56;18;21;1;2;17;10;;6;;9;23;1;4;;;;
Noordeloos;G0574;10296;Zuid-Holland;P28;884;802;0;7;795;131;2;116;275;10;45;4;5;13;146;13;28;3;;1;3;;;;
Noordoostpolder;G0171;10144;Overijssel;P23;19394;17130;33;16;17081;3383;2442;2489;3356;729;1513;193;467;668;397;222;746;158;97;165;56;;;;
Noordwijk;G0575;10769;Zuid-Holland;P28;15046;11844;47;54;11743;1873;2335;2352;1114;1200;583;256;393;617;143;201;161;177;238;67;26;;7;;
Noordwijkerhout;G0576;11134;Zuid-Holland;P28;8525;7191;41;28;7122;709;2818;1610;209;343;185;85;300;335;10;138;16;95;211;34;22;;2;;
Nootdorp;G0577;10601;Zuid-Holland;P28;3185;2756;16;9;2731;299;1069;537;156;113;155;30;81;114;14;47;27;24;49;5;10;;1;;
Norg;G0120;10608;Drenthe;P22;3802;3220;4;5;3211;1121;53;785;381;72;157;47;142;157;15;137;45;30;2;45;22;;;;
Nuenen, Gerwen en Nederwetten;G0820;10761;Noord-Brabant;P30;7495;6495;19;4;6472;1006;2591;1093;254;281;58;98;359;264;4;161;28;128;85;12;50;;;;
Nuland;G0821;10118;Noord-Brabant;P30;2100;1816;11;6;1799;220;1066;115;56;52;1;15;57;27;1;72;3;27;66;2;19;;;;
Numansdorp;G0578;11346;Zuid-Holland;P28;3952;3450;19;14;3417;1498;30;384;574;66;274;36;100;60;279;44;38;3;2;16;13;;;;
Nunspeet;G0302;10512;Gelderland;P25;12525;11369;18;18;11333;1441;291;1652;1615;340;1725;93;232;467;2482;507;351;67;9;34;27;;;;
Nuth;G0951;10104;Limburg;P31;4990;4061;20;23;4018;926;1443;449;83;200;19;114;193;88;4;93;6;39;318;12;31;;;;
Obbicht en Papenhoven;G0952;10388;Limburg;P31;1439;1145;2;13;1130;248;528;87;36;29;4;26;53;15;;40;;20;15;18;11;;;;
Obdam;G0429;11338;Noord-Holland;P27;1857;1624;5;6;1613;132;950;184;29;69;6;7;43;44;;34;2;17;82;4;8;2;;;
Odoorn;G0122;11320;Drenthe;P22;8254;6945;36;29;6880;3125;260;1091;556;100;509;359;165;199;9;154;176;58;8;39;72;;;;
Oeffelt;G0822;10360;Noord-Brabant;P30;1242;1040;4;8;1028;160;582;97;27;23;2;14;35;10;;46;1;10;7;4;10;;;;
Oegstgeest;G0579;10287;Zuid-Holland;P28;10675;9299;48;20;9231;1219;1024;2901;907;626;511;112;459;851;51;47;186;163;108;37;20;;9;;
Ohé en Laak;G0953;10420;Limburg;P31;484;414;3;5;406;36;270;32;7;6;;4;11;4;;18;2;4;7;1;4;;;;
Oirsbeek;G0954;10504;Limburg;P31;2717;2298;12;10;2276;419;1068;245;41;130;3;51;92;52;;57;4;17;66;8;23;;;;
Oirschot;G0823;10225;Noord-Brabant;P30;6437;6142;14;16;6112;929;2914;700;181;264;23;86;212;142;7;234;27;112;243;17;21;;;;
Oisterwijk;G0824;10103;Noord-Brabant;P30;9507;7983;32;31;7920;1643;2626;1655;272;365;29;139;303;255;6;327;25;103;89;24;59;;;;
Oldebroek;G0269;11106;Gelderland;P25;10647;10301;45;17;10239;2452;240;959;1722;317;1097;105;258;216;1633;223;824;126;10;26;31;;;;
Oldehove;G0035;10298;Groningen;P20;1370;1260;3;4;1253;278;18;190;445;25;53;13;7;23;1;12;174;10;;1;3;;;;
Oldekerk;G0036;11332;Groningen;P20;1347;1208;2;2;1204;203;13;173;518;11;74;7;25;13;11;24;102;4;;12;14;;;;
Oldemarkt;G0172;10858;Overijssel;P23;1820;1590;1;5;1584;368;212;135;125;39;532;11;16;32;1;34;50;6;3;12;8;;;;
Oldenzaal;G0173;11100;Overijssel;P23;15626;13429;51;16;13362;2006;6150;1586;378;797;269;266;444;368;10;510;81;90;276;81;50;;;;
Olst;G0174;10409;Overijssel;P23;5644;5047;16;5;5026;1701;1210;811;189;129;307;61;167;148;28;99;28;28;39;47;34;;;;
Ommen;G0175;11069;Overijssel;P23;9910;8960;6;13;8941;1199;793;983;2105;168;1955;28;129;257;82;322;780;31;31;47;31;;;;
Oost-, West- en Middelbeers;G0825;10220;Noord-Brabant;P30;2197;1812;8;6;1798;179;1215;180;22;48;6;11;24;17;5;49;1;11;23;1;6;;;;
Oostburg;G0692;10782;Zeeland;P29;12892;10650;29;41;10580;3376;1853;2416;699;431;562;102;239;212;149;158;76;82;56;79;90;;;;
Oostdongeradeel;G0084;11102;Fryslân;P21;4163;3809;26;3;3780;322;12;244;2174;34;728;19;28;40;40;30;92;6;;5;6;;;;
Oosterbroek;G0033;11282;Groningen;P20;3398;2756;8;16;2732;1250;51;402;172;22;77;308;60;77;;69;72;90;9;51;22;;;;
Oosterhesselen;G0123;10490;Drenthe;P22;2815;2501;2;15;2484;920;13;399;503;51;165;87;40;66;12;42;124;24;4;17;17;;;;
Oosterhout;G0826;11280;Noord-Brabant;P30;22058;18077;126;69;17882;4561;5871;2637;654;988;159;343;752;411;23;759;57;155;299;88;125;;;;
Oostflakkee;G0580;10714;Zuid-Holland;P28;5542;4710;37;10;4663;1519;784;369;600;80;237;31;84;61;657;88;68;14;15;36;20;;;;
Ooststellingwerf;G0085;10836;Fryslân;P21;13485;11625;48;67;11510;4486;213;1214;1872;231;954;683;268;365;74;341;293;336;13;93;74;;;;
Oostvoorne;G0581;10009;Zuid-Holland;P28;4533;3962;10;27;3925;1303;81;1157;443;89;154;95;174;197;39;65;18;52;2;20;36;;;;
Oostzaan;G0431;11303;Noord-Holland;P27;3817;3326;13;24;3289;1236;83;471;193;117;113;560;170;117;32;50;29;57;3;18;27;13;;;
Ootmarsum;G0176;11079;Overijssel;P23;2267;2048;3;1;2044;188;1197;228;43;65;50;4;37;64;1;53;8;7;71;15;13;;;;
Ophemert;G0270;10829;Gelderland;P25;991;834;1;1;832;336;22;114;68;17;110;6;13;22;25;71;14;7;;2;5;;;;
Oploo, Sint Anthonis en Ledeacker;G0827;11415;Noord-Brabant;P30;4071;3593;17;14;3562;318;2376;274;71;142;11;14;76;60;2;88;4;34;62;6;24;;;;
Opmeer;G0432;10609;Noord-Holland;P27;2626;2283;6;16;2261;406;1151;233;54;63;13;37;77;38;;36;6;34;94;11;4;4;;;
Opperdoes;G0433;10523;Noord-Holland;P27;968;855;1;16;838;115;3;77;346;30;80;12;9;19;64;16;48;8;;6;3;2;;;
Opsterland;G0086;10005;Fryslân;P21;15293;13223;57;47;13119;4803;128;1370;2236;350;664;954;476;495;98;300;690;340;21;106;88;;;;
Oss;G0828;10834;Noord-Brabant;P30;26573;20897;79;35;20783;4867;6881;2861;642;1287;101;422;1092;661;17;976;66;353;351;99;107;;;;
Ossendrecht;G0829;10929;Noord-Brabant;P30;3128;2326;9;9;2308;556;857;334;73;88;25;35;93;67;2;91;4;15;39;9;20;;;;
Ottersum;G0955;10862;Limburg;P31;3127;2314;9;12;2293;290;1259;207;47;140;6;25;86;48;2;84;2;45;14;1;37;;;;
Ottoland;G0582;10097;Zuid-Holland;P28;489;450;5;0;445;40;3;38;194;7;37;;6;2;79;10;22;3;;;4;;;;
Oud- en Nieuw-Gastel;G0831;11363;Noord-Brabant;P30;5152;3987;26;48;3913;834;1867;395;87;119;35;65;107;82;1;190;7;24;54;12;34;;;;
Oud-Alblas;G0583;10826;Zuid-Holland;P28;1124;970;2;13;955;159;15;72;240;24;99;9;25;16;247;15;29;3;;1;1;;;;
Oud-Beijerland;G0584;11301;Zuid-Holland;P28;7949;6869;22;40;6807;1941;214;1052;1235;225;306;87;257;222;892;42;230;44;12;19;29;;;;
Oude Pekela;G0038;10848;Groningen;P20;5583;4838;6;34;4798;2070;191;311;336;126;162;1231;66;59;18;46;66;15;13;44;44;;;;
Oudenbosch;G0830;10397;Noord-Brabant;P30;6047;4783;31;38;4714;1055;2021;528;136;190;52;64;114;110;3;200;3;53;111;34;40;;;;
Oudendijk;G0435;11090;Noord-Holland;P27;320;273;3;2;268;98;24;74;11;7;3;14;12;9;;8;1;2;1;;4;;;;
Oudenhoorn;G0586;10380;Zuid-Holland;P28;818;634;4;5;625;278;5;117;57;12;40;12;31;17;12;25;5;6;;4;4;;;;
Ouder-Amstel;G0437;10998;Noord-Holland;P27;5868;5126;19;14;5093;918;1013;1001;419;314;337;154;290;293;59;69;45;88;43;23;26;1;;;
Ouderkerk aan den IJssel;G0587;10095;Zuid-Holland;P28;3191;2742;29;7;2706;654;22;429;477;47;54;26;65;51;766;34;47;12;1;7;11;;3;;
Oudewater;G0589;10188;Utrecht;P26;3543;3085;7;28;3050;461;1097;371;376;95;174;29;82;93;106;35;65;24;17;13;12;;;;
Overasselt;G0271;10952;Gelderland;P25;1962;1707;1;15;1691;156;1058;144;65;86;9;13;17;24;1;55;4;17;32;4;6;;;;
Pannerden;G0272;10518;Gelderland;P25;1341;1083;10;1;1072;188;575;58;20;23;6;14;23;13;;97;1;9;38;3;4;;;;
Papendrecht;G0590;10427;Zuid-Holland;P28;13038;10821;73;25;10723;3490;455;1568;1576;501;447;283;764;409;744;84;195;119;17;40;31;;;;
Peize;G0124;10501;Drenthe;P22;2925;2410;8;16;2386;1036;37;522;86;66;45;114;104;135;1;133;17;38;4;25;23;;;;
Piershil;G0591;10179;Zuid-Holland;P28;754;645;2;7;636;239;4;79;64;14;53;7;25;15;107;6;5;3;;8;7;;;;
Pijnacker;G0594;10031;Zuid-Holland;P28;9312;8232;55;0;8177;1256;1655;1421;822;498;898;64;351;457;300;83;207;72;42;24;26;;1;;
Polsbroek;G0338;10993;Utrecht;P26;705;620;0;7;613;58;106;79;156;2;75;3;9;5;84;27;4;1;1;;3;;;;
Poortugal;G0592;11395;Zuid-Holland;P28;11662;9324;37;34;9253;4368;444;784;811;426;386;567;623;264;197;77;100;128;19;38;21;;;;
Posterholt;G0956;10456;Limburg;P31;2380;1846;5;26;1815;336;872;146;24;88;3;46;52;21;2;84;2;48;65;5;21;;;;
Prinsenbeek;G0832;11354;Noord-Brabant;P30;5670;4797;27;27;4743;970;1811;856;158;199;31;70;159;114;7;210;12;39;50;17;40;;;;
Purmerend;G0439;11066;Noord-Holland;P27;17801;15622;52;30;15540;4931;1499;2612;703;1044;275;1503;1269;926;38;119;116;329;70;41;36;29;;;
Putte;G0833;10099;Noord-Brabant;P30;1806;1226;12;4;1210;320;381;200;38;47;4;23;58;49;;48;1;8;20;4;9;;;;
Putten;G0273;11109;Gelderland;P25;10738;9438;25;26;9387;1443;199;1226;1313;203;1844;99;175;353;1733;336;342;44;17;29;31;;;;
Puttershoek;G0593;10222;Zuid-Holland;P28;3019;2609;20;0;2589;1054;67;356;319;74;241;30;100;48;192;19;44;16;3;13;13;;;;
Raalte;G0177;10279;Overijssel;P23;12797;11241;27;15;11199;1330;6391;768;327;310;796;50;235;203;7;354;55;68;233;35;37;;;;
Raamsdonk;G0834;11391;Noord-Brabant;P30;6343;5267;16;40;5211;1110;1857;494;278;226;341;112;168;65;67;254;28;57;93;19;42;;;;
Rauwerderhem;G0087;10330;Fryslân;P21;1657;1476;9;1;1466;533;162;231;178;54;71;24;47;67;4;27;10;28;15;6;9;;;;
Ravenstein;G0835;10805;Noord-Brabant;P30;4532;3848;18;22;3808;717;1965;335;97;168;20;36;108;44;;163;9;40;61;12;33;;;;
Reeuwijk;G0595;10485;Zuid-Holland;P28;5206;4631;15;14;4602;833;706;1125;539;165;170;56;219;239;243;64;68;54;66;22;29;;4;;
Reimerswaal;G0703;10077;Zeeland;P29;12223;10216;31;11;10174;2301;562;1171;1043;299;1188;85;210;190;2435;224;314;42;20;33;57;;;;
Renkum;G0274;11325;Gelderland;P25;24301;20686;73;43;20570;4931;2538;4259;2436;1111;1423;298;709;1129;307;313;390;278;131;256;61;;;;
Renswoude;G0339;10269;Utrecht;P26;1680;1425;0;0;1425;186;32;222;195;35;316;14;61;99;148;39;40;8;15;10;5;;;;
Reusel;G0836;10162;Noord-Brabant;P30;3794;2995;10;2;2983;398;1713;292;78;96;3;27;95;42;;103;7;27;64;13;25;;;;
Rheden;G0275;11355;Gelderland;P25;34478;30081;101;38;29942;10179;3245;5248;2786;1406;1946;515;1014;1770;135;297;537;339;211;218;96;;;;
Rhenen;G0340;10309;Utrecht;P26;10762;9381;32;60;9289;2973;304;1356;790;272;1062;94;280;339;1238;176;213;77;21;66;28;;;;
Rhoon;G0596;10903;Zuid-Holland;P28;3839;3312;28;0;3284;687;306;707;455;112;474;51;135;124;69;37;50;30;6;20;21;;;;
Ridderkerk;G0597;10646;Zuid-Holland;P28;28499;24416;39;98;24279;8501;735;2724;3428;940;1541;633;1415;663;2610;164;552;153;50;99;71;;;;
Riethoven;G0837;10455;Noord-Brabant;P30;1183;1050;3;0;1047;81;560;189;29;39;6;7;41;41;1;23;1;11;11;2;5;;;;
Rijnsaterwoude;G0601;11129;Zuid-Holland;P28;756;676;5;1;670;104;124;103;78;28;60;20;28;21;54;20;22;2;4;2;;;;;
Rijnsburg;G0602;11118;Zuid-Holland;P28;5953;5350;21;16;5313;494;128;481;2154;104;999;21;80;143;205;43;402;28;8;11;12;;;;
Rijsbergen;G0841;10866;Noord-Brabant;P30;2986;2256;19;13;2224;354;1101;256;77;58;11;18;51;42;1;173;12;18;25;15;12;;;;
Rijssen;G0178;10358;Overijssel;P23;11414;10173;15;20;10138;1524;669;461;1177;148;803;46;115;168;4417;199;297;18;25;54;17;;;;
Rijswijk;G0603;11133;Zuid-Holland;P28;36007;31203;80;43;31080;7060;4006;7812;2422;1561;1020;565;1937;2837;279;226;425;427;303;116;84;;;;
Rijswijk (NB);G0842;11016;Noord-Brabant;P30;824;773;0;0;773;110;6;26;498;7;64;4;10;5;24;10;8;1;;;;;;;
Rockanje;G0598;10464;Zuid-Holland;P28;3635;3055;12;9;3034;936;58;739;480;81;122;139;153;104;24;94;19;33;1;23;28;;;;
Roden;G0125;10699;Drenthe;P22;9052;7974;24;10;7940;2870;112;1385;1206;241;394;256;405;405;17;283;219;87;7;21;32;;;;
Roermond;G0957;11313;Limburg;P31;23901;17043;94;138;16811;3336;6476;2953;439;865;77;316;591;496;10;458;44;213;277;83;177;;;;
Roggel;G0958;10505;Limburg;P31;2313;1785;6;14;1765;179;1127;159;35;55;4;13;30;25;;70;;23;30;5;10;;;;
Rolde;G0126;10470;Drenthe;P22;3723;3212;12;10;3190;1222;70;1038;196;81;72;19;119;144;2;66;22;53;6;44;36;;;;
Roosendaal en Nispen;G0838;10407;Noord-Brabant;P30;32637;25104;188;167;24749;5443;9145;3865;904;1034;214;450;962;812;30;897;69;296;323;131;174;;;;
Roosteren;G0959;10954;Limburg;P31;917;740;3;3;734;107;452;73;10;16;;10;26;14;;9;1;5;5;;6;;;;
Rosmalen;G0839;10970;Noord-Brabant;P30;11998;9387;33;52;9302;1508;3567;1624;302;680;44;115;384;311;8;303;38;126;200;19;73;;;;
Rossum;G0276;10860;Gelderland;P25;1795;1543;3;0;1540;478;375;161;115;35;179;16;36;25;12;59;11;10;15;2;11;;;;
Rotterdam;G0599;10345;Zuid-Holland;P28;474380;379244;1378;914;376952;171735;24478;39566;26838;16318;11795;29067;19175;11581;6885;3508;4716;5458;2089;1818;1525;;400;;
Rozenburg;G0600;11314;Zuid-Holland;P28;7329;6042;17;17;6008;2138;238;699;821;287;533;274;456;139;84;73;168;64;4;17;13;;;;
Rozendaal;G0277;10684;Gelderland;P25;888;820;2;1;817;93;38;337;79;40;68;8;31;86;2;5;12;10;5;3;;;;;
Rucphen;G0840;11152;Noord-Brabant;P30;11904;8485;93;33;8359;2091;3775;590;198;135;42;137;171;126;4;830;15;63;83;27;72;;;;
Ruinen;G0127;10629;Drenthe;P22;4142;3596;17;13;3566;1306;39;977;421;57;168;26;98;98;9;196;48;26;3;38;56;;;;
Ruinerwold;G0128;10944;Drenthe;P22;2120;1911;5;8;1898;527;10;563;367;22;113;7;48;59;6;57;61;6;;24;28;;;;
Ruurlo;G0278;10879;Gelderland;P25;4681;4075;12;14;4049;1128;929;930;273;83;120;18;96;100;3;205;16;18;12;101;17;;;;
Sas van Gent;G0704;11405;Zeeland;P29;5751;4409;23;21;4365;1339;1341;674;116;247;47;85;120;70;31;115;31;29;39;28;53;;;;
Sassenheim;G0604;10612;Zuid-Holland;P28;8251;7215;17;26;7172;859;1825;1456;1113;323;429;86;257;350;59;74;101;70;106;44;14;;6;;
Schaesberg;G0960;11335;Limburg;P31;10678;8364;52;79;8233;2178;2584;986;182;494;52;436;591;214;9;169;30;101;121;28;58;;;;
Schagen;G0441;10511;Noord-Holland;P27;6004;5235;11;26;5198;1434;817;1233;254;224;81;171;425;242;4;54;31;119;49;29;19;12;;;
Schaijk;G0843;10276;Noord-Brabant;P30;3885;3116;9;15;3092;409;1706;315;77;127;8;16;101;34;;161;5;49;54;13;17;;;;
Scheemda;G0039;10711;Groningen;P20;5106;4591;21;22;4548;1864;33;413;663;54;443;655;63;85;8;38;128;27;9;34;31;;;;
Schelluinen;G0605;11399;Zuid-Holland;P28;688;571;3;0;568;195;9;98;73;19;26;15;32;14;55;11;15;5;1;;;;;;
Schermer;G0458;10308;Noord-Holland;P27;2487;2164;4;8;2152;614;403;364;199;89;40;66;115;77;13;44;7;51;40;6;16;8;;;
Scherpenzeel;G0279;11146;Gelderland;P25;4163;3701;5;7;3689;859;76;658;406;82;628;11;108;149;456;77;130;18;7;15;9;;;;
Schiedam;G0606;11260;Zuid-Holland;P28;57048;47767;155;177;47435;19189;6017;4843;3092;2315;1701;3450;2540;1321;581;393;531;680;414;190;178;;;;
Schiermonnikoog;G0088;10355;Fryslân;P21;555;492;1;0;491;120;1;81;137;16;46;11;17;31;2;4;16;2;;3;4;;;;
Schijndel;G0844;11178;Noord-Brabant;P30;10689;8613;45;36;8532;1786;3780;839;209;448;29;113;349;168;1;451;14;85;135;61;64;;;;
Schimmert;G0961;11076;Limburg;P31;1859;1532;6;10;1516;207;881;148;41;49;1;16;53;33;;33;1;12;36;3;2;;;;
Schinnen;G0962;10132;Limburg;P31;3834;3082;24;6;3052;535;1467;298;54;125;12;77;120;46;;48;2;45;188;10;25;;;;
Schinveld;G0963;10492;Limburg;P31;3096;2539;23;25;2491;355;984;148;41;567;7;52;61;27;;52;1;11;135;30;20;;;;
Schipluiden;G0607;10130;Zuid-Holland;P28;4515;4055;8;12;4035;327;1467;619;530;215;363;38;98;109;49;20;64;43;67;14;12;;;;
Schoonebeek;G0129;10064;Drenthe;P22;4688;3911;8;6;3897;969;1079;223;525;105;592;70;63;52;4;95;26;21;37;17;19;;;;
Schoonhoven;G0608;10980;Zuid-Holland;P28;5881;5075;19;21;5035;1300;512;816;766;282;270;65;240;217;288;41;103;73;26;16;18;;2;;
Schoonrewoerd;G0609;10214;Zuid-Holland;P28;874;789;1;15;773;132;4;61;183;18;79;3;14;11;196;43;20;1;1;4;3;;;;
Schoorl;G0444;10627;Noord-Holland;P27;3625;3143;21;9;3113;853;666;625;97;143;46;94;166;199;;57;21;66;42;22;10;6;;;
Sevenum;G0964;10045;Limburg;P31;3677;3113;11;9;3093;263;2058;320;48;90;4;24;59;42;1;45;2;52;72;6;7;;;;
