RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);VVD;Anti-Revolutionaire Partij;Politieke Partij Radikalen (PPR);Christelijk-Historische Unie;Communistische Partij van Nederland;Democraten 66 (D66);Democratisch Socialisten '70;Staatkundig Gereformeerde Partij (SGP);Boeren Partij;Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Rooms Katholieke Partij Nederland (RKPN);Democratische Middenpartij;Nederlandse Middenstands Partij;Lijst ir. W. Stam;Partij van het Recht;Anti-Woningnood Aktie;Nieuwe Roomse Partij
Hoensbroek;G0921;11177;Limburg;P31;14438;10835;47;42;10746;3357;2898;948;337;957;84;633;512;202;7;253;42;124;220;82;90;;;;
Hoevelaken;G0253;11358;Gelderland;P25;3901;3519;14;1;3504;675;288;782;324;153;443;26;137;159;295;62;91;30;8;19;12;;;;
Hoeven;G0799;10065;Noord-Brabant;P30;4312;3249;9;42;3198;655;1447;396;109;79;10;36;81;64;1;209;8;29;35;9;30;;;;
Holten;G0165;11246;Overijssel;P23;5098;4626;7;6;4613;1099;139;849;645;82;1028;35;123;165;32;315;35;18;6;19;23;;;;
Hontenisse;G0675;11123;Zeeland;P29;5508;4422;16;24;4382;703;2303;438;87;282;48;34;68;30;13;124;25;22;149;11;45;;;;
Hoogblokland;G0535;11040;Zuid-Holland;P28;847;790;1;8;781;224;16;157;233;11;34;7;15;11;38;12;5;5;2;11;;;;;
Hooge en Lage Mierde;G0801;10476;Noord-Brabant;P30;1828;1551;6;4;1541;135;1057;118;31;32;7;10;27;26;1;46;1;17;27;;6;;;;
Hooge en Lage Zwaluwe;G0802;11318;Noord-Brabant;P30;3371;2860;10;8;2842;743;893;255;177;76;362;47;67;43;14;79;16;18;19;12;21;;;;
Hoogeloon, Hapert en Casteren;G0800;10657;Noord-Brabant;P30;3969;3336;7;8;3321;443;1850;360;72;114;35;40;103;73;10;117;1;36;57;3;7;;;;
Hoogeveen;G0118;10839;Drenthe;P22;24730;21261;125;33;21103;5457;402;1864;5857;696;2367;783;517;573;266;800;1168;156;21;106;70;;;;
Hoogezand-Sappemeer;G0018;10410;Groningen;P20;21390;17828;73;40;17715;7521;852;2084;1330;415;430;2136;718;742;24;278;415;362;94;198;116;;;;
Hoogkarspel;G0403;10642;Noord-Holland;P27;2499;2169;0;22;2147;290;986;292;39;129;8;34;73;73;;47;4;42;112;10;8;;;;
Hoogland;G0320;10545;Utrecht;P26;4110;3639;19;11;3609;372;1761;462;202;135;183;34;101;112;51;38;46;39;43;11;19;;;;
Hoogwoud;G0404;11029;Noord-Holland;P27;2188;1915;12;1;1902;433;689;301;52;63;34;56;78;60;1;24;8;37;44;7;11;4;;;
Hoorn;G0405;11392;Noord-Holland;P27;13237;11165;50;50;11065;3583;1980;1728;501;595;213;426;537;465;22;110;88;410;279;55;50;23;;;
Hoornaar;G0536;10516;Zuid-Holland;P28;853;784;0;0;784;195;8;163;219;12;36;7;26;30;44;11;20;5;2;5;1;;;;
Horn;G0922;11176;Limburg;P31;2564;2042;2;14;2026;288;988;291;76;101;9;18;66;54;3;49;4;23;29;12;15;;;;
Horssen;G0254;10607;Gelderland;P25;835;736;3;1;732;69;477;40;25;18;32;3;8;4;;31;;6;14;2;3;;;;
Horst;G0923;11108;Limburg;P31;9622;7690;15;45;7630;815;4896;752;176;247;16;55;123;134;1;172;3;92;112;8;28;;;;
Houten;G0321;10230;Utrecht;P26;4467;3936;13;20;3903;320;1688;611;226;157;159;22;96;134;203;61;42;29;126;17;12;;;;
Huijbergen;G0803;10466;Noord-Brabant;P30;1085;871;9;2;860;117;399;176;19;20;1;14;27;24;;36;3;7;14;1;2;;;;
Huissen;G0255;11047;Gelderland;P25;6126;5156;15;5;5136;985;2510;545;153;246;63;51;104;77;7;167;13;43;81;34;57;;;;
Huizen;G0406;11170;Noord-Holland;P27;15469;13593;42;55;13496;2088;569;2681;2172;622;1240;280;722;866;1323;131;529;154;21;39;47;12;;;
Hulsberg;G0924;11216;Limburg;P31;2407;1960;15;19;1926;352;838;253;65;92;8;33;85;27;1;63;3;15;58;6;27;;;;
Hulst;G0677;11408;Zeeland;P29;10540;8003;51;35;7917;1823;2896;1161;224;523;53;99;220;83;5;316;16;39;318;37;104;;;;
Hummelo en Keppel;G0256;11235;Gelderland;P25;2679;2334;3;7;2324;712;308;461;298;63;147;17;55;111;10;57;11;23;16;19;16;;;;
Hunsel;G0925;10784;Limburg;P31;2630;2097;2;16;2079;215;1430;143;33;38;2;11;41;25;2;52;2;24;44;5;12;;;;
Idaarderadeel;G0078;10815;Fryslân;P21;5538;5035;13;14;5008;2784;178;673;281;148;170;120;197;211;7;35;45;71;10;47;31;;;;
IJlst;G0102;11062;Fryslân;P21;1298;1164;10;1;1153;274;19;108;298;30;288;6;23;35;5;8;36;6;2;8;7;;;;
IJsselmuiden;G0191;10641;Overijssel;P23;6414;5762;4;12;5746;619;515;290;1015;92;830;16;54;77;1708;93;363;21;28;8;17;;;;
IJsselstein;G0353;10152;Utrecht;P26;7851;6710;57;27;6626;1299;1791;830;481;423;328;140;401;254;358;55;66;93;51;23;33;;;;
