RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);CDA;VVD;Democraten 66 (D66);Algemeen Ouderen Verbond (AOV);GL;Centrumdemocraten;Reformatorische Politieke Federatie (RPF);Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);SP (Socialistische Partij);Ouderen Unie 55+;Centrumpartij;Natuurwetpartij;Vrije Indische Partij;De Groenen;Nieuwe Communistische Partij;Solidariteit Boerenpartij;Partij voor Milieu en Recht;Solidair '93;Pacifistisch Socialistische Partij '92;De Nieuwe Partij;Algemeen Democratische Partij;Patriottisch Democratisch Appèl;Socialistische Arbeiderspartij;Libertarische Partij
Havelte;G0117;10186;Drenthe;P22;4870;4209;;12;4197;1606;430;1214;529;91;98;59;20;3;18;9;20;4;28;0;2;1;10;8;2;4;6;33;;0;2
Hedel;G0245;10982;Gelderland;P25;3059;2639;;8;2631;489;684;554;363;85;37;82;51;200;28;9;22;3;1;3;1;0;4;3;;3;7;1;;1;0
Heel;G1937;11208;Limburg;P31;6379;4531;;12;4519;1001;1405;799;720;274;98;82;4;2;7;13;57;12;13;2;3;0;5;8;5;0;5;2;;0;2
Heemskerk;G0396;10679;Noord-Holland;P27;25801;20739;;59;20680;4803;4647;3903;3874;1054;868;358;116;42;120;122;308;49;106;69;30;8;6;26;12;11;74;6;28;26;14
Heemstede;G0397;11288;Noord-Holland;P27;20433;17369;;17;17352;2758;3903;6285;2763;402;473;143;118;29;90;34;153;21;55;21;36;4;3;17;5;7;11;1;11;4;5
Heerde;G0246;10291;Gelderland;P25;14003;11995;;27;11968;3053;3317;1650;1219;173;124;147;1128;374;378;10;55;19;20;4;5;2;266;6;2;5;0;3;;4;4
Heerenveen;G0074;10680;Fryslân;P21;30238;24380;;6;24374;9023;4423;4038;3559;559;1004;325;401;54;293;145;97;74;60;15;31;147;20;20;30;12;18;16;;6;4
Heerewaarden;G0247;10067;Gelderland;P25;972;857;;5;852;359;89;214;96;23;19;26;6;4;1;1;7;2;0;0;1;0;1;1;;0;1;0;;0;1
Heerhugowaard;G0398;10752;Noord-Holland;P27;27107;21529;;37;21492;4637;4808;5388;4101;604;621;252;190;15;90;179;174;65;168;17;33;19;19;27;19;18;8;2;16;11;11
Heerjansdam;G0526;10540;Zuid-Holland;P28;2642;2252;;4;2248;530;531;531;320;67;30;49;68;50;18;11;14;9;7;2;2;0;0;3;0;1;1;0;2;1;1
Heerlen;G0917;10902;Limburg;P31;73313;51124;;218;50906;12774;10879;5545;7428;3325;1720;1897;185;54;295;5238;509;173;324;175;57;52;23;77;37;43;34;13;;25;24
Heesch;G0791;10149;Noord-Brabant;P30;20329;16128;;41;16087;3026;6289;2366;2181;461;259;251;14;25;16;849;175;32;30;5;9;1;25;13;;17;11;13;3;11;5
Heeze;G0793;10462;Noord-Brabant;P30;7312;6120;;16;6104;1158;1905;1340;963;371;130;107;11;4;11;29;25;18;5;2;2;4;3;6;;2;5;0;0;1;2
Heiloo;G0399;10793;Noord-Holland;P27;16413;14168;;32;14136;2769;3354;4129;2301;460;437;140;95;13;56;50;110;27;77;5;25;12;15;16;6;8;1;3;12;9;6
Heino;G0162;10854;Overijssel;P23;5467;4810;;7;4803;918;1958;748;633;83;92;28;88;5;154;12;22;7;10;1;17;0;11;0;0;0;5;7;;3;1
Helden;G0918;10205;Limburg;P31;13789;10130;;22;10108;1770;4117;1846;1318;361;193;205;17;19;19;45;66;22;27;14;4;2;18;7;6;12;4;1;;3;12
Hellendoorn;G0163;10806;Overijssel;P23;26494;22982;;52;22930;4324;10302;2691;2438;510;363;236;833;107;541;100;246;42;32;12;19;5;81;16;15;2;3;3;;4;5
Hellevoetsluis;G0530;11078;Zuid-Holland;P28;26170;19518;;37;19481;4630;2004;5907;3673;632;639;679;206;72;102;130;395;105;50;38;33;29;21;48;23;14;15;8;9;11;8
Helmond;G0794;10932;Noord-Brabant;P30;52713;37780;;87;37693;8614;8450;5756;5940;2771;1013;1918;102;72;87;1518;775;159;107;94;34;79;40;45;;42;30;7;18;10;12
Helvoirt;G0795;10389;Noord-Brabant;P30;3595;3065;;17;3048;507;1073;691;450;109;68;50;4;7;12;22;24;11;1;1;1;2;0;6;;0;4;0;2;3;0
Hendrik-Ido-Ambacht;G0531;10416;Zuid-Holland;P28;14607;12079;;7;12072;2186;2332;2711;1837;307;151;202;408;1451;250;57;56;34;15;21;12;6;4;6;8;4;5;0;5;3;1
Hengelo;G0164;10907;Overijssel;P23;58783;48224;;112;48112;12365;11962;7902;7358;1127;1716;793;618;64;609;1111;1644;193;143;196;65;33;42;54;23;42;29;7;;8;8
Hengelo;G0248;10359;Gelderland;P25;6457;5496;;22;5474;1376;2023;1116;602;93;76;71;28;10;15;10;20;1;10;2;4;1;8;4;0;0;1;0;;2;1
Het Bildt;G0063;10128;Fryslân;P21;7509;6180;;21;6159;1955;2106;804;587;111;166;78;101;18;73;42;25;12;13;2;20;6;10;3;6;10;2;6;;3;0
Heteren;G0251;10290;Gelderland;P25;6539;5415;;4;5411;1189;1711;921;834;101;125;132;100;145;59;21;17;16;5;2;8;4;1;10;1;0;4;5;;0;0
Heumen;G0252;10600;Gelderland;P25;10272;8663;;9;8654;1722;2826;1656;1599;248;294;112;13;2;26;43;50;15;19;8;4;1;2;4;;2;3;4;;0;1
Heusden;G0797;10307;Noord-Brabant;P30;4537;3481;;10;3471;695;865;647;603;216;73;144;40;43;14;34;54;8;4;3;5;0;3;6;4;2;3;0;1;1;3
Heythuysen;G0920;10840;Limburg;P31;8807;6954;;33;6921;1163;2766;1241;967;277;137;142;19;5;23;35;37;10;38;7;6;2;8;6;3;2;5;17;;3;2
Hillegom;G0534;11236;Zuid-Holland;P28;14998;12268;;37;12231;2104;3244;3197;1951;556;300;243;121;72;56;69;138;39;37;3;10;5;8;14;18;16;10;8;;7;5
Hilvarenbeek;G0798;11297;Noord-Brabant;P30;7581;6362;;12;6350;1407;2226;1161;895;243;146;78;11;9;7;51;41;14;18;3;4;2;11;7;1;5;4;0;2;2;2
Hilversum;G0402;11285;Noord-Holland;P27;65316;51383;;89;51294;11698;8707;12951;8835;2291;1782;1190;844;403;562;620;358;304;178;94;93;55;31;57;29;55;59;7;46;22;23
Hoevelaken;G0253;11358;Gelderland;P25;6452;5524;;6;5518;806;1296;1530;836;109;96;76;156;375;155;8;29;10;6;3;6;2;4;8;1;2;1;0;;2;1
Hoeven;G0799;10065;Noord-Brabant;P30;6444;4882;;13;4869;1007;1268;1140;851;178;46;227;17;5;4;19;33;27;12;2;3;1;6;8;1;0;4;2;6;2;0
Holten;G0165;11246;Overijssel;P23;6816;6260;;19;6241;1495;1892;1669;731;100;63;61;88;15;37;11;41;8;0;4;1;2;15;4;0;1;0;2;;1;0
Hontenisse;G0675;11123;Zeeland;P29;5974;4790;;30;4760;1187;1522;795;630;198;70;117;22;9;7;26;93;23;11;4;7;4;20;6;;1;0;7;;0;1
Hooge en Lage Mierde;G0801;10476;Noord-Brabant;P30;2929;2425;;7;2418;334;1216;363;281;98;31;27;4;1;6;26;14;1;2;2;2;0;5;0;0;1;1;1;0;1;1
Hooge en Lage Zwaluwe;G0802;11318;Noord-Brabant;P30;4696;3748;;6;3742;869;948;867;561;130;54;135;32;16;19;20;32;14;12;2;8;4;10;2;2;0;1;1;1;1;1
Hoogeloon, Hapert en Casteren;G0800;10657;Noord-Brabant;P30;6218;5109;;14;5095;915;2103;869;715;201;60;87;10;6;11;24;41;12;6;2;9;6;1;2;;1;2;8;3;1;0
Hoogeveen;G0118;10839;Drenthe;P22;34801;27969;;0;27969;7612;8333;3432;3316;661;622;359;1215;241;1001;152;206;52;38;41;30;39;236;20;18;12;12;309;;8;4
Hoogezand-Sappemeer;G0018;10410;Groningen;P20;25466;19646;;119;19527;7904;2232;3029;2783;789;824;385;220;26;550;235;176;61;43;45;28;94;24;22;12;13;10;8;;7;7
Hoorn;G0405;11392;Noord-Holland;P27;44048;34608;;79;34529;8817;5243;8409;6501;1460;1682;612;269;29;115;281;406;55;143;71;66;120;25;36;29;44;37;6;39;12;22
Horst;G0923;11108;Limburg;P31;14069;10698;;19;10679;1889;4745;1483;1250;265;136;152;28;27;31;429;73;43;24;5;13;2;36;14;8;11;5;5;;4;1
Houten;G0321;10230;Utrecht;P26;20459;17405;;0;17405;3024;4099;3890;3256;391;703;272;466;451;340;113;206;46;46;17;10;10;6;13;6;10;6;4;10;1;9
Huijbergen;G0803;10466;Noord-Brabant;P30;1497;1206;;4;1202;220;379;293;170;41;22;34;4;1;5;10;6;3;2;1;0;0;3;4;0;0;0;3;0;0;1
Huissen;G0255;11047;Gelderland;P25;11438;9389;;24;9365;2111;2726;1883;1864;244;183;109;33;7;19;36;45;13;39;10;6;8;5;6;6;1;4;3;;2;2
Huizen;G0406;11170;Noord-Holland;P27;29600;24355;;37;24318;3881;4866;6850;4140;597;654;428;1397;558;322;116;135;54;87;56;31;13;11;23;21;11;17;5;28;11;6
Hulst;G0677;11408;Zeeland;P29;13480;9915;;50;9865;2569;2426;1846;1498;474;196;424;39;10;17;64;123;58;27;8;15;7;8;20;;10;13;6;;5;2
Hummelo en Keppel;G0256;11235;Gelderland;P25;3400;3023;;11;3012;759;807;790;434;66;43;24;15;8;5;17;13;1;11;4;3;0;5;2;1;2;1;1;;0;0
Hunsel;G0925;10784;Limburg;P31;4391;3422;;19;3403;631;1425;488;440;135;69;112;9;2;6;26;23;3;5;0;4;0;4;6;5;2;1;6;;1;0
IJsselham;G0195;10858;Overijssel;P23;4076;3579;;10;3569;932;1147;676;318;82;72;38;120;14;55;9;27;13;18;1;7;4;8;8;0;2;3;15;;0;0
IJsselmuiden;G0191;10641;Overijssel;P23;9404;8438;;19;8419;928;2587;819;510;85;65;96;1379;1523;290;10;24;32;3;3;2;0;25;1;4;1;0;32;;0;0
IJsselstein;G0353;10152;Utrecht;P26;16423;13208;;15;13193;2569;2949;3195;2551;326;389;278;312;235;63;82;69;57;16;22;19;3;10;11;4;6;10;1;9;1;6
Jacobswoude;G0645;10461;Zuid-Holland;P28;8071;6804;;17;6787;837;2192;1828;1041;192;150;144;80;110;41;46;42;16;13;1;26;1;4;8;2;1;1;6;;2;3
Kampen;G0166;10253;Overijssel;P23;24111;20102;;44;20058;4488;4896;2258;2361;467;649;348;2079;928;1028;125;136;70;31;34;31;8;21;12;11;4;11;54;;3;5
Kapelle;G0678;11223;Zeeland;P29;7896;6573;;10;6563;1231;1681;1374;783;223;103;139;237;572;89;23;38;18;18;6;4;1;13;1;;5;0;2;;0;2
Katwijk;G0537;10707;Zuid-Holland;P28;29291;23137;;34;23103;2844;7255;3347;2191;533;338;298;2586;2837;342;130;130;119;29;23;28;10;14;14;10;6;4;0;;1;14
Kerkrade;G0928;10313;Limburg;P31;37691;25782;;154;25628;9029;5520;2225;3039;1870;1066;1010;58;45;124;720;356;58;195;57;40;22;16;57;46;20;23;10;;9;13
Kerkwijk;G0257;10791;Gelderland;P25;4678;3921;;8;3913;564;959;631;260;71;35;49;341;914;37;10;11;4;6;0;2;1;5;4;;2;0;4;;3;0
Kessel;G0929;10890;Limburg;P31;3083;2532;;12;2520;523;1026;413;313;93;34;71;2;1;1;4;20;3;8;0;0;1;2;3;0;0;0;1;;1;0
Kesteren;G0258;10916;Gelderland;P25;6904;5808;;15;5793;1255;909;704;498;79;67;128;168;1841;52;18;27;11;10;7;1;3;3;4;;1;1;5;;1;0
Klundert;G0804;10656;Noord-Brabant;P30;5097;4070;;12;4058;759;1263;786;491;118;50;130;244;77;52;15;28;11;4;2;10;0;5;4;0;4;2;0;2;0;1
Kollumerland en Nieuwkruisland;G0079;10984;Fryslân;P21;9308;7539;;35;7504;1809;3200;674;576;126;116;92;384;112;240;51;14;17;11;4;12;15;19;8;2;5;8;2;;4;3
Korendijk;G0588;10914;Zuid-Holland;P28;7600;6185;;13;6172;1275;1032;1458;677;109;74;153;154;1044;71;17;31;21;11;2;10;1;4;9;2;2;6;0;2;2;5
Kortgene;G0682;10250;Zeeland;P29;2792;2381;;6;2375;614;450;555;325;110;64;36;57;84;16;7;20;7;7;0;10;1;1;1;;1;2;0;;0;7
Krimpen aan den IJssel;G0542;10859;Zuid-Holland;P28;20901;17480;;24;17456;3834;2525;3986;2503;474;283;495;453;2017;450;92;86;116;23;40;18;7;0;13;13;7;13;2;;2;4
Landerd;G1685;10276;Noord-Brabant;P30;10500;8419;;36;8383;1660;3354;1313;1098;268;150;124;7;14;19;215;85;10;17;2;8;1;10;8;;4;6;5;1;2;2
Landgraaf;G0882;11335;Limburg;P31;30249;21823;;76;21747;6129;4531;2461;3276;1398;728;746;50;43;96;1403;230;158;158;45;35;23;34;39;18;48;10;8;;72;8
Landsmeer;G0415;11225;Noord-Holland;P27;8100;6827;;13;6814;2015;698;1987;1133;302;186;163;53;21;14;42;78;11;11;8;19;16;5;9;2;12;2;0;23;1;3
Langbroek;G0325;11413;Utrecht;P26;1543;1270;;2;1268;183;351;238;114;31;26;15;69;177;39;1;9;0;5;0;1;1;3;0;0;2;3;0;0;0;0
Langedijk;G0416;10955;Noord-Holland;P27;16222;13604;;22;13582;2574;3418;3519;2274;457;383;173;212;32;158;51;104;35;75;3;24;7;8;13;17;16;9;2;11;5;2
Laren;G0417;10649;Noord-Holland;P27;9354;7699;;1;7698;1190;1588;3069;1076;247;161;93;32;19;29;25;55;24;26;17;11;7;3;7;2;8;4;0;2;0;3
Leek;G0022;10604;Groningen;P20;13312;10811;;25;10786;3273;2370;1732;1401;218;306;138;207;32;847;62;60;9;16;12;14;14;24;2;7;6;3;26;;4;3
Leende;G0805;11017;Noord-Brabant;P30;3163;2706;;4;2702;331;1240;550;304;157;35;29;4;3;8;12;8;5;5;0;1;0;7;1;;1;1;0;0;0;0
Leerdam;G0545;10685;Zuid-Holland;P28;14232;11470;;26;11444;2738;2422;2201;1439;302;182;314;584;738;242;77;49;52;15;32;8;9;6;10;8;3;4;2;1;5;1
Leersum;G0326;11142;Utrecht;P26;5367;4668;;7;4661;852;861;1437;638;138;119;93;89;254;64;11;42;8;18;5;4;0;5;7;2;2;8;0;3;0;1
Leeuwarden;G0080;11228;Fryslân;P21;68451;54668;;126;54542;19996;9585;7520;9057;1464;2750;646;838;110;822;501;301;179;207;114;67;89;20;46;72;57;38;22;;30;11
Leeuwarderadeel;G0081;10851;Fryslân;P21;6956;6086;;15;6071;2139;1600;923;828;113;109;57;107;8;82;15;19;11;22;1;3;10;5;4;3;7;2;2;;1;0
Leiden;G0546;10702;Zuid-Holland;P28;88062;69946;;235;69711;18087;9344;14441;14253;1750;4644;1870;559;239;485;2494;332;264;223;93;172;80;13;69;33;111;54;25;;47;29
Leiderdorp;G0547;10058;Zuid-Holland;P28;17783;14876;;20;14856;2677;3112;4126;2805;567;534;187;129;107;113;146;144;41;43;36;15;9;6;12;8;12;10;4;;5;8
Leidschendam;G0548;10742;Zuid-Holland;P28;25916;21212;;42;21170;3257;4880;6205;3515;471;545;445;151;52;127;770;358;116;54;95;27;6;18;21;15;9;11;4;;8;10
Lelystad;G0995;11110;Flevoland;P24;42583;31757;;71;31686;7819;3722;6606;5952;1645;1263;901;443;107;354;1048;463;248;666;68;94;82;15;55;13;44;11;;43;15;9
Lemsterland;G0082;10142;Fryslân;P21;8559;6821;;12;6809;1866;1860;1081;799;119;97;69;249;44;45;24;20;42;15;2;8;441;3;1;3;5;2;11;;2;1
Leusden;G0327;10978;Utrecht;P26;20093;17267;;13;17254;2732;4172;4526;3165;396;501;183;234;247;685;70;110;28;65;23;17;4;21;10;7;8;9;7;19;6;9
Lichtenvoorde;G0260;10242;Gelderland;P25;13647;11247;;27;11220;2070;5157;1687;1475;203;202;140;18;11;20;38;88;14;26;11;5;3;21;8;4;5;7;3;;1;3
Liemeer;G1673;10487;Zuid-Holland;P28;4977;3945;;10;3935;381;1411;1155;466;76;69;107;98;46;23;43;23;13;3;1;5;0;8;3;0;3;0;1;;0;0
Liempde;G0806;10390;Noord-Brabant;P30;3444;2779;;15;2764;605;1008;379;419;118;48;77;3;2;7;26;41;6;5;2;0;0;2;1;;1;4;6;2;1;1
Lienden;G0261;11093;Gelderland;P25;5304;4476;;13;4463;1439;793;960;425;65;57;102;138;371;43;10;20;9;7;1;2;1;16;2;;1;0;1;;0;0
Lieshout;G0807;10637;Noord-Brabant;P30;4610;3781;;14;3767;796;1381;547;542;202;62;124;5;2;2;35;36;8;4;0;0;1;3;2;;3;1;6;4;0;1
Liesveld;G0694;11205;Zuid-Holland;P28;6748;5899;;23;5876;1033;1348;1140;533;69;69;125;560;742;196;10;10;10;7;2;0;5;8;3;1;2;0;0;1;2;0
Limmen;G0418;11370;Noord-Holland;P27;4345;3633;;8;3625;650;1183;939;535;91;76;38;5;5;8;15;24;2;29;0;7;1;1;4;1;4;3;0;0;1;3
Lingewaal;G0733;11376;Gelderland;P25;7764;6493;;9;6484;1593;1769;1299;735;120;80;151;243;276;98;27;29;14;9;0;5;5;6;3;;5;7;5;;3;2
Lisse;G0553;10197;Zuid-Holland;P28;16107;13496;;25;13471;1822;3902;3424;2030;475;240;196;271;661;125;52;109;32;30;15;18;6;10;14;6;12;5;5;;3;8
Lith;G0808;11219;Noord-Brabant;P30;4789;3859;;16;3843;826;1416;632;439;147;53;97;6;3;5;128;51;8;11;1;1;1;3;2;;1;2;7;0;2;1
Littenseradiel;G0140;10422;Fryslân;P21;7436;6125;;4;6121;1668;2022;1124;690;85;173;45;88;15;64;25;22;8;37;6;14;6;3;7;3;4;2;10;;0;0
Lochem;G0262;11263;Gelderland;P25;14678;12113;;52;12061;3383;2365;3214;1971;269;347;131;81;17;40;44;76;23;23;8;15;3;17;12;4;5;10;1;;1;1
Loenen;G0329;11202;Utrecht;P26;6449;6571;;958;5613;944;1291;1733;809;167;139;93;101;105;68;12;77;6;11;3;5;1;13;5;0;4;3;2;17;3;1
Loon op Zand;G0809;11259;Noord-Brabant;P30;16955;13260;;21;13239;2786;3953;2750;2001;511;322;324;34;107;37;122;127;44;39;8;14;4;9;6;4;8;4;6;9;4;6
Loosdrecht;G0330;10639;Utrecht;P26;7022;5920;;15;5905;786;1242;2313;905;185;72;98;85;79;45;9;24;15;18;1;5;0;4;3;0;2;3;1;4;1;5
Lopik;G0331;10333;Utrecht;P26;9505;8061;;31;8030;1001;2643;1622;856;135;97;261;414;741;110;19;47;28;10;9;5;6;11;3;0;2;0;3;5;2;0
Loppersum;G0024;10934;Groningen;P20;8149;6755;;10;6745;2016;1965;794;730;131;253;56;178;21;431;50;31;13;8;2;17;4;4;5;3;5;6;17;;3;2
Losser;G0168;11166;Overijssel;P23;16986;13929;;33;13896;3266;5282;1980;1850;436;210;293;69;13;44;64;198;28;20;19;21;15;15;24;15;7;10;8;;3;6
Luyksgestel;G0810;10011;Noord-Brabant;P30;2155;1833;;5;1828;342;767;331;207;73;31;36;2;0;5;4;12;4;5;0;5;0;3;0;;0;0;0;0;0;1
Maarheeze;G0811;11143;Noord-Brabant;P30;6942;5598;;9;5589;953;2065;1251;704;303;73;92;14;6;15;35;29;15;11;7;3;0;2;4;;0;2;0;1;1;3
Maarn;G0332;10392;Utrecht;P26;4570;4122;;5;4117;663;905;1349;577;104;115;60;56;130;43;9;48;10;25;2;5;0;4;3;1;3;2;0;0;2;1
Maarssen;G0333;10191;Utrecht;P26;29580;23742;;46;23696;4884;4281;6701;4574;609;815;461;410;126;166;178;169;87;61;28;23;20;11;9;10;15;20;5;18;9;6
Maartensdijk;G0334;10691;Utrecht;P26;6907;5880;;4;5876;874;1249;1580;840;144;120;95;246;549;65;20;22;13;29;11;3;3;2;3;2;2;2;0;1;1;0
Maasbracht;G0933;10964;Limburg;P31;10707;8201;;46;8155;1650;2575;1526;1048;620;213;238;47;11;23;35;60;7;28;8;7;4;11;13;8;3;7;7;;3;3
Maasbree;G0934;11352;Limburg;P31;9044;7076;;18;7058;1130;3070;1223;965;192;146;134;9;18;17;37;48;8;19;1;10;0;10;5;0;4;6;2;;4;0
Maasdonk;G1671;10370;Noord-Brabant;P30;8254;6580;;10;6570;1313;2547;1013;744;267;74;212;14;11;11;227;80;14;8;0;2;1;7;9;;4;4;3;3;1;1
Maasdriel;G0263;10341;Gelderland;P25;6833;5404;;7;5397;1019;1844;1211;654;252;47;204;12;19;8;42;29;17;5;0;6;0;7;10;;1;4;1;;3;2
Maasland;G0555;10393;Zuid-Holland;P28;4818;4295;;3;4292;420;1809;1157;439;67;67;75;87;45;61;15;12;8;9;1;4;0;3;6;1;1;0;1;3;1;0
Maassluis;G0556;10880;Zuid-Holland;P28;24025;18945;;75;18870;4070;3797;4701;3194;600;389;675;383;169;256;180;144;95;45;51;20;7;3;9;31;7;14;3;15;8;4
Maastricht;G0935;10182;Limburg;P31;93263;64029;;235;63794;18784;13401;8372;11363;3504;3082;1836;167;76;286;1036;765;150;356;161;37;31;32;83;103;44;65;5;;37;18
Made en Drimmelen;G0812;10258;Noord-Brabant;P30;9430;7413;;14;7399;1900;1913;1348;1403;292;85;232;9;16;12;31;59;22;12;6;6;4;18;6;5;2;14;1;1;1;1
Margraten;G0936;11243;Limburg;P31;10512;8631;;37;8594;1897;3049;1346;1267;313;246;174;25;6;43;40;71;9;35;2;9;6;17;4;11;2;10;7;;3;2
Mariekerke;G0686;11221;Zeeland;P29;2668;2440;;5;2435;188;695;225;162;52;33;29;125;848;46;4;9;5;4;0;2;1;6;1;;0;0;0;;0;0
Markelo;G0169;11382;Overijssel;P23;5581;4958;;21;4937;1207;1053;1689;574;60;60;71;74;13;11;9;71;3;4;0;6;5;19;0;0;1;1;0;;4;2
Marum;G0025;11431;Groningen;P20;7018;5633;;38;5595;1713;1433;981;608;123;114;106;132;20;218;17;34;12;5;4;5;4;37;10;4;2;2;11;;0;0
Maurik;G0264;10300;Gelderland;P25;4879;3995;;16;3979;1271;779;934;520;73;47;145;44;47;17;15;31;13;7;3;1;2;11;4;;0;5;4;;4;2
Medemblik;G0420;11215;Noord-Holland;P27;5328;4135;;18;4117;928;983;953;586;203;116;101;63;11;25;17;60;16;9;1;6;8;3;2;0;3;4;2;11;0;6
Meerlo-Wanssum;G0993;11416;Limburg;P31;5292;4158;;19;4139;805;1743;622;576;113;104;60;5;2;5;17;42;7;20;1;6;0;3;4;0;0;1;1;;2;0
Meerssen;G0938;10494;Limburg;P31;16305;12968;;71;12897;2964;3667;2175;2181;646;383;266;30;16;114;78;153;18;111;25;10;13;8;17;5;2;6;0;;4;5
Meijel;G0941;10925;Limburg;P31;4247;3141;;15;3126;658;1299;460;384;124;33;70;3;5;5;12;23;2;11;0;4;0;3;6;3;1;3;15;;2;0
Menaldumadeel;G0083;11144;Fryslân;P21;9904;8364;;27;8337;2784;2372;1362;974;154;194;71;141;17;97;27;31;18;13;6;23;12;11;3;2;7;6;7;;4;1
Menterwolde;G1987;11282;Groningen;P20;9386;7596;;44;7552;3565;746;1008;884;240;231;160;84;12;150;223;58;26;20;1;14;51;26;7;8;9;6;16;;1;6
Meppel;G0119;11204;Drenthe;P22;18531;15129;;43;15086;4957;2599;2581;2580;479;424;213;291;22;545;81;110;28;37;19;20;5;14;18;5;12;11;26;;7;2
Middelburg;G0687;10122;Zeeland;P29;30321;24286;;61;24225;5865;4542;3854;4063;859;1019;471;928;1398;462;203;171;55;66;89;24;29;6;25;;18;44;16;;12;6
Middelharnis;G0559;11067;Zuid-Holland;P28;12467;9849;;13;9836;2121;1626;1665;1126;250;168;245;742;1584;131;29;48;25;15;3;6;5;11;6;10;3;2;2;3;9;1
Middenschouwen;G0688;10837;Zeeland;P29;2053;1719;;4;1715;340;400;427;169;54;29;34;96;96;32;4;7;4;6;1;4;1;3;2;;0;0;3;;1;2
Mierlo;G0814;10215;Noord-Brabant;P30;7599;6466;;16;6450;1177;2001;1097;1237;326;148;125;14;8;18;93;131;9;15;9;4;3;3;9;;1;9;2;2;3;6
Mill en Sint Hubert;G0815;10535;Noord-Brabant;P30;8273;6816;;27;6789;1550;2753;950;847;246;97;128;7;3;9;87;45;5;23;0;6;1;6;6;;1;8;4;1;3;3
Millingen aan de Rijn;G0265;10072;Gelderland;P25;4262;3308;;7;3301;1287;818;368;493;64;75;36;8;4;1;22;21;4;6;8;2;0;4;1;;2;75;1;;1;0
Moergestel;G0816;11191;Noord-Brabant;P30;4479;3709;;15;3694;634;1633;673;482;99;44;44;3;0;5;31;26;5;2;2;2;0;0;5;0;0;2;1;1;0;0
Monster;G0562;10019;Zuid-Holland;P28;14681;11805;;26;11779;1440;3881;3259;1127;324;120;446;264;453;216;52;68;40;17;15;7;5;6;5;10;3;1;11;7;1;1
Montfoort;G0335;10033;Utrecht;P26;9387;8075;;15;8060;1041;2340;2017;1172;193;239;141;211;459;79;40;51;16;17;5;4;0;9;6;5;4;5;1;1;3;1
Mook en Middelaar;G0944;10271;Limburg;P31;5664;4724;;13;4711;968;1274;1073;818;204;185;49;13;5;15;30;30;3;15;7;2;0;3;6;0;2;3;0;;1;5
Moordrecht;G0563;10120;Zuid-Holland;P28;5276;4210;;20;4190;949;754;997;672;81;71;143;98;206;58;34;33;20;11;40;4;3;2;6;1;2;1;0;;1;3
Muiden;G0424;10958;Noord-Holland;P27;5197;4576;;9;4567;1015;805;1517;759;124;109;88;22;19;19;9;34;5;11;3;3;8;2;3;0;2;4;0;5;0;1
Naaldwijk;G0565;11418;Zuid-Holland;P28;20705;17179;;17;17162;1920;6561;5095;1623;310;152;500;320;198;137;46;85;95;16;9;8;4;16;14;11;1;5;12;12;3;9
Naarden;G0425;10187;Noord-Holland;P27;12727;10919;;8;10911;1744;1885;4329;1700;347;270;151;104;66;72;27;66;32;39;17;14;2;8;7;5;8;7;3;1;3;4
Nederhorst den Berg;G0426;10715;Noord-Holland;P27;4099;3492;;9;3483;610;848;1104;552;82;72;61;29;10;22;30;18;8;13;0;9;3;4;0;0;3;0;1;2;0;2
Nederlek;G0643;10050;Zuid-Holland;P28;11139;9343;;29;9314;2575;1280;2282;1462;156;170;273;176;635;93;50;36;59;17;9;5;6;1;6;5;4;6;5;;1;2
Nederweert;G0946;10681;Limburg;P31;11926;9265;;44;9221;1997;3376;1510;1149;394;114;230;12;9;27;59;61;11;27;7;7;1;11;10;1;3;0;195;;6;4
Neede;G0266;10367;Gelderland;P25;8571;7244;;17;7227;2380;1956;1271;939;121;125;115;52;5;102;18;55;16;16;6;6;7;11;11;2;4;4;0;;5;0
Neerijnen;G0304;10125;Gelderland;P25;8084;6789;;20;6769;1804;1448;1445;649;117;103;228;119;688;60;21;28;16;10;1;7;3;8;9;;1;1;0;;2;1
Niedorp;G0412;10923;Noord-Holland;P27;7812;6354;;23;6331;1810;1300;1451;1006;232;189;114;9;1;15;34;49;15;35;0;13;3;21;3;4;7;2;3;10;2;3
Nieuwegein;G0356;10374;Utrecht;P26;42293;33524;;43;33481;7272;5867;8095;6765;1377;1169;886;400;231;281;346;227;123;100;97;37;20;15;27;23;35;20;10;39;11;8
Nieuwerkerk aan den IJssel;G0567;10855;Zuid-Holland;P28;13348;10780;;23;10757;2005;1980;3117;1720;274;123;266;369;442;183;59;67;60;25;21;8;7;6;5;3;6;1;4;;4;2
Nieuw-Ginneken;G0817;10406;Noord-Brabant;P30;9170;7883;;21;7862;1340;2223;2008;1416;345;131;128;19;10;23;47;70;15;21;5;8;4;11;9;10;1;7;1;3;2;5
Nieuwkoop;G0569;10728;Zuid-Holland;P28;8117;6494;;15;6479;983;1897;1722;992;113;176;122;144;129;38;23;46;28;7;0;9;4;12;12;0;12;4;2;;3;1
