RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);CDA;VVD;Democraten 66 (D66);Algemeen Ouderen Verbond (AOV);GL;Centrumdemocraten;Reformatorische Politieke Federatie (RPF);Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);SP (Socialistische Partij);Ouderen Unie 55+;Centrumpartij;Natuurwetpartij;Vrije Indische Partij;De Groenen;Nieuwe Communistische Partij;Solidariteit Boerenpartij;Partij voor Milieu en Recht;Solidair '93;Pacifistisch Socialistische Partij '92;De Nieuwe Partij;Algemeen Democratische Partij;Patriottisch Democratisch Appèl;Socialistische Arbeiderspartij;Libertarische Partij
Diessen;G0763;11185;Noord-Brabant;P30;3053;2527;;6;2521;359;1204;418;303;72;54;44;5;11;2;12;16;4;2;0;5;0;5;1;0;0;1;1;1;0;1
Diever;G0111;10418;Drenthe;P22;2831;2561;;4;2557;884;528;544;323;89;43;32;24;1;22;8;18;0;9;3;0;1;2;2;0;3;9;10;;1;1
Dinteloord en Prinsenland;G0764;11193;Noord-Brabant;P30;4358;3483;;14;3469;883;793;712;370;103;52;121;128;198;20;9;35;16;6;2;13;0;2;2;1;2;0;0;0;0;1
Dinxperlo;G0219;11154;Gelderland;P25;6059;4621;;21;4600;1064;1971;576;576;119;64;56;79;10;19;13;21;8;6;1;7;0;1;5;0;1;1;1;;1;0
Dirksland;G0504;11344;Zuid-Holland;P28;5696;4702;;17;4685;945;763;721;455;103;61;116;298;1082;43;20;19;9;10;3;5;5;6;7;6;4;2;0;2;0;0
Dodewaard;G0220;10647;Gelderland;P25;3011;2550;;3;2547;831;511;389;298;46;31;48;86;247;27;4;10;5;3;2;2;2;2;0;0;0;1;2;;0;0
Doesburg;G0221;10327;Gelderland;P25;7914;6333;;14;6319;1890;1203;964;953;191;153;162;56;15;55;567;33;12;15;32;3;2;3;2;1;2;1;2;;1;1
Doetinchem;G0222;10396;Gelderland;P25;32946;26291;;75;26216;7763;6004;4403;4354;891;964;452;282;214;152;238;185;45;51;73;26;6;16;25;14;20;24;2;;8;4
Domburg;G0660;10236;Zeeland;P29;3004;2864;;5;2859;501;691;609;335;109;68;42;131;274;41;5;24;1;8;0;4;0;2;2;;2;6;3;;1;0
Dongen;G0766;11412;Noord-Brabant;P30;16160;12535;;21;12514;2730;3409;2097;2193;439;217;201;33;24;28;770;167;29;33;29;17;4;15;19;4;15;14;0;6;13;8
Dongeradeel;G0058;10198;Fryslân;P21;17963;14925;;40;14885;3326;6732;1339;1337;211;234;116;752;117;460;50;56;25;24;5;15;18;14;8;17;10;12;3;;1;3
Doorn;G0315;10213;Utrecht;P26;8254;6802;;29;6773;1038;1484;2138;1033;220;187;100;143;198;82;10;49;9;23;18;7;8;3;1;0;3;13;0;4;2;0
Dordrecht;G0505;11157;Zuid-Holland;P28;82662;62156;;122;62034;16584;9551;11778;11280;1901;2273;2397;1358;1628;790;510;694;295;177;273;99;54;17;66;43;59;49;15;97;19;27
Drechterland;G0498;10642;Noord-Holland;P27;6468;5452;;8;5444;947;1688;1395;784;178;144;84;30;3;15;15;40;10;20;9;11;1;9;4;12;3;2;31;5;0;4
Driebergen-Rijsenburg;G0316;10777;Utrecht;P26;14044;11704;;17;11687;2052;2539;2979;1872;432;488;167;330;326;185;34;74;24;33;20;30;1;7;7;3;8;58;0;10;6;2
Dronten;G0303;10210;Flevoland;P24;20329;17054;;19;17035;2890;4645;4367;2125;523;332;249;517;155;628;127;214;43;42;12;70;20;23;10;7;11;6;;15;0;4
Drunen;G0767;10428;Noord-Brabant;P30;13413;11050;;33;11017;2031;3144;2216;1811;744;199;285;33;26;34;214;119;39;19;31;9;2;16;13;3;2;3;2;8;2;12
Druten;G0225;10068;Gelderland;P25;11492;9002;;20;8982;2630;2415;1518;1431;318;180;215;13;13;13;83;56;20;17;11;7;0;10;17;;2;8;3;;1;1
Duiveland;G0662;11237;Zeeland;P29;4148;3524;;10;3514;675;534;726;343;52;18;51;191;841;39;9;17;3;5;0;1;0;6;0;;1;0;1;;1;0
Duiven;G0226;11028;Gelderland;P25;16741;13423;;28;13395;2788;3312;2783;2994;507;316;192;79;10;106;89;68;33;26;31;6;3;14;14;5;9;5;1;;2;2
Dussen;G0769;10261;Noord-Brabant;P30;4767;3913;;9;3904;827;1093;736;606;150;40;146;87;78;38;12;29;27;2;1;4;1;6;4;1;0;8;1;5;0;2
Dwingeloo;G0112;10331;Drenthe;P22;3040;2828;;7;2821;914;575;635;396;65;67;40;27;7;13;11;12;1;12;1;1;3;10;2;3;2;3;19;;1;1
Echt;G0902;10941;Limburg;P31;14579;11031;;0;11031;2579;3345;1298;1297;1409;393;386;18;19;48;59;22;20;52;11;13;6;13;8;10;6;6;3;;5;5
Echteld;G0227;10832;Gelderland;P25;5094;4312;;10;4302;1252;696;859;463;71;41;82;104;597;47;14;23;9;4;4;2;1;5;2;;4;2;15;;1;4
Edam-Volendam;G0385;10884;Noord-Holland;P27;19226;15547;;22;15525;2107;5631;4602;1409;528;266;441;37;19;118;39;121;44;50;6;14;10;8;19;5;4;4;4;26;9;4
Ede;G0228;10743;Gelderland;P25;70595;59377;;168;59209;8191;14182;12173;7226;1664;1398;1267;4091;6357;1009;275;375;109;111;276;62;20;248;48;23;21;27;34;;11;11
Eelde;G0113;10622;Drenthe;P22;8353;7178;;8;7170;2315;873;2080;1307;186;135;54;43;7;43;17;14;12;26;7;9;5;13;11;3;2;1;3;;4;0
Eemnes;G0317;10248;Utrecht;P26;5777;5012;;10;5002;768;1213;1575;835;115;115;69;112;41;34;20;32;20;16;8;5;2;9;0;3;4;1;1;2;0;2
Eemsmond;G1651;10246;Groningen;P20;12311;10414;;38;10376;3613;2513;1276;896;247;243;113;159;35;988;101;47;17;20;1;26;14;19;9;11;10;5;10;;2;1
Eersel;G0770;10741;Noord-Brabant;P30;9252;7592;;19;7573;1338;2773;1462;1141;324;175;111;40;8;17;44;51;21;24;11;2;1;10;7;;6;2;2;1;0;2
Egmond;G0357;10421;Noord-Holland;P27;9068;7434;;13;7421;1707;1735;1974;1020;288;199;200;28;6;20;28;69;30;50;1;21;3;2;9;5;8;2;0;9;1;6
Eibergen;G0229;10436;Gelderland;P25;12600;10456;;18;10438;2683;4077;1694;1160;140;264;101;49;1;43;68;49;23;12;3;18;5;17;13;1;5;7;1;;3;1
Eijsden;G0905;10314;Limburg;P31;8851;6908;;43;6865;1728;2254;1129;1002;257;178;131;9;4;22;29;43;7;28;8;7;5;4;6;3;4;1;1;;3;2
Eindhoven;G0772;11298;Noord-Brabant;P30;151358;113696;;258;113438;23413;22530;18469;20309;14104;4947;3126;638;201;645;2327;630;409;351;267;139;60;112;142;;136;159;18;36;190;80
Elburg;G0230;11113;Gelderland;P25;15323;12993;;40;12953;1581;3392;1981;1144;216;121;154;1802;1868;379;18;80;35;24;21;8;3;101;5;4;3;3;9;;1;0
Elst;G0231;11188;Gelderland;P25;14482;11324;;27;11297;2409;3171;2139;2511;235;303;134;44;38;58;66;51;18;22;24;18;1;5;8;1;10;3;17;;8;3
Emmen;G0114;11180;Drenthe;P22;72295;56033;;94;55939;22475;11880;6396;7694;965;1296;658;1055;85;723;1417;477;167;99;34;97;84;58;42;48;68;30;30;;41;20
Enkhuizen;G0388;10729;Noord-Holland;P27;11913;9584;;32;9552;2687;1798;1782;1641;384;402;144;212;136;46;54;108;10;41;4;11;15;6;6;5;27;10;3;10;3;7
Enschede;G0153;10364;Overijssel;P23;111646;84332;;208;84124;26652;15029;14291;13485;2137;3261;1599;1075;177;2419;1141;1340;324;205;255;142;230;56;61;41;84;52;15;;23;30
