RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);CDA;VVD;Democraten 66 (D66);Staatkundig Gereformeerde Partij (SGP);Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Democratisch Socialisten '70;Reformatorische Politieke Federatie (RPF);Nederlandse Volks Unie (NVU);Rooms Katholieke Partij Nederland (RKPN);SP (Socialistische Partij);Federatie Bejaardenpartijen Nederland;Verbond tegen Ambtelijke Willekeur;KEN;Democratisch Actie Centrum;Partij van de Belastingbetalers;Europese Conservatieve Unie;Lijst-JUSIA;Nederlandse Middenstands Partij;Lijst-Griek
Aalburg;G0738;11084;Noord-Brabant;P30;6199;5496;26;;5470;1026;1943;656;123;1404;15;23;59;6;74;11;115;6;4;1;2;;;2;;;;;
Aalsmeer;G0358;11264;Noord-Holland;P27;13988;12842;93;;12749;3101;4508;3441;774;113;105;146;76;94;68;125;122;51;7;14;;2;1;1;;;;;
Aalten;G0197;11046;Gelderland;P25;11684;10708;46;;10662;2200;6438;1146;218;43;17;124;106;38;94;40;143;11;31;11;;1;;1;;;;;
Aardenburg;G0648;11020;Zeeland;P29;2573;2285;15;;2270;590;848;540;54;7;7;30;10;18;125;5;1;3;29;2;;;1;;;;;;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;3247;2874;12;;2862;687;1468;465;144;1;6;24;1;11;31;10;1;2;3;5;1;;2;;;;;;
Abbekerk;G0359;10439;Noord-Holland;P27;1332;1174;6;;1168;355;323;285;89;5;17;26;1;11;9;21;4;5;17;;;;;;;;;;
Abbenbroek;G0481;11026;Zuid-Holland;P28;841;761;5;;756;302;121;214;51;13;4;7;8;4;8;10;6;7;1;;;;;;;;;;
Abcoude;G0305;10712;Utrecht;P26;5091;4799;30;;4769;840;1611;1486;387;83;31;89;41;43;26;44;36;21;25;3;3;;;;;;;;
Achtkarspelen;G0059;10199;Fryslân;P21;16179;14807;81;;14726;5066;7024;915;262;217;131;105;481;40;76;35;360;11;;1;;1;;1;;;;;
Adorp;G0001;10996;Groningen;P20;1158;1114;6;;1108;271;402;168;43;2;2;51;111;12;20;8;9;7;;1;;;;1;;;;;
Aduard;G0002;10999;Groningen;P20;1844;1735;5;;1730;526;587;295;77;5;14;31;143;17;9;8;11;2;1;3;;;;1;;;;;
Akersloot;G0360;10346;Noord-Holland;P27;3010;2791;15;;2776;693;1129;553;210;;26;63;4;24;24;22;4;3;15;4;;1;;;1;;;;
Alblasserdam;G0482;11327;Zuid-Holland;P28;11750;10633;59;;10574;4777;2204;1357;513;1102;56;91;145;64;41;45;128;32;2;5;8;;3;1;;;;;
Alkemade;G0483;10349;Zuid-Holland;P28;8010;7280;42;;7238;1071;4129;1365;314;16;19;90;3;72;51;41;9;9;36;6;3;4;;;;;;;
Alkmaar;G0361;10527;Noord-Holland;P27;46237;40752;202;;40550;15287;10535;7872;3009;54;954;952;153;497;268;376;140;133;214;57;;10;10;17;12;;;;
Almelo;G0141;11053;Overijssel;P23;41436;36990;142;;36848;15686;11484;4978;1787;185;741;467;251;167;322;171;219;93;127;138;;8;17;7;;;;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;30935;27306;195;;27111;7296;9594;6126;1653;703;134;516;217;146;91;155;268;68;89;15;16;7;6;11;;;;;
Alphen en Riel;G0741;10710;Noord-Brabant;P30;3588;3284;20;;3264;572;1838;626;121;1;5;35;4;14;27;9;;2;5;2;3;;;;;;;;
Ambt Delden;G0142;11400;Overijssel;P23;3557;3435;6;;3429;441;2387;370;71;1;3;15;3;8;84;7;2;2;32;;;1;2;;;;;;
Ameide;G0485;11349;Zuid-Holland;P28;1848;1747;22;;1725;542;690;172;53;171;8;10;12;8;30;11;17;;;;;;;1;;;;;
Ameland;G0060;11153;Fryslân;P21;2060;2846;7;;2839;794;1183;489;157;6;20;59;26;31;27;26;12;2;;4;2;;;1;;;;;
Amerongen;G0306;11372;Utrecht;P26;4239;3997;37;;3960;1043;1145;1000;172;353;16;34;39;13;61;21;39;13;6;3;;;;2;;;;;
Amersfoort;G0307;10948;Utrecht;P26;60535;53056;396;;52660;15898;15781;10716;3962;870;683;867;1659;485;312;418;267;178;196;186;136;16;25;5;;;;;
Ammerstol;G0486;10863;Zuid-Holland;P28;1061;985;8;;977;577;59;145;74;24;49;12;2;14;3;9;2;7;;;;;;;;;;;
Ammerzoden;G0198;10151;Gelderland;P25;2581;2382;9;;2373;537;1344;281;63;59;4;19;8;5;14;4;8;1;20;5;;1;;;;;;;
Amstelveen;G0362;10799;Noord-Holland;P27;51766;46944;278;;46666;11359;11547;14940;4540;175;629;1118;149;765;207;626;182;215;100;87;;8;10;9;;;;;
Amstenrade;G0884;10062;Limburg;P31;2417;2159;25;;2134;643;927;344;66;2;23;37;3;17;10;8;2;1;36;4;;10;;1;;;;;
Amsterdam;G0363;11150;Noord-Holland;P27;551008;460958;2118;;458840;202212;63907;76357;32011;977;40380;11099;1402;10462;2630;6610;886;5721;1392;1398;572;209;278;179;;;91;;67
Andijk;G0364;10822;Noord-Holland;P27;3448;3125;14;;3111;795;1330;401;162;56;95;67;17;27;60;21;57;7;10;;;1;;2;3;;;;
Angerlo;G0199;11131;Gelderland;P25;2817;2562;7;;2555;803;1214;307;119;2;6;30;3;12;24;12;1;5;8;5;;;4;;;;;;
Anloo;G0105;10787;Drenthe;P22;4619;4201;15;;4186;2040;268;1288;231;5;65;72;15;40;74;38;13;18;3;5;;3;3;5;;;;;
Anna Paulowna;G0366;10344;Noord-Holland;P27;6359;5654;32;;5622;1529;1652;1766;263;29;65;89;55;29;33;55;19;11;20;1;;1;1;;4;;;;
Apeldoorn;G0200;11075;Gelderland;P25;94158;84106;342;;83764;27936;25066;17837;4600;2141;532;1401;687;444;1151;618;792;209;223;58;;11;21;30;;7;;;
Appeltern;G0201;11296;Gelderland;P25;2773;2522;15;;2507;451;1677;209;53;9;4;30;1;13;35;4;2;;16;2;;;;1;;;;;
Appingedam;G0003;10886;Groningen;P20;9240;8090;66;;8024;3789;2196;1038;278;24;209;93;162;45;49;45;40;20;3;29;;2;2;;;;;;
Arcen en Velden;G0885;10202;Limburg;P31;4990;4473;18;;4455;720;2603;747;146;2;8;78;1;40;43;8;1;7;45;1;;4;;1;;;;;
Arkel;G0487;10079;Zuid-Holland;P28;2115;1960;10;;1950;971;371;360;104;34;14;30;5;10;10;22;10;4;1;;1;2;;1;;;;;
Arnemuiden;G0649;11419;Zeeland;P29;2239;1979;17;;1962;515;510;152;49;540;2;9;45;5;13;3;109;8;1;;;;1;;;;;;
Arnhem;G0202;10795;Gelderland;P25;91939;78540;326;;78214;31942;20330;14449;4568;306;865;1636;456;1024;482;532;276;425;296;515;;28;33;30;;21;;;
Asperen;G0488;11369;Zuid-Holland;P28;1748;1563;2;;1561;412;527;304;51;173;3;31;12;4;9;8;22;1;4;;;;;;;;;;
Assen;G0106;10522;Drenthe;P22;30674;27011;126;;26885;11417;6026;4421;1620;68;296;596;1441;297;135;153;225;80;36;33;;11;12;18;;;;;
Asten;G0743;10478;Noord-Brabant;P30;8409;7557;37;;7520;1191;4635;958;335;6;18;129;1;55;82;28;3;6;54;9;2;5;1;2;;;;;
Avenhorn;G0368;11147;Noord-Holland;P27;1721;1596;14;;1582;448;555;376;93;2;22;29;;6;8;6;4;10;21;2;;;;;;;;;
Avereest;G0143;11190;Overijssel;P23;8835;7913;16;;7897;2097;3725;1135;228;69;22;55;124;17;185;33;171;20;9;5;;;1;1;;;;;
Axel;G0650;11289;Zeeland;P29;8114;6993;36;;6957;2240;2351;1076;230;111;34;63;621;20;87;31;18;11;55;3;;2;;4;;;;;
Baarderadeel;G0061;10422;Fryslân;P21;3392;3105;14;;3091;1229;865;647;167;7;22;59;13;26;19;19;11;1;;3;2;;1;;;;;;
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;3609;3224;17;;3207;592;1835;565;59;1;7;45;;17;47;10;1;2;18;1;6;1;;;;;;;
Baarn;G0308;11411;Utrecht;P26;17555;15406;119;;15287;4024;4180;4397;1048;321;105;316;151;186;99;138;136;48;48;40;16;31;1;2;;;;;
Baexem;G0886;11255;Limburg;P31;1438;1274;5;;1269;187;818;171;29;;2;17;;9;18;5;;2;9;;;1;;1;;;;;
Baflo;G0004;10539;Groningen;P20;2011;1869;6;;1863;584;761;278;53;6;9;36;75;23;4;12;12;3;1;3;;;1;2;;;;;
Bakel en Milheeze;G0745;10749;Noord-Brabant;P30;4429;3881;20;;3861;640;2576;403;91;1;14;34;;21;37;13;3;4;13;1;7;;;3;;;;;
Barendrecht;G0489;10943;Zuid-Holland;P28;10757;9935;49;;9886;2458;3256;2227;554;718;24;110;110;46;33;63;225;47;5;5;2;3;;;;;;;
Barneveld;G0203;10906;Gelderland;P25;21938;20656;73;;20583;2552;7772;3582;745;3934;50;155;242;41;733;69;599;76;12;9;;1;4;1;;6;;;
Barradeel;G0062;10156;Fryslân;P21;4510;4151;37;;4114;1142;2253;335;112;12;28;38;65;25;20;18;53;9;;;2;;;2;;;;;
Barsingerhorn;G0369;10973;Noord-Holland;P27;2465;2208;11;;2197;1126;229;597;93;6;55;19;7;10;20;18;4;3;4;;;;;;6;;;;
Batenburg;G0204;10921;Gelderland;P25;387;364;2;;362;62;215;31;19;2;;14;;2;15;;;;2;;;;;;;;;;
Bathmen;G0144;11030;Overijssel;P23;3248;3064;12;;3052;862;703;1073;231;2;6;43;8;13;64;27;8;5;2;2;;2;;1;;;;;
Bedum;G0005;10425;Groningen;P20;6222;5859;15;;5844;1519;2539;581;215;34;16;71;741;47;21;15;34;5;2;4;;;;;;;;;
Beegden;G0887;11089;Limburg;P31;1118;963;5;;958;225;485;168;36;;5;17;;4;7;1;;2;8;;;;;;;;;;
Beek;G0888;11374;Limburg;P31;8661;7560;69;;7491;2171;3134;1455;271;5;50;106;1;46;77;46;2;15;71;18;;19;1;3;;;;;
Beek en Donk;G0746;10173;Noord-Brabant;P30;5256;4611;35;;4576;1094;2563;497;167;2;63;51;;28;39;43;2;6;6;8;1;3;3;;;;;;
Beemster;G0370;10816;Noord-Holland;P27;5417;4970;15;;4955;1403;1287;1533;290;11;92;93;7;78;39;60;10;17;28;2;;;2;1;2;;;;
Beers;G0747;11410;Noord-Brabant;P30;1863;1730;2;;1728;247;1240;133;38;;1;23;;14;18;5;1;3;4;1;;;;;;;;;
Beerta;G0006;11043;Groningen;P20;2319;2125;28;;2097;916;80;211;31;4;785;18;7;12;4;8;9;4;1;2;;1;4;;;;;;
Beesd;G0205;10259;Gelderland;P25;2690;2504;10;;2494;649;1089;470;85;79;8;13;10;20;28;11;11;6;12;2;;;;1;;;;;
Beesel;G0889;10195;Limburg;P31;7139;6179;61;;6118;1605;3140;846;168;3;25;93;3;28;95;24;5;12;49;8;;10;2;2;;;;;
Beilen;G0107;10520;Drenthe;P22;9040;8305;36;;8269;3388;2567;1367;259;33;28;128;188;40;158;32;28;25;7;12;;4;1;4;;;;;
Belfeld;G0890;10292;Limburg;P31;2978;2639;18;;2621;642;1497;304;66;2;6;37;1;16;21;7;;2;13;1;;4;2;;;;;;
Bellingwedde;G0007;10340;Groningen;P20;6929;6291;43;;6248;3540;797;928;137;12;578;47;26;35;49;24;44;17;3;4;;2;5;;;;;;
Bemelen;G0891;10878;Limburg;P31;247;242;0;;242;49;125;39;10;;2;4;1;4;3;;;;4;;;;1;;;;;;
Bemmel;G0206;10744;Gelderland;P25;9451;8343;27;;8316;2104;4711;837;304;10;25;118;5;33;92;23;3;11;25;12;;;2;1;;;;;
Bennebroek;G0372;10734;Noord-Holland;P27;4115;3632;40;;3592;511;1232;1287;290;20;23;73;18;34;23;37;21;5;10;4;;2;1;1;;;;;
Benschop;G0309;11330;Utrecht;P26;2002;1889;16;;1873;256;882;303;71;284;4;6;4;3;16;5;26;1;12;;;;;;;;;;
Benthuizen;G0490;10398;Zuid-Holland;P28;1707;1600;5;;1595;319;345;388;93;379;8;7;12;2;11;13;12;3;;3;;;;;;;;;
Berg en Terblijt;G0892;10796;Limburg;P31;2749;2530;25;;2505;547;1247;488;52;2;11;62;;6;28;12;1;5;25;5;;10;4;;;;;;
Bergambacht;G0491;10962;Zuid-Holland;P28;3462;3226;29;;3197;960;677;737;139;533;25;22;11;6;33;23;20;8;1;;2;;;;;;;;
Bergen;G0373;11424;Noord-Holland;P27;10256;9561;40;;9521;2439;2455;3053;800;11;81;216;12;128;128;103;32;33;19;8;;;;2;1;;;;
Bergen;G0893;11281;Limburg;P31;8096;6949;63;;6886;1432;4094;794;242;3;10;94;4;26;91;18;3;11;48;9;;2;3;2;;;;;
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;29239;24560;165;;24395;8071;8592;5007;1198;35;143;373;51;139;257;146;19;104;136;44;44;18;12;6;;;;;
Bergeyk;G0749;11160;Noord-Brabant;P30;5832;5266;28;;5238;827;3197;742;224;6;17;85;1;18;60;14;1;13;25;3;2;;3;;;;;;
Bergh;G0207;10350;Gelderland;P25;12084;10574;62;;10512;2611;5717;1153;239;24;47;149;18;40;265;49;9;19;141;19;;3;9;;;;;;
Bergharen;G0208;10883;Gelderland;P25;1529;1445;3;;1442;234;946;147;36;5;1;26;4;7;12;3;2;1;11;5;;1;;1;;;;;
Berghem;G0750;10733;Noord-Brabant;P30;3302;2870;20;;2850;1076;1170;239;115;;13;23;2;13;54;13;;4;13;108;6;;;1;;;;;
Bergschenhoek;G0492;10445;Zuid-Holland;P28;4112;3805;37;;3768;822;1450;926;205;114;17;35;93;5;33;18;15;9;19;3;1;2;;1;;;;;
Berkel en Rodenrijs;G0493;10139;Zuid-Holland;P28;8530;7968;42;;7926;1365;3516;1754;441;51;24;82;529;24;29;37;19;22;18;12;1;;1;1;;;;;
Berkel-Enschot;G0751;11132;Noord-Brabant;P30;5927;5471;21;;5450;844;2659;1370;335;6;10;91;5;27;31;33;7;5;16;6;3;;1;1;;;;;
Berkenwoude;G0494;10797;Zuid-Holland;P28;948;902;5;;897;180;129;337;57;150;5;7;3;4;12;6;6;1;;;;;;;;;;;
Berkhout;G0374;10354;Noord-Holland;P27;3290;3026;12;;3014;756;1159;708;183;1;32;45;3;25;18;24;1;3;49;6;;;;1;;;;;
Berlicum;G0752;10362;Noord-Brabant;P30;5043;4383;1;;4382;960;2263;668;210;4;17;107;10;24;38;33;;2;15;23;4;3;;1;;;;;
Best;G0753;10442;Noord-Brabant;P30;10867;9275;39;;9236;2811;4195;1322;421;16;49;162;9;43;68;27;9;20;44;22;8;6;3;1;;;;;
Beuningen;G0209;10417;Gelderland;P25;5600;5001;20;;4981;1485;2201;776;216;4;14;76;9;50;46;13;10;5;22;52;;;2;;;;;;
Beusichem;G0210;11182;Gelderland;P25;1921;1760;6;;1754;623;363;508;85;67;8;18;6;5;29;19;7;8;4;2;;1;;1;;;;;
Beverwijk;G0375;10272;Noord-Holland;P27;25557;22468;211;;22257;8709;6290;3688;1496;55;661;439;80;205;147;178;76;78;108;20;;10;11;6;;;;;
Bierum;G0008;11294;Groningen;P20;2789;2540;18;;2522;767;1240;304;68;7;16;39;41;6;12;1;14;3;;1;;3;;;;;;;
Bingelrade;G0894;10967;Limburg;P31;593;551;5;;546;121;332;37;16;;4;9;;7;13;2;;2;;;;1;;2;;;;;
Bladel en Netersel;G0754;11006;Noord-Brabant;P30;5620;4915;21;;4894;902;2889;677;197;2;25;61;6;42;39;19;2;6;17;7;1;2;;;;;;;
Blaricum;G0376;10493;Noord-Holland;P27;6338;5822;48;;5774;1194;1472;2118;493;23;46;114;19;75;59;83;21;19;27;5;;6;;;;;;;
Bleiswijk;G0495;10994;Zuid-Holland;P28;4579;4267;16;;4251;733;1685;1138;297;225;5;35;35;5;19;36;21;4;8;1;3;1;;;;;;;
Bleskensgraaf en Hofwegen;G0496;10451;Zuid-Holland;P28;1427;1326;22;;1304;248;417;155;54;344;7;11;21;6;14;6;17;3;1;;;;;;;;;;
Bloemendaal;G0377;10850;Noord-Holland;P27;13470;12154;96;;12058;1916;3133;5220;937;44;57;168;72;112;46;203;33;29;71;6;;7;3;1;;;;;
Blokker;G0378;10804;Noord-Holland;P27;2295;2124;18;;2106;380;1013;418;110;2;6;43;2;16;21;9;2;3;80;1;;;;;;;;;
Bocholtz;G0895;10986;Limburg;P31;3527;3160;40;;3120;1093;1492;272;76;2;55;40;2;12;23;9;;5;23;5;;9;2;;;;;;
Bodegraven;G0497;11091;Zuid-Holland;P28;10092;9083;61;;9022;1869;3840;1724;480;535;36;99;121;55;59;38;122;9;18;11;1;1;1;3;;;;;
Boekel;G0755;10432;Noord-Brabant;P30;4922;4373;26;;4347;686;2905;476;106;2;9;34;1;23;32;20;2;14;20;11;4;1;;1;;;;;
Bolsward;G0064;10865;Fryslân;P21;6554;5895;31;;5864;1771;2992;536;256;25;28;99;33;32;19;16;22;7;21;4;;2;;1;;;;;
Borculo;G0211;11307;Gelderland;P25;6687;6216;23;;6193;2367;1706;1459;347;10;20;69;29;28;89;28;13;12;8;5;;1;1;1;;;;;
Borger;G0108;10448;Drenthe;P22;8279;7806;40;;7766;3803;1706;1449;288;10;101;117;63;36;61;45;42;14;7;9;;4;2;9;;;;;
Born;G0897;10927;Limburg;P31;5035;4502;45;;4457;1174;2350;589;142;2;22;58;;24;27;18;;7;14;2;;23;3;2;;;;;
Borne;G0147;10326;Overijssel;P23;12341;11557;35;;11522;3384;5678;1333;508;24;64;159;38;38;110;34;24;17;80;23;;2;2;4;;;;;
Borsele;G0654;10043;Zeeland;P29;11890;10690;38;;10652;2499;4596;1357;363;1096;23;149;104;37;154;34;113;22;95;5;;2;2;1;;;;;
Boskoop;G0499;10419;Zuid-Holland;P28;8758;8068;60;;8008;1657;3047;2066;420;316;38;106;50;73;41;36;80;17;42;16;;2;;1;;;;;
Bovenkarspel;G0379;10945;Noord-Holland;P27;5579;4959;21;;4938;1582;1635;925;392;12;101;107;6;28;30;42;2;27;43;5;;;;1;;;;;
Boxmeer;G0756;11227;Noord-Brabant;P30;8400;7424;33;;7391;1865;4076;811;283;3;26;129;3;52;47;15;1;5;36;34;;5;;;;;;;
Boxtel;G0757;10083;Noord-Brabant;P30;15060;12935;72;;12863;4000;5758;1707;693;9;39;217;11;66;108;46;1;22;78;84;15;2;4;3;;;;;
Brakel;G0212;11125;Gelderland;P25;4022;3584;21;;3563;1131;845;274;88;1045;8;24;22;12;64;10;31;5;1;3;;;;;;;;;
Brandwijk;G0500;10169;Zuid-Holland;P28;759;699;7;;692;141;244;114;22;144;;4;6;1;4;3;5;1;;;3;;;;;;;;
Breda;G0758;10154;Noord-Brabant;P30;85039;71850;496;;71354;25101;22680;13992;4305;125;545;1365;102;918;663;421;61;245;472;124;131;41;33;30;;;;;
Brederwiede;G0194;11088;Overijssel;P23;7713;7155;27;;7128;2197;2755;910;271;83;38;62;553;27;100;37;81;5;5;1;;3;;;;;;;
Breukelen;G0311;10807;Utrecht;P26;6904;6276;35;;6241;1226;2082;1635;504;335;33;107;72;36;54;45;74;15;15;5;2;;1;;;;;;
Brielle;G0501;10232;Zuid-Holland;P28;6945;6298;31;;6267;2395;1253;1706;513;57;36;105;13;42;23;29;34;38;16;2;1;2;1;1;;;;;
Broek in Waterland;G0380;10289;Noord-Holland;P27;1805;1639;11;;1628;500;323;515;147;13;29;33;2;18;22;15;4;3;2;;;;1;;1;;;;
Broekhuizen;G0898;10856;Limburg;P31;1130;1026;4;;1022;165;642;130;31;;5;8;;14;14;1;;1;10;;;1;;;;;;;
Brouwershaven;G0656;10030;Zeeland;P29;2522;2337;10;;2327;988;407;569;104;76;18;34;74;11;16;15;9;5;1;;;;;;;;;;
Bruinisse;G0657;11291;Zeeland;P29;2136;2015;10;;2005;581;477;373;72;391;3;16;22;8;16;11;24;7;1;2;;1;;;;;;;
Brummen;G0213;10798;Gelderland;P25;13367;12280;38;;12242;5898;2756;2215;638;43;77;159;49;63;167;95;30;18;19;10;;1;;2;;2;;;
Brunssum;G0899;10533;Limburg;P31;18215;15361;144;;15217;6203;5972;1455;371;9;338;303;65;94;101;50;4;28;140;37;;30;11;6;;;;;
Budel;G0759;10219;Noord-Brabant;P30;7156;5966;28;;5938;1554;3237;634;215;1;9;53;3;31;91;23;;11;46;2;16;11;;1;;;;;
Bunde;G0900;10831;Limburg;P31;3194;2845;9;;2836;661;1329;590;111;;17;48;;9;16;15;;7;24;4;;4;1;;;;;;
Bunnik;G0312;10820;Utrecht;P26;8470;8008;30;;7978;1450;3082;2019;676;174;45;218;35;97;27;58;31;11;35;17;2;1;;;;;;;
Bunschoten;G0313;11343;Utrecht;P26;9724;9105;94;;9011;782;3117;1177;260;323;15;47;2484;13;41;20;699;11;6;3;4;7;;2;;;;;
Buren;G0214;11286;Gelderland;P25;2109;1932;7;;1925;767;445;410;111;89;7;24;11;5;23;14;9;1;3;3;;2;;1;;;;;
Bussum;G0381;10281;Noord-Holland;P27;27280;24365;251;;24114;5720;6400;7691;1974;242;280;471;159;309;126;303;163;88;149;16;;12;7;4;;;;;
Buurmalsen;G0215;10460;Gelderland;P25;2092;1957;9;;1948;672;526;368;92;185;6;22;9;14;29;12;11;1;1;;;;;;;;;;
Cadier en Keer;G0901;11447;Limburg;P31;2360;2112;19;;2093;413;1013;475;86;;11;33;1;5;15;8;1;5;23;1;;3;;;;;;;
Callantsoog;G0382;10559;Noord-Holland;P27;1727;1659;6;;1653;553;254;624;113;;33;7;7;6;23;20;3;3;2;2;;2;;1;;;;;
Capelle aan den IJssel;G0502;11248;Zuid-Holland;P28;26359;23079;152;;22927;8949;3599;5070;1938;1746;188;244;489;147;53;161;129;151;22;17;8;1;8;7;;;;;
Castricum;G0383;11287;Noord-Holland;P27;15230;13979;66;;13913;3482;4335;3688;1334;15;101;429;28;155;68;151;21;25;57;6;;6;3;4;5;;;;
Chaam;G0760;11433;Noord-Brabant;P30;2293;2230;21;;2209;398;1163;418;92;8;5;25;3;10;61;9;4;5;4;;3;1;;;;;;;
Coevorden;G0109;10383;Drenthe;P22;8878;8024;35;;7989;3191;3093;1051;287;17;25;75;49;23;49;36;23;9;33;16;;5;3;4;;;;;
Cothen;G0314;11316;Utrecht;P26;1439;1330;4;;1326;270;746;195;33;32;6;11;2;17;1;4;2;;7;;;;;;;;;;
Cuijk en Sint Agatha;G0761;10023;Noord-Brabant;P30;9652;8440;37;;8403;2615;3679;1142;458;3;30;156;;58;102;32;;19;33;63;6;4;2;1;;;;;
Culemborg;G0216;10342;Gelderland;P25;11993;10688;32;;10656;3848;2991;2040;602;195;144;251;51;144;103;60;54;72;59;34;;5;2;1;;;;;
Dalen;G0110;11004;Drenthe;P22;3697;3524;21;;3503;1413;712;1074;119;2;26;27;7;6;71;19;7;8;3;6;;;1;2;;;;;
Dalfsen;G0148;11007;Overijssel;P23;8985;8523;16;;8507;1277;4750;1090;309;82;5;56;561;15;165;29;109;5;52;1;;;;1;;;;;
Dantumadeel;G0065;10650;Fryslân;P21;11882;10605;103;;10502;3126;4806;706;254;733;63;76;280;42;88;31;266;21;3;3;;1;1;2;;;;;
De Bilt;G0310;10168;Utrecht;P26;23647;21840;129;;21711;5071;5574;7071;1946;394;93;419;273;248;70;232;133;34;66;45;22;8;3;9;;;;;
De Lier;G0552;10241;Zuid-Holland;P28;5413;5061;22;;5039;649;2766;1108;189;43;15;26;118;4;39;28;20;15;18;;;1;;;;;;;
De Wijk;G0135;10753;Drenthe;P22;3230;2963;10;;2953;1003;736;905;116;6;14;22;27;20;72;8;7;9;1;3;;1;1;2;;;;;
Deil;G0217;10057;Gelderland;P25;2212;2055;6;;2049;664;581;526;102;60;10;29;11;7;37;12;2;3;4;1;;;;;;;;;
Delft;G0503;10928;Zuid-Holland;P28;62427;55560;213;;55347;20784;13430;9585;4627;776;1629;1592;419;931;193;462;315;215;209;100;21;21;22;9;;7;;;
Delfzijl;G0010;10976;Groningen;P20;15676;13405;60;;13345;6421;3009;1936;637;27;396;177;279;98;64;92;121;33;9;26;;5;10;5;;;;;
Den Dungen;G0768;10491;Noord-Brabant;P30;2528;2349;13;;2336;536;1356;220;116;;5;36;1;10;31;8;;;13;;2;1;;1;;;;;
Den Ham;G0159;10395;Overijssel;P23;8627;7906;23;;7883;1850;4613;468;122;98;16;44;343;15;181;26;82;5;12;8;;;;;;;;;
Den Helder;G0400;10285;Noord-Holland;P27;42243;35325;218;;35107;11581;7938;10809;2031;234;252;431;400;212;183;500;257;146;80;16;;12;5;8;12;;;;
Denekamp;G0149;10245;Overijssel;P23;7350;6973;32;;6941;1190;4614;642;177;11;11;68;4;25;105;10;8;3;69;2;;1;;1;;;;;
Deurne;G0762;10379;Noord-Brabant;P30;17279;14428;69;;14359;3126;8333;1630;473;5;96;205;6;132;153;43;8;25;84;23;5;6;3;3;;;;;
Deventer;G0150;10899;Overijssel;P23;45232;39971;159;;39812;18840;8469;6445;2561;146;887;845;205;375;251;304;164;81;130;73;;15;14;7;;;;;
Didam;G0218;10153;Gelderland;P25;9384;8414;19;;8395;2393;4324;824;259;9;16;114;9;18;251;23;6;20;118;6;;2;2;1;;;;;
Diemen;G0384;11039;Noord-Holland;P27;9753;8740;63;;8677;2808;1829;2137;842;29;258;201;21;232;48;121;35;53;32;19;;6;3;3;;;;;
Diepenheim;G0151;10311;Overijssel;P23;1046;1747;10;;1737;739;354;480;82;4;5;14;4;5;32;15;2;;1;;;;;;;;;;
Diepenveen;G0152;10933;Overijssel;P23;6979;6577;18;;6559;1505;2733;1529;413;15;27;113;11;32;78;39;20;10;30;3;;;1;;;;;;
Diessen;G0763;11185;Noord-Brabant;P30;2079;1964;15;;1949;197;1452;157;56;1;8;27;2;8;24;4;;2;5;3;1;;2;;;;;;
Diever;G0111;10418;Drenthe;P22;2243;2249;15;;2234;889;571;502;78;4;11;28;26;27;46;25;10;2;6;5;;3;1;;;;;;
Dinteloord en Prinsenland;G0764;11193;Noord-Brabant;P30;3574;3210;37;;3173;1085;1104;471;123;253;16;12;19;10;11;8;40;3;13;;1;1;1;2;;;;;
Dinxperlo;G0219;11154;Gelderland;P25;4676;4097;20;;4077;962;2341;534;70;12;9;34;3;13;38;16;21;3;19;2;;;;;;;;;
Dirksland;G0504;11344;Zuid-Holland;P28;4631;4209;59;;4150;1303;788;452;103;1270;15;22;53;13;45;22;47;10;2;;3;1;;;;1;;;
Dodewaard;G0220;10647;Gelderland;P25;2463;2256;8;;2248;969;552;316;78;255;4;12;7;7;29;6;8;1;;2;;2;;;;;;;
Doesburg;G0221;10327;Gelderland;P25;6559;5804;22;;5782;2607;1793;797;227;27;31;68;39;28;33;27;18;4;43;15;;3;13;9;;;;;
Doetinchem;G0222;10396;Gelderland;P25;24285;21420;65;;21355;7890;7295;3615;998;172;120;397;104;133;238;150;68;27;83;50;;4;8;3;;;;;
Dokkum;G0066;10198;Fryslân;P21;7366;6742;34;;6708;1526;3935;546;208;102;25;72;153;13;17;23;78;2;5;1;;1;;1;;;;;
Domburg;G0660;10236;Zeeland;P29;2637;2783;6;;2777;654;934;610;101;304;12;20;41;9;15;21;45;4;5;;;2;;;;;;;
Dongen;G0766;11412;Noord-Brabant;P30;12852;11183;67;;11116;3396;4882;1619;539;8;77;206;7;57;146;33;3;15;67;34;18;5;2;2;;;;;
Doniawerstal;G0067;10086;Fryslân;P21;4070;3829;20;;3809;932;2081;478;136;34;14;44;13;10;25;15;14;2;7;1;;1;;2;;;;;
Doorn;G0315;10213;Utrecht;P26;8434;7126;43;;7083;1390;1948;2487;480;310;30;106;53;53;54;62;61;11;12;12;4;4;2;4;;;;;
