RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);CDA;VVD;Democraten 66 (D66);Staatkundig Gereformeerde Partij (SGP);Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Democratisch Socialisten '70;Reformatorische Politieke Federatie (RPF);Nederlandse Volks Unie (NVU);Rooms Katholieke Partij Nederland (RKPN);SP (Socialistische Partij);Federatie Bejaardenpartijen Nederland;Verbond tegen Ambtelijke Willekeur;KEN;Democratisch Actie Centrum;Partij van de Belastingbetalers;Europese Conservatieve Unie;Lijst-JUSIA;Nederlandse Middenstands Partij;Lijst-Griek
Vledder;G0132;11120;Drenthe;P22;2413;2227;13;;2214;1007;415;492;128;16;32;29;11;10;33;8;12;5;6;4;;2;2;2;;;;;
Vleuten-De Meern;G0347;10658;Utrecht;P26;10633;9891;37;;9854;1691;4182;2596;598;112;38;174;100;70;52;66;36;19;97;16;2;3;2;;;;;;
Vlieland;G0096;10211;Fryslân;P21;734;1076;7;;1069;429;170;293;91;;7;21;2;13;9;17;9;1;1;1;2;2;1;;;;;;
Vlijmen;G0864;11293;Noord-Brabant;P30;8697;7597;58;;7539;1848;3610;1224;411;9;22;77;8;59;138;27;3;16;46;16;20;1;2;2;;;;;
Vlissingen;G0718;10270;Zeeland;P29;30346;25970;109;;25861;11282;5881;4469;1570;717;205;531;264;156;176;211;149;169;43;18;;6;10;4;;;;;
Vlist;G0623;11174;Zuid-Holland;P28;413;392;5;;387;44;172;75;9;68;2;2;1;;10;;2;1;1;;;;;;;;;;
Vlodrop;G0985;10644;Limburg;P31;1390;1197;20;;1177;292;533;233;27;;2;17;;3;22;8;3;1;18;1;;16;;1;;;;;
Voerendaal;G0986;11341;Limburg;P31;5855;5267;55;;5212;1292;2457;912;213;5;49;106;1;43;37;20;;10;52;8;;6;1;;;;;;
Voorburg;G0624;11103;Zuid-Holland;P28;33580;30581;159;;30422;6996;8526;9940;2613;188;130;457;242;240;72;492;113;191;128;34;21;20;4;15;;;;;
Voorhout;G0625;10017;Zuid-Holland;P28;4305;4000;26;;3974;589;1904;954;242;7;25;94;11;49;28;31;3;8;24;1;2;1;;1;;;;;
Voorschoten;G0626;10537;Zuid-Holland;P28;14263;13257;74;;13183;2554;4129;4461;1062;138;42;224;61;104;44;175;60;26;35;50;5;2;2;9;;;;;
Voorst;G0285;10912;Gelderland;P25;15738;13839;48;;13791;4020;5372;2703;585;229;85;154;53;64;255;74;53;30;96;11;;2;1;2;;2;;;
Vorden;G0286;10957;Gelderland;P25;5662;4882;28;;4854;1383;1820;1035;236;35;11;52;23;14;161;28;20;7;21;7;;;1;;;;;;
Vries;G0133;10630;Drenthe;P22;6339;5723;38;;5685;2292;732;1792;310;8;57;117;94;42;110;59;24;28;3;12;;1;2;2;;;;;
Vriezenveen;G0186;10643;Overijssel;P23;10562;9558;37;;9521;2641;4476;757;197;552;24;56;152;11;218;13;398;12;11;;;1;1;1;;;;;
Vught;G0865;11224;Noord-Brabant;P30;16303;14181;62;;14119;3235;6178;2983;895;6;63;230;26;116;126;69;9;24;92;45;8;6;5;3;;;;;
Vuren;G0287;11376;Gelderland;P25;2015;1869;6;;1863;716;599;318;82;40;11;21;15;9;19;10;16;6;;;;;;1;;;;;
Waalre;G0866;10959;Noord-Brabant;P30;9007;8112;29;;8083;1534;3426;2141;576;4;24;126;5;41;61;55;14;16;45;7;5;2;;1;;;;;
Waalwijk;G0867;11359;Noord-Brabant;P30;17854;15538;81;;15457;4403;6140;2938;884;88;99;191;41;126;175;86;60;55;100;41;15;4;7;4;;;;;
Waardenburg;G0288;10238;Gelderland;P25;1453;1365;7;;1358;429;334;158;37;326;6;19;8;4;26;3;7;;;;;;;1;;;;;
Waddinxveen;G0627;10081;Zuid-Holland;P28;13220;12090;88;;12002;3237;3303;2621;726;1287;34;179;173;53;55;83;159;22;44;8;7;6;;5;;;;;
Wageningen;G0289;11010;Gelderland;P25;21306;19523;66;;19457;6633;4761;3284;1651;515;303;796;147;561;87;154;149;19;31;352;;6;5;3;;;;;
Wamel;G0290;10042;Gelderland;P25;6256;5671;29;;5642;1391;3102;675;176;12;10;56;8;27;87;12;4;11;38;30;;1;;2;;;;;
Wanroij;G0868;10265;Noord-Brabant;P30;2751;2558;9;;2549;240;2040;162;63;;4;11;;9;15;1;;1;3;;;;;;;;;;
Warffum;G0049;10498;Groningen;P20;1673;1550;12;;1538;734;403;244;38;3;9;26;44;20;3;8;1;3;;1;;1;;;;;;;
Warmenhuizen;G0456;10221;Noord-Holland;P27;2399;2192;15;;2177;465;974;450;132;1;16;44;10;20;25;18;;3;18;;;;1;;;;;;
Warmond;G0628;10204;Zuid-Holland;P28;3414;3007;32;;2975;542;1350;672;170;28;10;89;4;31;22;31;1;3;11;3;4;2;;2;;;;;
Warnsveld;G0291;10838;Gelderland;P25;5274;4615;6;;4609;1293;1566;1147;281;12;26;64;34;37;51;40;20;8;22;6;;1;1;;;;;;
Waspik;G0869;10402;Noord-Brabant;P30;2882;2569;26;;2543;663;1400;252;68;11;7;21;1;13;67;2;9;4;20;;;1;2;2;;;;;
Wassenaar;G0629;10164;Zuid-Holland;P28;18958;17814;146;;17668;2531;5337;7815;1113;119;53;144;57;48;67;193;48;39;84;6;4;1;2;7;;;;;
Wateringen;G0630;11329;Zuid-Holland;P28;8486;7734;35;;7699;1325;3856;1645;400;18;23;116;28;44;43;62;12;36;78;7;1;4;;1;;;;;
Weerselo;G0188;10893;Overijssel;P23;5479;5281;11;;5270;514;4119;320;88;3;8;37;2;6;99;3;;5;59;5;;1;1;;;;;;
Weert;G0988;11081;Limburg;P31;24667;20360;217;;20143;5826;9106;3268;742;9;71;304;13;144;289;76;10;43;143;12;;73;7;7;;;;;
Weesp;G0457;10773;Noord-Holland;P27;11570;10240;78;;10162;3509;2585;2196;853;65;164;251;58;88;61;113;110;47;34;15;;6;4;3;;;;;
Wehl;G0292;11116;Gelderland;P25;3865;3412;4;;3408;733;1968;287;110;2;6;45;3;8;169;10;;10;48;5;;;3;1;;;;;
Werkendam;G0870;10078;Noord-Brabant;P30;10691;9612;58;;9554;2449;3799;1117;266;1339;33;72;108;29;40;31;242;19;1;2;3;2;2;;;;;;
Wervershoof;G0459;11270;Noord-Holland;P27;3875;3534;17;;3517;688;1961;419;130;;41;62;;18;119;12;4;7;50;4;;;;1;1;;;;
Wessem;G0989;10127;Limburg;P31;1511;1200;15;;1185;293;602;174;23;1;1;13;2;10;17;5;1;2;32;;;7;1;1;;;;;
Westdongeradeel;G0097;10129;Fryslân;P21;4118;3863;26;;3837;859;2161;382;89;95;51;42;67;20;22;9;31;4;;3;1;1;;;;;;;
Westerbork;G0134;11095;Drenthe;P22;4812;4533;18;;4515;1828;1073;1042;218;41;28;58;37;30;87;18;30;10;2;8;;1;;4;;;;;
Westerhoven;G0871;11041;Noord-Brabant;P30;1041;990;2;;988;172;620;98;39;1;8;19;1;3;15;5;;;3;1;;2;1;;;;;;
