RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Lijst Pim Fortuyn;VVD;Partij van de Arbeid (P.v.d.A.);GL;SP (Socialistische Partij);Democraten 66 (D66);ChristenUnie;Staatkundig Gereformeerde Partij (SGP);LN;Verenigde Senioren Partij;Vrije Indische Partij & OuderenUnie;Duurzaam Nederland;Partij van de Toekomst;Nieuwe Midden Partij;Republikeinse Volkspartij
Reusel-De Mierden;G1667;10162;Noord-Brabant;P30;9207;7299;;10;7289;3501;1088;962;678;285;311;235;19;5;164;24;2;2;13;0;
Rheden;G0275;11355;Gelderland;P25;35117;28571;;40;28531;7093;3979;4752;5865;2207;1895;1597;503;66;406;114;28;14;6;6;
Rhenen;G0340;10309;Utrecht;P26;13192;11052;;30;11022;2821;1845;1588;1457;527;387;418;344;1458;134;31;5;3;4;;
Ridderkerk;G0597;10646;Zuid-Holland;P28;35782;29246;;31;29215;7150;6917;3383;4048;955;1130;1014;1343;2411;646;108;40;45;19;6;
Rijnsburg;G0602;11118;Zuid-Holland;P28;10622;9060;;3;9057;4482;1442;957;461;233;156;225;770;193;106;19;2;2;3;6;
Rijnwaarden;G0196;10819;Gelderland;P25;8541;6424;;23;6401;2191;1191;778;1090;343;343;297;21;2;100;28;4;1;10;2;
Rijnwoude;G1672;11257;Zuid-Holland;P28;14379;12411;;8;12403;4377;1970;1874;1234;502;537;607;375;710;189;20;1;1;5;1;
Rijssen;G0178;10358;Overijssel;P23;25721;23380;;8;23372;7599;1903;2113;2305;512;476;417;2711;5104;173;33;4;6;10;6;
Rijswijk;G0603;11133;Zuid-Holland;P28;38466;31093;;47;31046;7929;7454;5439;3819;1775;1486;1704;371;110;738;121;60;17;16;7;
Roerdalen;G1669;10196;Limburg;P31;7898;6125;;11;6114;2469;1252;814;625;335;236;243;16;2;81;29;6;2;2;2;
Roermond;G0957;11313;Limburg;P31;33599;23327;;29;23298;6861;5201;3561;2865;1759;1180;993;100;17;393;96;41;210;12;9;
Roggel en Neer;G1670;10505;Limburg;P31;6344;4917;;9;4908;2189;783;728;456;255;191;177;8;2;80;30;3;2;4;0;
Roosendaal;G1674;10407;Noord-Brabant;P30;57633;42599;;34;42565;13309;8797;7403;4833;2452;2464;1821;232;29;912;189;53;33;31;7;
Rotterdam;G0599;10345;Zuid-Holland;P28;428710;300601;;716;299885;47023;88861;35321;61127;21483;18778;13192;4727;2393;4317;921;377;1100;179;86;
