ElectionType,Year,Province,EligibleVoters,Votes1,ValidVotes,Party,Count,Turnout,VoteShare
Second Chamber,1956,Zuid-Holland,1516592,1425609,1394882,Staatkundig Gereformeerde Partij (SGP),54071,0.9197476974690623,0.038763852426226736
Second Chamber,1956,Drenthe,161368,154579,148931,Gereformeerd Politiek Verbond (GPV),1788,0.9229277180110059,0.01200555962156972
Second Chamber,1956,Fryslân,268412,256493,252371,Gereformeerd Politiek Verbond (GPV),2550,0.9402373962415987,0.010104172032444299
Second Chamber,1956,Gelderland,659379,638311,627409,Gereformeerd Politiek Verbond (GPV),1984,0.9515149860702267,0.00316221157171797
Second Chamber,1956,Groningen,275389,260447,253762,Gereformeerd Politiek Verbond (GPV),8856,0.921467451495884,0.03489884222223974
Second Chamber,1956,Limburg,415700,408619,398526,Gereformeerd Politiek Verbond (GPV),273,0.9586865528025018,6.850243145992984e-4
Second Chamber,1956,Niet-provinciaal ingedeeld,9757,10547,10475,Gereformeerd Politiek Verbond (GPV),166,1.073588193092139,0.0158472553699284
Second Chamber,1956,Noord-Brabant,710188,691631,679397,Gereformeerd Politiek Verbond (GPV),641,0.9566438745796888,9.434837068753616e-4
Second Chamber,1956,Noord-Holland,1175379,1111898,1086093,Gereformeerd Politiek Verbond (GPV),3264,0.9240364171896894,0.003005267504716447
Second Chamber,1956,Overijssel,409559,395668,389314,Gereformeerd Politiek Verbond (GPV),7029,0.9505687825197346,0.018054834914747478
Second Chamber,1956,Utrecht,356500,340398,334107,Gereformeerd Politiek Verbond (GPV),3125,0.9371865357643758,0.009353291011562164
Second Chamber,1956,Zeeland,163845,155407,152432,Gereformeerd Politiek Verbond (GPV),1244,0.9303427019439104,0.008161016059620028
Second Chamber,1956,Zuid-Holland,1516592,1425609,1394882,Gereformeerd Politiek Verbond (GPV),6288,0.9197476974690623,0.004507908195818714
Second Chamber,1956,Drenthe,161368,154579,148931,Nationale Unie (Algemeen Christelijk),318,0.9229277180110059,0.0021352169796751514
Second Chamber,1956,Fryslân,268412,256493,252371,Nationale Unie (Algemeen Christelijk),479,0.9402373962415987,0.001897999373937576
Second Chamber,1956,Gelderland,659379,638311,627409,Nationale Unie (Algemeen Christelijk),2158,0.9515149860702267,0.0034395426268988808
Second Chamber,1956,Groningen,275389,260447,253762,Nationale Unie (Algemeen Christelijk),631,0.921467451495884,0.002486581915337994
Second Chamber,1956,Limburg,415700,408619,398526,Nationale Unie (Algemeen Christelijk),1014,0.9586865528025018,0.0025443760256545368
Second Chamber,1956,Niet-provinciaal ingedeeld,9757,10547,10475,Nationale Unie (Algemeen Christelijk),7,1.073588193092139,6.682577565632459e-4
Second Chamber,1956,Noord-Brabant,710188,691631,679397,Nationale Unie (Algemeen Christelijk),1540,0.9566438745796888,0.00226671592603441
Second Chamber,1956,Noord-Holland,1175379,1111898,1086093,Nationale Unie (Algemeen Christelijk),6926,0.9240364171896894,0.006376986132863392
Second Chamber,1956,Overijssel,409559,395668,389314,Nationale Unie (Algemeen Christelijk),765,0.9505687825197346,0.0019649948370723887
Second Chamber,1956,Utrecht,356500,340398,334107,Nationale Unie (Algemeen Christelijk),2180,0.9371865357643758,0.006524855809665765
Second Chamber,1956,Zeeland,163845,155407,152432,Nationale Unie (Algemeen Christelijk),334,0.9303427019439104,0.002191140967775795
Second Chamber,1956,Zuid-Holland,1516592,1425609,1394882,Nationale Unie (Algemeen Christelijk),12608,0.9197476974690623,0.00903875740026755
Second Chamber,1956,Drenthe,161368,154579,148931,Nederlandse Oppositie Unie,610,0.9229277180110059,0.004095856470446045
Second Chamber,1956,Fryslân,268412,256493,252371,Nederlandse Oppositie Unie,842,0.9402373962415987,0.0033363579809090587
Second Chamber,1956,Gelderland,659379,638311,627409,Nederlandse Oppositie Unie,2454,0.9515149860702267,0.0039113241920342235
Second Chamber,1956,Groningen,275389,260447,253762,Nederlandse Oppositie Unie,1171,0.921467451495884,0.004614560099620905
Second Chamber,1956,Limburg,415700,408619,398526,Nederlandse Oppositie Unie,1059,0.9586865528025018,0.002657292121467608
Second Chamber,1956,Niet-provinciaal ingedeeld,9757,10547,10475,Nederlandse Oppositie Unie,6,1.073588193092139,5.727923627684964e-4
Second Chamber,1956,Noord-Brabant,710188,691631,679397,Nederlandse Oppositie Unie,1760,0.9566438745796888,0.0025905324868964684
Second Chamber,1956,Noord-Holland,1175379,1111898,1086093,Nederlandse Oppositie Unie,4113,0.9240364171896894,0.003786968519270449
Second Chamber,1956,Overijssel,409559,395668,389314,Nederlandse Oppositie Unie,804,0.9505687825197346,0.00206517104445255
Second Chamber,1956,Utrecht,356500,340398,334107,Nederlandse Oppositie Unie,1374,0.9371865357643758,0.0041124549919636525
Second Chamber,1956,Zeeland,163845,155407,152432,Nederlandse Oppositie Unie,365,0.9303427019439104,0.002394510339036423
Second Chamber,1956,Zuid-Holland,1516592,1425609,1394882,Nederlandse Oppositie Unie,4945,0.9197476974690623,0.003545102739873337
Second Chamber,1959,Drenthe,170529,163660,158501,Katholieke Volkspartij (KVP),10880,0.9294665423476359,0.06864310004353284
Second Chamber,1959,Fryslân,272590,260527,256594,Katholieke Volkspartij (KVP),17697,0.9413184636266921,0.06896887690281145
Second Chamber,1959,Gelderland,697270,668694,655719,Katholieke Volkspartij (KVP),209136,0.9404090237641086,0.31894149780622494
Second Chamber,1959,Groningen,283531,268938,261576,Katholieke Volkspartij (KVP),15280,0.9225657864572128,0.058415145120347435
Second Chamber,1959,Limburg,446756,434371,420069,Katholieke Volkspartij (KVP),334072,0.9402649320882093,0.7952788708521695
Second Chamber,1959,Niet-provinciaal ingedeeld,12310,12297,12223,Katholieke Volkspartij (KVP),2981,0.9929325751421608,0.24388448007854047
Second Chamber,1959,Noord-Brabant,757099,736630,718671,Katholieke Volkspartij (KVP),532124,0.9492430976662233,0.7404278174575014
Second Chamber,1959,Noord-Holland,1226675,1167241,1136626,Katholieke Volkspartij (KVP),266501,0.9265909878329631,0.2344667463176102
Second Chamber,1959,Overijssel,428400,413053,405871,Katholieke Volkspartij (KVP),114170,0.9474112978524744,0.28129627393925655
